team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,draft_rank,idp_solo,pct_owned,return_tds
NA,0.8,0,2.7,NA,0.6,1,0.2,18.9,NA,NA,NA,367.7,NA,7.5,NA,FantasyPros,0501,DST,8030,Buffalo Bills,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,3.1,NA,0.6,0.9,0.2,19.6,NA,NA,NA,338.6,NA,7.5,NA,FantasyPros,0512,DST,8150,Kansas City Chiefs,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.6,NA,0.6,0.7,0.1,19.4,NA,NA,NA,304.2,NA,7.1,NA,FantasyPros,0526,DST,8010,Atlanta Falcons,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.5,NA,0.5,0.7,0.2,17.5,NA,NA,NA,303.4,NA,7.1,NA,FantasyPros,0515,DST,8260,Seattle Seahawks,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,3,NA,0.6,0.8,0.2,20.2,NA,NA,NA,318,NA,6.5,NA,FantasyPros,0525,DST,8290,Tampa Bay Buccaneers,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.9,NA,0.6,0.9,0.2,21.8,NA,NA,NA,333.3,NA,6.5,NA,FantasyPros,0510,DST,8240,Pittsburgh Steelers,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.9,NA,0.5,0.7,0.1,20,NA,NA,NA,352.2,NA,6.4,NA,FantasyPros,0520,DST,8310,Washington Commanders,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,3.1,NA,0.5,0.7,0.1,20.5,NA,NA,NA,341.9,NA,6.3,NA,FantasyPros,0509,DST,8140,Jacksonville Jaguars,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.8,NA,0.5,0.9,0.2,20.1,NA,NA,NA,321,NA,6.2,NA,FantasyPros,0502,DST,8130,Indianapolis Colts,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.9,NA,0.5,0.6,0.1,21.8,NA,NA,NA,310.8,NA,6.2,NA,FantasyPros,0506,DST,8060,Cincinnati Bengals,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,3.1,NA,0.5,0.7,0.1,25.6,NA,NA,NA,331.2,NA,6,NA,FantasyPros,0516,DST,8080,Dallas Cowboys,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.4,NA,0.5,1,0.2,21.8,NA,NA,NA,356.6,NA,5.9,NA,FantasyPros,0518,DST,8230,Philadelphia Eagles,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.6,NA,0.5,0.5,0.1,22.4,NA,NA,NA,334,NA,5.8,NA,FantasyPros,0504,DST,8180,New England Patriots,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.4,NA,0.6,0.9,0.1,21.7,NA,NA,NA,337.8,NA,5.7,NA,FantasyPros,0530,DST,8270,San Francisco 49ers,NA,NA,NA,NA,NA,NA,NA
NA,0.5,0,2.9,NA,0.4,0.7,0.1,23.1,NA,NA,NA,350.3,NA,5.7,NA,FantasyPros,0511,DST,8090,Denver Broncos,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.8,NA,0.5,0.9,0.1,24.2,NA,NA,NA,338.9,NA,5.6,NA,FantasyPros,0528,DST,8280,Los Angeles Rams,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.3,NA,0.4,0.7,0.1,23.2,NA,NA,NA,311.9,NA,5.6,NA,FantasyPros,0519,DST,8000,Arizona Cardinals,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.8,NA,0.4,0.7,0.1,24.7,NA,NA,NA,345.8,NA,5.6,NA,FantasyPros,0513,DST,8220,Las Vegas Raiders,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.1,NA,0.5,0.7,0.2,21.8,NA,NA,NA,340.2,NA,5.6,NA,FantasyPros,0532,DST,8120,Houston Texans,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.2,NA,0.5,0.8,0.1,24.8,NA,NA,NA,363,NA,5.5,NA,FantasyPros,0521,DST,8050,Chicago Bears,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.5,NA,0.4,0.5,0.1,23,NA,NA,NA,341,NA,5.4,NA,FantasyPros,0529,DST,8190,New Orleans Saints,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.4,NA,0.5,0.7,0.1,25.9,NA,NA,NA,359.3,NA,5.4,NA,FantasyPros,0505,DST,8210,New York Jets,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.1,NA,0.5,0.8,0.2,23.9,NA,NA,NA,397.7,NA,5.3,NA,FantasyPros,0531,DST,8020,Baltimore Ravens,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.3,NA,0.5,0.9,0.1,24.4,NA,NA,NA,346.6,NA,5.3,NA,FantasyPros,0517,DST,8200,New York Giants,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,1.9,NA,0.5,0.7,0.1,21.7,NA,NA,NA,331.2,NA,5.3,NA,FantasyPros,0514,DST,8250,Los Angeles Chargers,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.3,NA,0.5,0.6,0.1,23.2,NA,NA,NA,331.9,NA,5.1,NA,FantasyPros,0508,DST,8300,Tennessee Titans,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.1,NA,0.4,0.7,0.1,26.4,NA,NA,NA,403.6,NA,4.9,NA,FantasyPros,0522,DST,8100,Detroit Lions,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,1.8,NA,0.5,0.7,0.1,24.4,NA,NA,NA,347.3,NA,4.7,NA,FantasyPros,0507,DST,8070,Cleveland Browns,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2,NA,0.4,0.7,0.1,30.3,NA,NA,NA,379.3,NA,4.7,NA,FantasyPros,0503,DST,8160,Miami Dolphins,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,1.8,NA,0.4,0.5,0.1,23.5,NA,NA,NA,361,NA,4.7,NA,FantasyPros,0527,DST,8040,Carolina Panthers,NA,NA,NA,NA,NA,NA,NA
MIN,0.9,NA,3.3,NA,0.5,0.8,0.2,19.5,NA,NA,NA,344.7,NA,11.34,NA,FleaFlicker,0524,DST,2345,Minnesota Vikings,NA,6,CINSun 1:00 PM,D/ST4,0,91%,NA
KC,0.7,NA,3.1,NA,0.6,0.9,0.2,19.6,NA,NA,NA,338.6,NA,10.75,NA,FleaFlicker,0512,DST,2343,Kansas City Chiefs,NA,10,@NYGSun 8:20 PM,D/ST12,0,70%,NA
BUF,0.8,NA,2.7,NA,0.6,1,0.2,18.9,NA,NA,NA,367.8,NA,10.65,NA,FleaFlicker,0501,DST,2331,Buffalo Bills,NA,7,MIAThu 8:15 PM,D/ST7,0,91%,NA
TB,0.7,NA,3,NA,0.6,0.8,0.1,20.2,NA,NA,NA,318,NA,10.61,NA,FleaFlicker,0525,DST,2357,Tampa Bay Buccaneers,NA,9,NYJSun 1:00 PM,D/ST16,0,30%,NA
PIT,0.7,NA,2.9,NA,0.6,0.9,0.2,21.8,NA,NA,NA,333.3,NA,10.46,NA,FleaFlicker,0510,DST,2352,Pittsburgh Steelers,NA,5,@NESun 1:00 PM,D/ST5,0,92%,NA
