player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Tre Tucker,WR,LV,1,4.8,3,37.7,37.7,12.6,0.3,0.5,2.9,5.8,0,0,4.8,4.8,3121848,CBS,16287,NA,NA,NA,NA,NA,NA,NA,NA
Andrei Iosivas,WR,CIN,1,4.7,2.7,35.3,35.3,13.1,0.3,0.2,0.7,3.5,0,0,4.8,4.8,2966908,CBS,16207,NA,NA,NA,NA,NA,NA,NA,NA
Jerry Jeudy,WR,CLE,1,5.9,3,41.1,41.1,13.7,0.1,0,0,0,0,0,4.6,4.6,2741201,CBS,14833,NA,NA,NA,NA,NA,NA,NA,NA
Keenan Allen,WR,LAC,1,5.5,3.7,37.1,37.1,10,0.2,0,0.1,0,0,0,4.2,4.2,1737096,CBS,11222,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Coker,WR,CAR,1,3.8,2.7,34.7,34.7,12.9,0.2,0,0,0,0,0,4.2,4.2,3163990,CBS,16809,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Kupp,WR,SEA,1,4.5,3,38.4,38.4,12.8,0.2,0,0.1,0,0,0,4.2,4.2,2006951,CBS,13164,NA,NA,NA,NA,NA,NA,NA,NA
Dontayvion Wicks,WR,GB,1,4.5,2.7,34.7,34.7,12.9,0.2,0.1,0.3,3,0,0,4.2,4.2,3122375,CBS,16195,NA,NA,NA,NA,NA,NA,NA,NA
Josh Downs,WR,IND,1,5,3.4,30.4,30.4,8.9,0.2,0,0.1,0,0,0,4.2,4.2,3162970,CBS,16187,NA,NA,NA,NA,NA,NA,NA,NA
Mack Hollins,WR,NE,1,4.2,3,38.1,38.1,12.7,0.2,0.1,0.2,2,0,0,4.2,4.2,2010349,CBS,13289,NA,NA,NA,NA,NA,NA,NA,NA
Darnell Mooney,WR,ATL,1,4.9,2.4,39.4,39.4,16.4,0.2,0,0.1,0,0,0,4.2,4.2,2240651,CBS,14974,NA,NA,NA,NA,NA,NA,NA,NA
Christian Kirk,WR,HOU,1,5.5,3.2,38.5,38.5,12,0.2,0,0.1,0,0,0,4.2,4.2,2180820,CBS,13633,NA,NA,NA,NA,NA,NA,NA,NA
Rashid Shaheed,WR,SEA,1,4,2.5,39.1,39.1,15.6,0.2,0.5,2.8,5.6,0,0.1,4,4,2250863,CBS,16080,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Hodgins,WR,NYG,1,3.2,2,25.5,25.5,12.8,0.3,0,0,0,0,0,3.8,3.8,2783899,CBS,14849,NA,NA,NA,NA,NA,NA,NA,NA
Mike Evans,WR,TB,1,3.4,1.9,26,26,13.7,0.3,0,0,0,0,0,3.8,3.8,1824909,CBS,11671,NA,NA,NA,NA,NA,NA,NA,NA
Rashod Bateman,WR,BAL,1,3.3,1.8,26.5,26.5,14.7,0.3,0,0.2,0,0,0,3.8,3.8,2960940,CBS,15293,NA,NA,NA,NA,NA,NA,NA,NA
Tez Johnson,WR,TB,1,2.7,1.7,20.2,20.2,11.9,0.3,0.6,1.8,3,0,0,3.8,3.8,3161539,CBS,17079,NA,NA,NA,NA,NA,NA,NA,NA
