player,pos,team,games,fg,fg_att,fg_long,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,fg_0019,pos_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Joshua Karty,K,ARI,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,9.24,NA,18562,FleaFlicker,16775,NA,NA,NA,NA,8,@CINSun 1:00 PM,NA,K28,2/1,2/2,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,9.22,NA,12611,FleaFlicker,12956,NA,NA,NA,NA,2,@KCW 20-13,9.22,K7,2/2,2/2,58%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.1,9.1,NA,18330,FleaFlicker,16414,NA,NA,NA,NA,0,@WASW 30-23,9.1,K1,2/2,3/3,95%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,IND,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,9.09,NA,17834,FleaFlicker,16444,NA,NA,NA,NA,1,JACSun 1:00 PM,NA,NA,2/2,2/2,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.1,9.08,NA,18337,FleaFlicker,16846,NA,NA,NA,NA,8,@MINL 10-23,9.08,K2,2/2,3/3,76%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zane Gonzalez,K,ATL,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,9.03,NA,13085,FleaFlicker,13347,NA,NA,NA,NA,5,LARMon 8:15 PM,NA,NA,2/1,2/2,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,9.01,NA,13947,FleaFlicker,13718,NA,NA,NA,NA,8,NYGSun 4:05 PM,NA,K30,2/2,2/2,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,8.86,NA,16457,FleaFlicker,15368,NA,NA,NA,NA,0,ARISun 1:00 PM,NA,K9,2/2,2/2,56%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,8.85,NA,13124,FleaFlicker,13354,NA,NA,NA,NA,0,DENL 13-20,8.85,K13,2/1,1/1,64%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Szmyt,K,CLE,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,8.42,NA,18046,FleaFlicker,16419,NA,NA,NA,NA,9,PITSun 1:00 PM,NA,NA,2/1,1/1,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
