player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,curr_site_pts,fg_pct,xp_pct,pct_owned
Michael Badgley,K,IND,NA,1.7,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,7.8,NA,17693,FantasyPros,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,MIA,NA,1.7,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,7.8,NA,23370,FantasyPros,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,7.8,NA,14003,FantasyPros,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,7.7,NA,23297,FantasyPros,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Borregales,K,NE,NA,1.7,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,7.5,NA,27291,FantasyPros,17220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,1.8,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7.5,NA,15756,FantasyPros,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,NA,1.7,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,7.2,NA,26475,FantasyPros,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7.1,NA,17420,FantasyPros,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,WAS,NA,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,7.1,NA,18545,FantasyPros,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,7,NA,26341,FantasyPros,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,1.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,7,NA,16026,FantasyPros,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,1.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,6.9,NA,9232,FantasyPros,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parker Romo,K,ATL,NA,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6.5,NA,24681,FantasyPros,16405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Fitzgerald,K,CAR,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,6.3,NA,27261,FantasyPros,17277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,TEN,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,6.2,NA,19028,FantasyPros,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,NA,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,6,NA,25533,FantasyPros,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,10.68,NA,11124,FleaFlicker,12437,NA,NA,NA,NA,8,@WASSun 8:20 PM,NA,2/2,2/2,69%
Cairo Santos,K,CHI,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,10.67,NA,10888,FleaFlicker,11945,NA,NA,NA,NA,5,@CINSun 1:00 PM,NA,2/2,2/2,28%
Ryan Fitzgerald,K,CAR,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,10.62,NA,19685,FleaFlicker,17277,NA,NA,NA,NA,4,@GBSun 1:00 PM,NA,2/1,1/1,30%
Chris Boswell,K,PIT,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,10.41,NA,10779,FleaFlicker,11936,NA,NA,NA,NA,5,INDSun 1:00 PM,NA,2/2,2/2,91%
Matt Gay,K,WAS,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,10.37,NA,14848,FleaFlicker,14244,NA,NA,NA,NA,2,SEASun 8:20 PM,NA,2/1,2/2,37%
Cam Little,K,JAC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,10.24,NA,18510,FleaFlicker,16680,NA,NA,NA,NA,8,@LVSun 4:05 PM,NA,2/2,2/2,27%
Brandon McManus,K,GB,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.1,10.15,NA,9754,FleaFlicker,11947,NA,NA,NA,NA,5,CARSun 1:00 PM,NA,2/2,3/3,19%
Harrison Butker,K,KC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,9.86,NA,13124,FleaFlicker,13354,NA,NA,NA,NA,0,@BUFSun 4:25 PM,NA,2/1,2/2,83%
Michael Badgley,K,IND,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,9.75,NA,14050,FleaFlicker,13980,NA,NA,NA,NA,1,@PITSun 1:00 PM,NA,2/1,2/2,32%
Matt Prater,K,BUF,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,9.74,NA,4221,FleaFlicker,8930,NA,NA,NA,NA,7,KCSun 4:25 PM,NA,2/1,2/2,30%
