player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Jeremy McNichols,RB,WAS,NA,NA,16.31,NA,0.12,NA,1.6,11.59,NA,NA,0.12,0.03,5.77,NA,2557977,NFL,13143,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Corum,RB,LAR,NA,NA,24.43,NA,0.21,NA,0.57,5.01,NA,NA,0.05,0.04,4.99,NA,2572189,NFL,16593,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hassan Haskins,RB,LAC,NA,NA,22.58,NA,0.14,NA,0.79,6.22,NA,NA,0.06,0.04,4.79,NA,2567649,NFL,15720,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ty Johnson,RB,BUF,NA,NA,15.79,NA,0.08,NA,1.07,10.86,NA,NA,0.1,0.03,4.76,NA,2562293,NFL,14095,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ollie Gordon II,RB,MIA,NA,NA,20.88,NA,0.17,NA,0.7,5.51,NA,NA,0.06,0.03,4.66,NA,2574322,NFL,17059,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaydon Blue,RB,DAL,NA,NA,15.81,NA,0.12,NA,0.86,6.87,NA,NA,0.06,0.02,4.17,NA,2574068,NFL,17069,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raheem Mostert,RB,LV,NA,NA,18.75,NA,0.17,NA,0.66,4.72,NA,NA,0.03,0.02,4.17,NA,2553728,NFL,12447,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emari Demercado,RB,ARI,NA,NA,13.11,NA,0.08,NA,1.05,8.03,NA,NA,0.08,0.02,4.08,NA,2571065,NFL,16385,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ray Davis,RB,BUF,NA,NA,11.49,NA,0.1,NA,0.86,7.43,NA,NA,0.09,0.03,3.83,NA,2571862,NFL,16603,NA,NA,NA,NA,NA,NA,NA,NA,NA
LeQuint Allen Jr.,RB,JAX,NA,NA,8.66,NA,0.06,NA,1.14,9.92,NA,NA,0.06,0.02,3.68,NA,2574207,NFL,17061,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keaton Mitchell,RB,BAL,NA,NA,11.91,NA,0.07,NA,0.55,5.46,NA,NA,0.06,0.02,3.03,NA,2570428,NFL,16178,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Robinson,RB,SF,NA,NA,12.01,NA,0.14,NA,0.29,2.29,NA,NA,0.01,0.03,2.56,NA,2568348,NFL,15716,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Brooks,RB,GB,NA,NA,7.41,NA,0.04,NA,0.73,5.78,NA,NA,0.04,0.01,2.51,NA,2571114,NFL,16387,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Badie,RB,DEN,NA,NA,6.12,NA,0.05,NA,0.63,5.25,NA,NA,0.04,0.01,2.29,NA,2567265,NFL,15718,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameer Abdullah,RB,IND,NA,NA,7.89,NA,0.08,NA,0.32,2.03,NA,NA,0.01,NA,1.85,NA,2552374,NFL,12155,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Mitchell,RB,KC,NA,NA,6.95,NA,0.04,NA,0.33,2.34,NA,NA,0.02,0.01,1.6,NA,2566538,NFL,15263,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Rodriguez Jr.,RB,WAS,NA,NA,8.9,NA,0.06,NA,0.11,0.92,NA,NA,0.01,0.01,1.49,NA,2570386,NFL,16174,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tahj Brooks,RB,CIN,NA,NA,7.75,NA,0.05,NA,0.1,0.86,NA,NA,0.01,0.02,1.28,NA,2574024,NFL,17058,NA,NA,NA,NA,NA,NA,NA,NA,NA
Julius Chestnut,RB,TEN,NA,NA,6.56,NA,0.05,NA,0.12,1.02,NA,NA,0.01,0.01,1.22,NA,2568804,NFL,15965,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Etienne,RB,CAR,NA,NA,4.53,NA,0.04,NA,0.13,0.95,NA,NA,0.01,0.01,0.96,NA,2573977,NFL,17056,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaleb Johnson,RB,PIT,NA,NA,1.78,NA,0.02,NA,0.21,1.94,NA,NA,0.02,NA,0.82,NA,2574496,NFL,17048,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Gray,RB,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,2570158,NFL,16173,NA,NA,NA,NA,NA,NA,NA,0.13,NA
Roschon Johnson,RB,CHI,NA,NA,1.9,NA,0.04,NA,0.14,0.89,NA,NA,0.01,NA,0.72,NA,2569615,NFL,16175,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trayveon Williams,RB,LAC,NA,NA,3.22,NA,0.02,NA,0.08,0.65,NA,NA,0.01,NA,0.65,NA,2562600,NFL,14076,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zamir White,RB,LV,NA,NA,3.76,NA,0.02,NA,0.08,0.65,NA,NA,NA,0.01,0.62,NA,2567883,NFL,15714,NA,NA,NA,NA,NA,NA,NA,NA,NA
DJ Giddens,RB,IND,NA,NA,3.43,NA,0.03,NA,0.04,0.36,NA,NA,NA,NA,0.6,NA,2574188,NFL,17060,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dare Ogunbowale,RB,HOU,NA,NA,2.17,NA,0.02,NA,0.11,0.91,NA,NA,0.01,NA,0.6,NA,2559362,NFL,13148,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craig Reynolds,RB,DET,NA,NA,3.03,NA,NA,NA,0.15,1.15,NA,NA,NA,NA,0.57,NA,2562834,NFL,14727,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Holani,RB,SEA,NA,NA,4.35,NA,NA,NA,0.05,0.4,NA,NA,NA,NA,0.53,NA,2572768,NFL,16608,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jarquez Hunter,RB,LAR,NA,NA,3.14,NA,0.02,NA,0.04,0.45,NA,NA,NA,NA,0.52,NA,2574269,NFL,17064,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Akers,RB,MIN,NA,NA,2.83,NA,0.02,NA,0.05,0.32,NA,NA,NA,NA,0.49,NA,2564319,NFL,14799,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaac Guerendo,RB,SF,NA,NA,1.95,NA,0.02,NA,0.03,0.24,NA,NA,NA,NA,0.37,NA,2572498,NFL,16688,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaleel McLaughlin,RB,DEN,NA,NA,2.2,NA,0.01,NA,0.05,0.27,NA,NA,NA,0.01,0.34,NA,2570942,NFL,16390,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Goodson,RB,IND,NA,NA,1.92,NA,0.01,NA,0.02,0.16,NA,NA,NA,NA,0.29,NA,2567595,NFL,15730,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan James,RB,SF,NA,NA,0.66,NA,NA,NA,0.05,0.4,NA,NA,NA,NA,0.16,NA,2574540,NFL,17055,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sione Vaki,RB,DET,NA,NA,0.62,NA,NA,NA,0.02,0.21,NA,NA,NA,NA,0.1,NA,2572021,NFL,16678,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dameon Pierce,RB,HOU,NA,NA,0.48,NA,NA,NA,0.02,0.17,NA,NA,NA,NA,0.09,NA,2567685,NFL,15717,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Laube,RB,LV,NA,NA,0.35,NA,NA,NA,0.02,0.19,NA,NA,NA,NA,0.07,NA,2572231,NFL,16613,NA,NA,NA,NA,NA,NA,NA,NA,NA
