player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Hassan Haskins,RB,LAC,1,4.4,14.5,3.3,0.1,0.5,0.5,2.4,2.4,4.8,0,0.1,1.4,1.4,2968506,CBS,15720,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan James,RB,SF,1,1.9,9.5,5,0.1,0.2,0.2,1.7,1.7,8.5,0,0,0.6,0.6,28916212,CBS,17055,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craig Reynolds,RB,DET,1,2,8,4,0.1,0.1,0.1,1,1,10,0,0,0.6,0.6,3117134,CBS,14727,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rasheen Ali,RB,BAL,1,1.4,7.5,5.4,0.1,0.1,0.1,0.7,0.7,7,0,0,0.6,0.6,3168797,CBS,16746,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phil Mafah,RB,DAL,1,1.7,7.5,4.4,0.1,0.2,0.2,1.5,1.5,7.5,0,0,0.6,0.6,26695049,CBS,17063,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ty Chandler,RB,MIN,1,1.8,8,4.4,0.1,0.1,0.1,1,1,10,0,0,0.6,0.6,2867472,CBS,15723,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roschon Johnson,RB,CHI,1,2,9.3,4.7,0.1,0.3,0.2,1.6,1.6,8,0,0,0.6,0.6,3121395,CBS,16175,NA,NA,NA,NA,NA,NA,NA,NA,NA
DJ Giddens,RB,IND,1,1.9,8.7,4.6,0.1,0.1,0.1,0.9,0.9,9,0,0,0.6,0.6,26695679,CBS,17060,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jarquez Hunter,RB,LAR,1,1.8,7.4,4.1,0.1,0.1,0.1,0.8,0.8,8,0,0,0.6,0.6,26700820,CBS,17064,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Mitchell,RB,KC,1,1.9,7.5,4,0.1,0.1,0.1,0.2,0.2,2,0,0,0.6,0.6,2819876,CBS,15263,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Ricard,FB,BAL,1,0,0,0,0,0.5,0.4,3,3,7.5,0.1,0,0.6,0.6,2818911,CBS,13455,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ray Davis,RB,BUF,1,2.9,9.2,3.2,0,0.3,0.2,1.6,1.6,8,0.1,0,0.6,0.6,3123108,CBS,16603,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Badie,RB,DEN,1,2.5,11.5,4.6,0,1.1,0.7,6.4,6.4,9.1,0,0.3,0.4,0.4,2964494,CBS,15718,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,RB,ATL,NA,14,59,NA,0,7,6,54,NA,NA,0,NA,NA,NA,4430807,ESPN,16161,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,RB,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929630,ESPN,13604,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,NA,17,81,NA,1,3,3,26,NA,NA,0,NA,NA,NA,4429795,ESPN,16162,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,NA,18,88,NA,1,8,6,56,NA,NA,0,NA,NA,NA,3117251,ESPN,13130,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Jeanty,RB,LV,NA,20,79,NA,0,3,3,19,NA,NA,0,NA,NA,NA,4890973,ESPN,17042,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Von Achane,RB,MIA,NA,15,76,NA,0,7,6,44,NA,NA,0,NA,NA,NA,4429160,ESPN,16167,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,NA,19,94,NA,1,4,3,26,NA,NA,0,NA,NA,NA,4242335,ESPN,14802,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,GB,NA,18,72,NA,1,3,3,22,NA,NA,0,NA,NA,NA,4047365,ESPN,14073,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,NA,17,85,NA,1,2,1,13,NA,NA,0,NA,NA,NA,3043078,ESPN,12626,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bucky Irving,RB,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4596448,ESPN,16598,NA,NA,NA,NA,NA,NA,NA,NA,NA
