player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,dst_int,dst_fum_rec,dst_sacks,dst_fumbles,dst_tackles,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,curr_site_pts,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Jahan Dotson,WR,PHI,NA,1.5,1.5,19.2,NA,NA,0.1,0,0.3,NA,0,0,2.61,NA,16821,FleaFlicker,15755,NA,NA,NA,NA,NA,9,@KCSun 4:25 PM,WR113,0.1,19.6,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tutu Atwell,WR,LAR,NA,1.6,1.6,20.3,NA,NA,0.1,0.1,0.5,NA,0,0,2.6,NA,16326,FleaFlicker,15301,NA,NA,NA,NA,NA,8,@TENSun 1:00 PM,WR97,0.1,20.7,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kendrick Bourne,WR,SF,NA,1.5,1.5,19.1,NA,NA,0.1,0.1,0.2,NA,0,0,2.57,NA,13364,FleaFlicker,13418,NA,NA,NA,NA,NA,4,@NOSun 1:00 PM,NA,0.1,19.3,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Watson,WR,HOU,NA,1.2,1.2,18.6,NA,NA,0.1,0,0,NA,0,0,2.38,NA,13851,FleaFlicker,13776,NA,NA,NA,NA,NA,6,TBMon 7:00 PM,NA,0.1,18.6,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack Bech,WR,LV,NA,1.5,1.5,19.1,NA,NA,0.1,0.1,0.3,NA,0,0,2.28,NA,19294,FleaFlicker,17078,NA,NA,NA,NA,NA,8,LACMon 10:00 PM,WR82,0.1,19.3,33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylin Noel,WR,HOU,NA,1.4,1.4,17.2,NA,NA,0.1,0.1,0.5,NA,0,0,2.23,NA,19286,FleaFlicker,17080,NA,NA,NA,NA,NA,6,TBMon 7:00 PM,WR77,0.1,17.6,28%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chimere Dike,WR,TEN,NA,1.2,1.2,13.4,NA,NA,0.1,0.5,1.7,NA,0,0,2.03,NA,19346,FleaFlicker,17171,NA,NA,NA,NA,NA,0,LARSun 1:00 PM,WR123,0.1,15.1,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquez Valdes-Scantling,WR,SF,NA,0.7,0.7,13.6,NA,NA,0.1,0.1,0.1,NA,0,0,1.97,NA,13952,FleaFlicker,13793,NA,NA,NA,NA,NA,4,@NOSun 1:00 PM,NA,0.1,13.7,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylin Lane,WR,WAS,NA,1.3,1.3,14.5,NA,NA,0.1,0,0,NA,0,0,1.97,NA,19363,FleaFlicker,17184,NA,NA,NA,NA,NA,2,@GBL 18-27,WR95,0.1,14.5,15%,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen Lazard,WR,NYJ,NA,1.1,1.1,14.2,NA,NA,0.1,0,0,NA,0,0,1.94,NA,14059,FleaFlicker,13632,NA,NA,NA,NA,NA,9,BUFSun 1:00 PM,NA,0.1,14.2,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mack Hollins,WR,NE,NA,1,1,13.2,NA,NA,0.1,0,0.1,NA,0,0,1.92,NA,13008,FleaFlicker,13289,NA,NA,NA,NA,NA,4,@MIASun 1:00 PM,WR119,0.1,13.4,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arian Smith,WR,NYJ,NA,1.2,1.2,14.5,NA,NA,0.1,0,0.1,NA,0,0,1.92,NA,19341,FleaFlicker,17175,NA,NA,NA,NA,NA,9,BUFSun 1:00 PM,NA,0.1,14.6,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adonai Mitchell,WR,IND,NA,1.1,1.1,14.8,NA,NA,0.1,0.2,0.7,NA,0,0,1.89,NA,18395,FleaFlicker,16626,NA,NA,NA,NA,NA,1,DENSun 4:05 PM,WR88,0.1,15.6,26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaac TeSlaa,WR,DET,NA,1.1,1.1,12.4,NA,NA,0.1,0,0,NA,0,0,1.77,NA,19337,FleaFlicker,17157,NA,NA,NA,NA,NA,8,CHISun 1:00 PM,WR68,0.1,12.5,36%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Williams,WR,NE,NA,1.2,1.2,14.1,NA,NA,0.1,0.1,0.7,NA,0,0,1.72,NA,19273,FleaFlicker,17134,NA,NA,NA,NA,NA,4,@MIASun 1:00 PM,WR78,0.1,14.8,38%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luther Burden,WR,CHI,NA,1,1,11,NA,NA,0.1,0,0.8,NA,0,0,1.58,NA,19335,FleaFlicker,17070,NA,NA,NA,NA,NA,5,@DETSun 1:00 PM,WR63,0.1,11.8,57%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roman Wilson,WR,PIT,NA,1.1,1.1,11.7,NA,NA,0.1,0,0,NA,0,0,1.57,NA,18409,FleaFlicker,16629,NA,NA,NA,NA,NA,5,SEASun 1:00 PM,WR86,0.1,11.7,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tre' Harris,WR,LAC,NA,0.9,0.9,12.3,NA,NA,0.1,0.1,0.3,NA,0,0,1.5,NA,19298,FleaFlicker,17072,NA,NA,NA,NA,NA,2,@LVMon 10:00 PM,WR72,0.1,12.6,42%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kalif Raymond,WR,DET,NA,0.9,0.9,11.4,NA,NA,0.1,0,0.4,NA,0,0,1.48,NA,12441,FleaFlicker,13066,NA,NA,NA,NA,NA,8,CHISun 1:00 PM,NA,0.1,11.8,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devaughn Vele,WR,NO,NA,1.1,1.1,11.3,NA,NA,0.1,0,0.1,NA,0,0,1.48,NA,18587,FleaFlicker,16788,NA,NA,NA,NA,NA,1,SFSun 1:00 PM,WR101,0.1,11.4,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curtis Samuel,WR,BUF,NA,0.9,0.9,8.9,NA,NA,0.1,0.2,0.8,NA,0,0,1.45,NA,12930,FleaFlicker,13157,NA,NA,NA,NA,NA,7,@NYJSun 1:00 PM,NA,0.1,9.8,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Whittington,WR,LAR,NA,0.8,0.8,9.3,NA,NA,0.1,0.3,1.6,NA,0,0,1.43,NA,18564,FleaFlicker,16633,NA,NA,NA,NA,NA,8,@TENSun 1:00 PM,WR111,0.1,10.9,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malik Heath,WR,GB,NA,0.6,0.6,6.7,NA,NA,0.1,0,0.1,NA,0,0,1.4,NA,17992,FleaFlicker,16413,NA,NA,NA,NA,NA,5,WASW 27-18,NA,0.1,6.8,1%,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zay Jones,WR,ARI,NA,0.9,0.9,9.2,NA,NA,0.1,0,0.3,NA,0,0,1.35,NA,12937,FleaFlicker,13176,NA,NA,NA,NA,NA,8,CARSun 4:05 PM,NA,0.1,9.5,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russell Gage,WR,SF,NA,0.8,0.8,9.5,NA,NA,0.1,0,0,NA,0,0,1.31,NA,13967,FleaFlicker,13809,NA,NA,NA,NA,NA,4,@NOSun 1:00 PM,NA,0.1,9.5,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
