player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,rush_att,rush_yds,rush_tds,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,curr_site_pts,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Noah Fant,TE,CIN,NA,4.37,3.3,31.59,NA,NA,0.14,NA,5.65,NA,54136,FanDuel,14137,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,17,144,10,7,Cincinnati Bengals,7,Cincinnati Bengals,CIN,11,Detroit Lions,DET,WEEKLY
Chigoziem Okonkwo,TE,TEN,NA,4.88,3.13,32.52,NA,NA,0.14,NA,5.64,NA,55293,FanDuel,15889,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,18,145,22,31,Tennessee Titans,1,Arizona Cardinals,ARI,31,Tennessee Titans,TEN,WEEKLY
Brenton Strange,TE,JAC,NA,4.64,3.06,29.76,NA,NA,0.18,NA,5.57,NA,55757,FanDuel,16269,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,19,147,17,15,Jacksonville Jaguars,15,Jacksonville Jaguars,JAC,16,Kansas City Chiefs,KC,WEEKLY
Cade Otton,TE,TB,NA,4.2,2.84,29.2,NA,NA,0.2,NA,5.5,NA,55343,FanDuel,15802,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,20,150,6,30,Tampa Bay Buccaneers,28,Seattle Seahawks,SEA,30,Tampa Bay Buccaneers,TB,WEEKLY
Mason Taylor,TE,NYJ,NA,3.91,2.7,26.21,NA,NA,0.19,NA,5.09,NA,56283,FanDuel,17106,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,21,157,32,22,New York Jets,22,New York Jets,NYJ,9,Dallas Cowboys,DAL,WEEKLY
Evan Engram,TE,DEN,NA,4.49,3.35,26.16,NA,NA,0.13,NA,5.01,NA,53441,FanDuel,13189,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,22,160,12,10,Denver Broncos,24,Philadelphia Eagles,PHI,10,Denver Broncos,DEN,WEEKLY
Mark Andrews,TE,BAL,NA,4.03,2.56,23.62,NA,NA,0.19,NA,4.78,NA,53836,FanDuel,13671,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,23,165,8,3,Baltimore Ravens,3,Baltimore Ravens,BAL,13,Houston Texans,HOU,WEEKLY
David Njoku,TE,CLE,NA,4.62,2.78,25.23,NA,NA,0.14,NA,4.75,NA,53429,FanDuel,13192,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,24,166,1,8,Cleveland Browns,8,Cleveland Browns,CLE,18,Minnesota Vikings,MIN,WEEKLY
Jake Tonges,TE,SF,NA,4.11,2.77,24.46,NA,NA,0.13,NA,4.59,NA,55404,FanDuel,16036,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,25,170,5,27,San Francisco 49ers,33,Los Angeles Rams,LA,27,San Francisco 49ers,SF,WEEKLY
Ja'Tavion Sanders,TE,CAR,NA,3.81,2.53,23.97,NA,NA,0.15,NA,4.54,NA,56003,FanDuel,16643,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,26,171,31,5,Carolina Panthers,5,Carolina Panthers,CAR,17,Miami Dolphins,MIA,WEEKLY
