player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,pass_comp_pct,pct_owned,fumble_TD
Teddy Bridgewater,QB,TB,NA,0.4,0.3,2.9,NA,0,0,NA,0.1,0.1,NA,0,0,0.1,NA,12088,FantasyPros,11640,NA,NA,NA,NA,NA,NA
Jalen Hurts,QB,PHI,NA,30.1,20.6,227.6,NA,2,0.4,111.4,7.7,34.1,NA,0.7,NA,25.85,NA,15581,FleaFlicker,14783,9,NYGSun 1:00 PM,QB4,20/30,98%,NA
Josh Allen,QB,BUF,NA,30.3,20.1,234,NA,2,0.6,112.2,7.4,38.8,NA,0.6,NA,25.4,NA,13761,FleaFlicker,13589,7,@CARSun 1:00 PM,QB1,20/30,99%,NA
Lamar Jackson,QB,BAL,NA,28.4,19.4,243.5,NA,2,0.5,118.6,7.4,50,NA,0.3,NA,25.12,NA,13775,FleaFlicker,13593,7,CHISun 1:00 PM,QB2,19/28,98%,NA
Patrick Mahomes,QB,KC,NA,34.9,23.5,260.8,NA,2,0.5,109.9,5.4,29.2,NA,0.3,NA,24.42,NA,12894,FleaFlicker,13116,0,WASMon 8:15 PM,QB3,23/34,98%,NA
Drake Maye,QB,NE,NA,29.4,20.4,224.7,NA,2,0.6,114.7,6.5,31.9,NA,0.3,NA,24.4,NA,18357,FleaFlicker,16580,4,CLESun 1:00 PM,QB5,20/29,95%,NA
Daniel Jones,QB,IND,NA,30.6,21.4,236.8,NA,2,0.5,115.4,4.7,22.4,NA,0.4,NA,23.06,NA,14668,FleaFlicker,14059,1,TENSun 4:25 PM,NA,21/30,85%,NA
Justin Herbert,QB,LAC,NA,34.4,23.5,263.2,NA,2,0.6,110.3,4.9,23.4,NA,0.1,NA,22.78,NA,15516,FleaFlicker,14779,2,MINThu 8:15 PM,NA,23/34,97%,NA
Bo Nix,QB,DEN,NA,35.1,22.7,239.7,NA,2,0.7,102,5.7,26.7,NA,0.3,NA,22.71,NA,18362,FleaFlicker,16582,2,DALSun 4:25 PM,NA,22/35,95%,NA
Dak Prescott,QB,DAL,NA,35.9,24.2,252.5,NA,2,0.6,108.3,2.3,8.8,NA,0.1,NA,22.43,NA,12159,FleaFlicker,12620,0,@DENSun 4:25 PM,QB7,24/35,97%,NA
Baker Mayfield,QB,TB,NA,32.2,21.6,255.4,NA,2,0.7,110.8,4,20,NA,0.1,NA,21.67,NA,13758,FleaFlicker,13590,9,@NOSun 4:05 PM,QB8,21/32,97%,NA
Jordan Love,QB,GB,NA,30.5,20.1,239.9,NA,2,0.6,113.1,3.8,15.6,NA,0.1,NA,20.56,NA,15522,FleaFlicker,14782,5,@PITSun 8:20 PM,NA,20/30,93%,NA
Aaron Rodgers,QB,PIT,NA,31.7,21.3,215.1,NA,2,0.6,108.9,1.8,6.2,NA,0,NA,20.3,NA,3452,FleaFlicker,7836,5,GBSun 8:20 PM,NA,21/31,69%,NA
Joe Flacco,QB,CIN,NA,35.3,22.2,227.3,NA,2,0.9,100.5,1.2,3.7,NA,0,NA,19.62,NA,5336,FleaFlicker,9064,0,NYJSun 1:00 PM,NA,22/35,54%,NA
Jaxson Dart,QB,NYG,NA,32,19.8,204.7,NA,1,0.8,88.5,7.5,33.3,NA,0.3,NA,17.56,NA,19253,FleaFlicker,17032,4,@PHISun 1:00 PM,NA,19/32,69%,NA
Caleb Williams,QB,CHI,NA,32.8,20.8,222.8,NA,1,0.5,93.5,4.8,23.8,NA,0.2,NA,17.24,NA,18383,FleaFlicker,16579,5,@BALSun 1:00 PM,NA,20/32,92%,NA
Brock Purdy,QB,SF,NA,33.3,21.3,264,NA,1,0.9,98.4,3.5,14,NA,0.1,NA,17.22,NA,17045,FleaFlicker,15698,4,@HOUSun 1:00 PM,NA,21/33,83%,NA
Marcus Mariota,QB,WAS,NA,29.8,19.1,210.6,NA,1,0.7,98.3,5.3,30,NA,0.2,NA,16.79,NA,11184,FleaFlicker,12141,2,@KCMon 8:15 PM,NA,19/29,21%,NA
Michael Penix,QB,ATL,NA,31.8,20.3,235.7,NA,1,0.6,98.2,2.6,10.2,NA,0.1,NA,15.96,NA,18374,FleaFlicker,16583,5,MIASun 1:00 PM,NA,20/31,66%,NA
C.J. Stroud,QB,HOU,NA,32.5,20.7,221.5,NA,1,0.5,93.4,4,17.4,NA,0.1,NA,15.85,NA,17589,FleaFlicker,16150,6,SFSun 1:00 PM,NA,20/32,81%,NA
Carson Wentz,QB,MIN,NA,32.9,21.6,232.8,NA,1,0.9,97.4,3.2,14.6,NA,0.1,NA,15.42,NA,12032,FleaFlicker,12610,6,@LACThu 8:15 PM,NA,21/32,30%,NA
Spencer Rattler,QB,NO,NA,33.5,21.9,215,NA,1,0.7,92.4,4.1,21.9,NA,0.1,NA,15.38,NA,18553,FleaFlicker,16586,1,TBSun 4:05 PM,NA,21/33,38%,NA
Tyrod Taylor,QB,NYJ,NA,24.8,16.5,180.3,NA,1,0.6,102.8,5.2,26.1,NA,0.1,NA,14.56,NA,7592,FleaFlicker,10413,9,@CINSun 1:00 PM,NA,16/24,18%,NA
Dillon Gabriel,QB,CLE,NA,32.5,20.7,211,NA,1,0.6,92.1,2.8,10,NA,0.1,NA,14.47,NA,19304,FleaFlicker,17037,9,@NESun 1:00 PM,NA,20/32,31%,NA
Cam Ward,QB,TEN,NA,34.1,20.5,211.9,NA,1,0.8,86.8,2.3,9.7,NA,0.1,NA,13.73,NA,19243,FleaFlicker,17030,0,@INDSun 4:25 PM,NA,20/34,44%,NA
Tua Tagovailoa,QB,MIA,NA,31.5,21,209.4,NA,1,0.9,97.4,1.7,5.7,NA,0,NA,12.88,NA,15533,FleaFlicker,14778,2,@ATLSun 1:00 PM,NA,21/31,65%,NA
Andy Dalton,QB,CAR,NA,27.9,17.9,194.7,NA,1,0.8,96.8,2,6.7,NA,0,NA,12.65,NA,7404,FleaFlicker,10313,4,BUFSun 1:00 PM,NA,17/27,22%,NA
Mac Jones,QB,SF,NA,11.8,7.6,86.9,NA,1,0.3,118,1.1,2.3,NA,0,NA,8.04,NA,16235,FleaFlicker,15241,4,@HOUSun 1:00 PM,NA,7/11,33%,NA
Justin Fields,QB,NYJ,NA,9.3,6.2,65.6,NA,0.5,0.1,87.7,1.6,11,NA,0.1,NA,6.58,NA,16262,FleaFlicker,15238,9,@CINSun 1:00 PM,NA,6/9,73%,NA
DBryce Young,QB,CAR,NA,8.4,5.3,52.1,NA,0.3,0.2,81.3,0.7,3.2,NA,0,NA,3.91,NA,17602,FleaFlicker,16148,4,BUFSun 1:00 PM,NA,5/8,60%,NA
Tyler Huntley,QB,BAL,NA,1,0.7,8.5,NA,0.1,0,60.4,0.3,1.6,NA,0,NA,0.99,NA,15705,FleaFlicker,14789,7,CHISun 1:00 PM,NA,0/1,4%,NA
IRDWill Howard,QB,PIT,NA,0.9,0.6,6,NA,0.1,0,0.9,0.1,0.4,NA,0,NA,0.74,NA,19408,FleaFlicker,17036,5,GBSun 8:20 PM,NA,0/0,17%,NA
Brett Rypien,QB,IND,NA,1.4,0.8,8.3,NA,0.1,0.1,60.4,0.2,0.7,NA,0,NA,0.69,NA,15063,FleaFlicker,14065,1,TENSun 4:25 PM,NA,0/1,0%,NA
Gardner Minshew,QB,KC,NA,0.7,0.5,5.7,NA,0.1,0,0.7,0.1,0.6,NA,0,NA,0.54,NA,14860,FleaFlicker,14067,0,WASMon 8:15 PM,NA,0/0,7%,NA
Tyler Shough,QB,NO,NA,0.9,0.6,5.7,NA,0.1,0,0.9,0.1,0.5,NA,0,NA,0.52,NA,19321,FleaFlicker,17039,1,TBSun 4:05 PM,NA,0/0,24%,NA
Kirk Cousins,QB,ATL,NA,0.7,0.5,5.1,NA,0.1,0,0.7,0.1,0.6,NA,0,NA,0.51,NA,8625,FleaFlicker,10700,5,MIASun 1:00 PM,NA,0/0,20%,NA
Mitchell Trubisky,QB,BUF,NA,0.6,0.4,4.8,NA,0.1,0,0.6,0.1,0.7,NA,0,NA,0.51,NA,12893,FleaFlicker,13115,7,@CARSun 1:00 PM,NA,0/0,4%,NA
Jarrett Stidham,QB,DEN,NA,0.7,0.5,5,NA,0.1,0,0.7,0.1,0.7,NA,0,NA,0.51,NA,14770,FleaFlicker,14063,2,DALSun 4:25 PM,NA,0/0,2%,NA
Malik Willis,QB,GB,NA,0.6,0.3,4.4,NA,0.1,0,0.6,0.1,0.7,NA,0,NA,0.48,NA,16845,FleaFlicker,15694,5,@PITSun 8:20 PM,NA,0/0,9%,NA
Tyson Bagent,QB,CHI,NA,0.7,0.4,4.3,NA,0.1,0,0.7,0.1,0.6,NA,0,NA,0.48,NA,18054,FleaFlicker,16384,5,@BALSun 1:00 PM,NA,0/0,4%,NA
Joe Milton,QB,DAL,NA,0.7,0.5,4.7,NA,0.1,0,0.7,0.1,0.4,NA,0,NA,0.47,NA,18495,FleaFlicker,16585,0,@DENSun 4:25 PM,NA,0/0,12%,NA
Lamar Jackson,QB,BAL,NA,NA,NA,235.21,NA,2.01,0.59,NA,NA,59.01,NA,0.23,0.25,23.11,NA,2560757,NFL,13593,NA,NA,NA,NA,NA,0.01
Josh Allen,QB,BUF,NA,NA,NA,239.95,NA,1.91,0.71,NA,NA,40.23,NA,0.61,0.24,23.08,NA,2560955,NFL,13589,NA,NA,NA,NA,NA,0.01
Jalen Hurts,QB,PHI,NA,NA,NA,213.58,NA,1.34,0.58,NA,NA,33.18,NA,0.75,0.24,20.14,NA,2564832,NFL,14783,NA,NA,NA,NA,NA,0.01
Patrick Mahomes,QB,KC,NA,NA,NA,246.47,NA,1.9,0.61,NA,NA,29.62,NA,0.19,0.14,20.12,NA,2558125,NFL,13116,NA,NA,NA,NA,NA,0.01
Justin Herbert,QB,LAC,NA,NA,NA,260.91,NA,1.63,0.7,NA,NA,28.2,NA,0.12,0.18,18.8,NA,2565045,NFL,14779,NA,NA,NA,NA,NA,0.01
Baker Mayfield,QB,TB,NA,NA,NA,257.22,NA,1.81,0.8,NA,NA,23.94,NA,0.11,0.29,18.46,NA,2560800,NFL,13590,NA,NA,NA,NA,NA,0.01
Bo Nix,QB,DEN,NA,NA,NA,230.99,NA,1.82,0.79,NA,NA,25.37,NA,0.19,0.18,18.32,NA,2572003,NFL,16582,NA,NA,NA,NA,NA,0.01
Daniel Jones,QB,IND,NA,NA,NA,225.91,NA,1.33,0.66,NA,NA,30.61,NA,0.42,0.42,17.9,NA,2562299,NFL,14059,NA,NA,NA,NA,NA,0.02
Drake Maye,QB,NE,NA,NA,NA,228.57,NA,1.51,0.76,NA,NA,32.39,NA,0.21,0.28,17.66,NA,2572294,NFL,16580,NA,NA,NA,NA,NA,0.01
Brock Purdy,QB,SF,NA,NA,NA,257.75,NA,1.59,0.88,NA,NA,15.43,NA,0.23,0.13,17.63,NA,2568216,NFL,15698,NA,NA,NA,NA,NA,0.01
Marcus Mariota,QB,WAS,NA,NA,NA,221.71,NA,1.57,0.79,NA,NA,30.69,NA,0.23,0.4,17.34,NA,2552466,NFL,12141,NA,NA,NA,NA,NA,0.02
Dak Prescott,QB,DAL,NA,NA,NA,257.14,NA,1.89,0.79,NA,NA,9.73,NA,0.08,0.22,17.34,NA,2555260,NFL,12620,NA,NA,NA,NA,NA,0.01
Tua Tagovailoa,QB,MIA,NA,NA,NA,225.46,NA,1.97,0.69,NA,NA,7.28,NA,0.05,0.23,16.15,NA,2564499,NFL,14778,NA,NA,NA,NA,NA,0.01
Jaxson Dart,QB,NYG,NA,NA,NA,194.18,NA,1.45,0.79,NA,NA,25.29,NA,0.24,0.2,15.62,NA,2574419,NFL,17032,NA,NA,NA,NA,NA,0.01
Caleb Williams,QB,CHI,NA,NA,NA,205.45,NA,1.29,0.62,NA,NA,26.22,NA,0.13,0.27,15.06,NA,2571913,NFL,16579,NA,NA,NA,NA,NA,0.01
Jordan Love,QB,GB,NA,NA,NA,224.23,NA,1.54,0.75,NA,NA,10.47,NA,0.07,0.17,14.82,NA,2564007,NFL,14782,NA,NA,NA,NA,NA,0.01
Aaron Rodgers,QB,PIT,NA,NA,NA,196.91,NA,1.73,0.62,NA,NA,7.71,NA,0.06,0.14,14.47,NA,2506363,NFL,7836,NA,NA,NA,NA,NA,0.01
Tyrod Taylor,QB,NYJ,NA,NA,NA,200.71,NA,1.44,0.8,NA,NA,20.1,NA,0.12,0.4,14.24,NA,2495240,NFL,10413,NA,NA,NA,NA,NA,0.02
Carson Wentz,QB,MIN,NA,NA,NA,211.5,NA,1.27,0.85,NA,NA,17.78,NA,0.13,0.18,14.1,NA,2555259,NFL,12610,NA,NA,NA,NA,NA,0.01
C.J. Stroud,QB,HOU,NA,NA,NA,212.57,NA,1.35,0.7,NA,NA,14.82,NA,0.05,0.17,14,NA,2569819,NFL,16150,NA,NA,NA,NA,NA,0.01
Joe Flacco,QB,CIN,NA,NA,NA,224.85,NA,1.46,0.79,NA,NA,6.54,NA,0.06,0.26,13.81,NA,382,NFL,9064,NA,NA,NA,NA,NA,0.01
Michael Penix Jr.,QB,ATL,NA,NA,NA,222.85,NA,1.13,0.71,NA,NA,13.25,NA,0.13,0.23,13.72,NA,2571814,NFL,16583,NA,NA,NA,NA,NA,0.01
Andy Dalton,QB,CAR,NA,NA,NA,219.45,NA,1.49,0.89,NA,NA,9.94,NA,0.06,0.42,13.59,NA,2495143,NFL,10313,NA,NA,NA,NA,NA,0.02
Spencer Rattler,QB,NO,NA,NA,NA,222.59,NA,1.06,0.71,NA,NA,20.28,NA,0.03,0.33,13.33,NA,2572327,NFL,16586,NA,NA,NA,NA,NA,0.01
Dillon Gabriel,QB,CLE,NA,NA,NA,195.47,NA,1.29,0.74,NA,NA,7.08,NA,0.05,0.06,12.39,NA,2574045,NFL,17037,NA,NA,NA,NA,NA,NA
Cam Ward,QB,TEN,NA,NA,NA,189.98,NA,1.27,0.82,NA,NA,10.14,NA,0.09,0.24,12.17,NA,2574164,NFL,17030,NA,NA,NA,NA,NA,0.01
