player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,pass_comp_pct,pct_owned,fumble_TD,rec,rec_tgt,rec_yds,rec_tds,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Jalen Hurts,QB,PHI,NA,29.3,19.6,236.2,NA,1.7,0.5,NA,7.3,33.7,NA,0.6,0.3,22,NA,19275,FantasyPros,14783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Allen,QB,BUF,NA,28.7,19.1,225,NA,1.7,0.8,NA,6.7,34,NA,0.6,0.2,21.4,NA,17298,FantasyPros,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Herbert,QB,LAC,NA,32.3,21.6,252,NA,1.8,0.7,NA,4.5,24.2,NA,0.1,0.2,19.7,NA,18635,FantasyPros,14779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Purdy,QB,SF,NA,33.9,23.2,266.7,NA,1.8,0.9,NA,3.6,14.1,NA,0.2,0.2,19.3,NA,19797,FantasyPros,15698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake Maye,QB,NE,NA,31,21.4,247.4,NA,1.5,0.7,NA,6.2,29.1,NA,0.3,0.2,19.2,NA,23046,FantasyPros,16580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamar Jackson,QB,BAL,NA,27.9,18.4,215.8,NA,1.7,0.6,NA,6.1,34.3,NA,0.2,0.3,18.9,NA,17233,FantasyPros,13593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dak Prescott,QB,DAL,NA,35.8,23.6,258,NA,1.8,0.8,NA,3.6,14,NA,0.2,0.2,18.8,NA,15600,FantasyPros,12620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Burrow,QB,CIN,NA,36.4,25,249.6,NA,2,0.7,NA,2.2,9.3,NA,0.1,0.2,18.5,NA,19196,FantasyPros,14777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker Mayfield,QB,TB,NA,32.9,20.8,237.6,NA,1.9,0.7,NA,3.2,19.1,NA,0.1,0.2,18.3,NA,17237,FantasyPros,13590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Goff,QB,DET,NA,33.1,22.9,264.5,NA,1.9,0.6,NA,1.5,4.7,NA,0,0.2,18.1,NA,15501,FantasyPros,12611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacoby Brissett,QB,ARI,NA,34.9,23.1,242.3,NA,1.7,0.6,NA,3.9,16.8,NA,0.2,0.3,17.9,NA,15642,FantasyPros,12616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Love,QB,GB,NA,31.7,21,246.5,NA,1.7,0.7,NA,2.8,14,NA,0.1,0.2,17.5,NA,19246,FantasyPros,14782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Stroud,QB,HOU,NA,31.2,21,228.7,NA,1.7,0.5,NA,3.7,17,NA,0.1,0.1,17.4,NA,23071,FantasyPros,16150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaxson Dart,QB,NYG,NA,30.2,18.7,202.8,NA,1.3,0.7,NA,5.6,27.3,NA,0.4,0.2,17.4,NA,23160,FantasyPros,17032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bo Nix,QB,DEN,NA,35.4,22.5,214.4,NA,1.6,0.7,NA,4.3,19.3,NA,0.2,0.2,17.3,NA,22910,FantasyPros,16582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caleb Williams,QB,CHI,NA,32.3,19.6,213.5,NA,1.5,0.5,NA,4.6,22.3,NA,0.2,0.2,16.9,NA,23084,FantasyPros,16579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J.J. McCarthy,QB,MIN,NA,30.6,18.4,211.8,NA,1.6,1.2,NA,3.9,20.7,NA,0.2,0.2,16.7,NA,23018,FantasyPros,16584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Shough,QB,NO,NA,30.7,19.7,210,NA,1.4,0.7,NA,5.3,22.2,NA,0.3,0.2,16.6,NA,23096,FantasyPros,17039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Lawrence,QB,JAC,NA,32,19,216.3,NA,1.4,0.8,NA,4.3,19.1,NA,0.3,0.2,16.5,NA,19780,FantasyPros,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcus Mariota,QB,WAS,NA,30.3,18.1,207,NA,1.2,0.9,NA,5.6,34.2,NA,0.2,0.3,16.1,NA,13890,FantasyPros,12141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Rodgers,QB,PIT,NA,32.3,20.9,233.4,NA,1.6,0.6,NA,1.3,5.1,NA,0.1,0.2,16,NA,9001,FantasyPros,7836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tua Tagovailoa,QB,MIA,NA,30.4,20.7,227.2,NA,1.8,0.9,NA,1.5,5.8,NA,0,0.2,15.8,NA,19198,FantasyPros,14778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryce Young,QB,CAR,NA,29.4,19,203.9,NA,1.6,0.7,NA,3,15.6,NA,0.2,0.2,15.8,NA,22900,FantasyPros,16148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirk Cousins,QB,ATL,NA,32.2,20.9,240.2,NA,1.6,0.7,NA,1.4,6.3,NA,0.1,0.3,15.8,NA,11177,FantasyPros,10700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Stafford,QB,LAR,NA,34,22.6,234.9,NA,1.7,0.6,NA,1.6,3.5,NA,0,0.2,15.7,NA,9451,FantasyPros,9431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gardner Minshew II,QB,KC,NA,33.3,21.8,242.6,NA,1.4,0.9,NA,2.5,8.7,NA,0.1,0.3,15.4,NA,18562,FantasyPros,14067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Darnold,QB,SEA,NA,31.5,21,243.6,NA,1.4,0.9,NA,1.9,7.4,NA,0.1,0.3,15.1,NA,17236,FantasyPros,13592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shedeur Sanders,QB,CLE,NA,32.8,18.5,198.2,NA,1.1,1,NA,2.9,13.6,NA,0.1,0.2,12.7,NA,25968,FantasyPros,17031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philip Rivers,QB,IND,NA,31.4,20.9,194,NA,1.4,0.8,NA,0.6,2.6,NA,0,0.1,12.7,NA,9509,FantasyPros,7394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Ward,QB,TEN,NA,31.8,19.6,190.2,NA,1.1,0.6,NA,2.6,10.5,NA,0.1,0.3,12.2,NA,24755,FantasyPros,17030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrod Taylor,QB,NYJ,NA,22.1,13.5,157.9,NA,1.1,0.7,NA,4.2,21.2,NA,0.1,0.3,12.2,NA,10007,FantasyPros,10413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geno Smith,QB,LV,NA,33,20.9,205.2,NA,0.9,1,NA,3.1,10.9,NA,0,0.2,11.9,NA,11687,FantasyPros,11150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brady Cook,QB,NYJ,NA,12.1,7.5,77.6,NA,0.4,0.4,NA,2.4,10.6,NA,0.1,0.1,6,NA,27161,FantasyPros,17040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Fields,QB,NYJ,NA,3,1.8,18.6,NA,0.2,0.1,NA,0.2,0.9,NA,0.1,0,1.6,NA,19781,FantasyPros,15238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mac Jones,QB,SF,NA,0.7,0.5,5.8,NA,0.1,0,NA,0.2,0.6,NA,0,0,0.5,NA,20156,FantasyPros,15241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spencer Rattler,QB,NO,NA,0.9,0.5,5.5,NA,0.1,0,NA,0.1,0.6,NA,0,0,0.5,NA,23081,FantasyPros,16586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Wilson,QB,MIA,NA,0.6,0.4,4.7,NA,0.1,0,NA,0.1,0.8,NA,0,0,0.5,NA,22679,FantasyPros,15239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Flacco,QB,CIN,NA,0.8,0.6,5.3,NA,0.1,0,NA,0.1,0.5,NA,0,0,0.5,NA,9300,FantasyPros,9064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malik Willis,QB,GB,NA,0.6,0.4,4.6,NA,0.1,0,NA,0.2,0.7,NA,0,0,0.5,NA,23499,FantasyPros,15694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Huntley,QB,BAL,NA,0.6,0.4,4.3,NA,0.1,0,NA,0.2,0.8,NA,0,0,0.4,NA,19297,FantasyPros,14789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Milton III,QB,DAL,NA,0.8,0.5,5.2,NA,0.1,0,NA,0.2,0.4,NA,0,0,0.4,NA,25967,FantasyPros,16585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davis Mills,QB,HOU,NA,0.7,0.5,4.9,NA,0.1,0,NA,0.2,0.5,NA,0,0,0.4,NA,22799,FantasyPros,15252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Dobbs,QB,NE,NA,0.6,0.4,4.8,NA,0.1,0,NA,0.2,0.6,NA,0,0,0.4,NA,16417,FantasyPros,13119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Rypien,QB,IND,NA,1.2,0.7,7.8,NA,0,0,NA,0.3,1.3,NA,0,0,0.4,NA,18323,FantasyPros,14065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitchell Trubisky,QB,BUF,NA,0.6,0.4,4.2,NA,0.1,0,NA,0.2,0.7,NA,0,0,0.4,NA,16381,FantasyPros,13115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Richardson Sr.,QB,IND,NA,0.6,0.4,4.3,NA,0.1,0,NA,0.2,0.7,NA,0,0,0.4,NA,24347,FantasyPros,16152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyson Bagent,QB,CHI,NA,0.7,0.4,4.4,NA,0.1,0,NA,0.2,0.6,NA,0,0,0.4,NA,25321,FantasyPros,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Lock,QB,SEA,NA,0.6,0.4,4.6,NA,0.1,0,NA,0.2,0.5,NA,0,0,0.4,NA,18225,FantasyPros,14057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanner McKee,QB,PHI,NA,0.6,0.4,4.4,NA,0.1,0,NA,0.2,0.6,NA,0,0,0.4,NA,24740,FantasyPros,15702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Rudolph,QB,PIT,NA,0.6,0.4,4.3,NA,0.1,0,NA,0.1,0.5,NA,0,0,0.4,NA,17234,FantasyPros,13595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russell Wilson,QB,NYG,NA,0.7,0.4,4.1,NA,0.1,0,NA,0.2,0.6,NA,0,0,0.4,NA,11180,FantasyPros,10703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jameis Winston,QB,NYG,NA,0.7,0.4,4.1,NA,0.1,0,NA,0.2,0.6,NA,0,0,0.4,NA,13891,FantasyPros,12140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jarrett Stidham,QB,DEN,NA,0.7,0.5,4.3,NA,0.1,0,NA,0.2,0.3,NA,0,0,0.4,NA,18604,FantasyPros,14063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jimmy Garoppolo,QB,LAR,NA,0.7,0.5,4.6,NA,0.1,0,NA,0.1,0.1,NA,0,0,0.4,NA,12208,FantasyPros,11760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Mullens,QB,JAC,NA,0.6,0.4,4,NA,0.1,0,NA,0.2,0.1,NA,0,0,0.4,NA,16726,FantasyPros,13968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Dalton,QB,CAR,NA,0.6,0.4,4.1,NA,0.1,0,NA,0.2,0.6,NA,0,0.1,0.3,NA,9907,FantasyPros,10313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey Lance,QB,LAC,NA,0.7,0.4,4.9,NA,0,0,NA,0.2,0.6,NA,0,0,0.3,NA,20082,FantasyPros,15240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Johnson,QB,WAS,NA,1,0.5,5,NA,0,0,NA,0.3,0.5,NA,0,0,0.3,NA,9326,FantasyPros,9207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teddy Bridgewater,QB,TB,NA,0.7,0.4,4.6,NA,0,0,NA,0.2,0.4,NA,0,0,0.2,NA,12088,FantasyPros,11640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Allen,QB,TEN,NA,0.6,0.4,3.7,NA,0,0,NA,0.1,0.3,NA,0,0,0.2,NA,15745,FantasyPros,12621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dillon Gabriel,QB,CLE,NA,0.7,0.4,3.6,NA,0,0.1,NA,0.1,0.6,NA,0,0,0.1,NA,23150,FantasyPros,17037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenny Pickett,QB,LV,NA,0.7,0.4,3.9,NA,0,0.1,NA,0.1,0.4,NA,0,0,0.1,NA,22722,FantasyPros,15692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Milroe,QB,SEA,NA,0.4,0.2,2.5,NA,0,0,NA,0.2,0.4,NA,0,0,0.1,NA,22884,FantasyPros,17033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Max Brosmer,QB,MIN,NA,0.6,0.4,4.2,NA,0,0.1,NA,0.1,0.2,NA,0,0,0.1,NA,27580,FantasyPros,17282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Allen,QB,DET,NA,0.4,0.3,2.7,NA,0,0,NA,0.1,0.1,NA,0,0,0.1,NA,17869,FantasyPros,13879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Hurts,QB,PHI,NA,29.3,19.6,236.2,NA,2,0.5,113.6,7.3,33.7,NA,0.6,NA,25.22,NA,15581,FleaFlicker,14783,9,@WASSat 5:00 PM,QB3,19/29,98%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Allen,QB,BUF,NA,28.7,19.1,225,NA,2,0.8,115.8,6.7,34,NA,0.6,NA,24.25,NA,13761,FleaFlicker,13589,7,@CLESun 1:00 PM,QB1,19/28,99%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dak Prescott,QB,DAL,NA,35.8,23.6,258,NA,2,0.8,106.5,3.6,14.1,NA,0.2,NA,23.2,NA,12159,FleaFlicker,12620,0,LACSun 1:00 PM,QB5,23/35,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Goff,QB,DET,NA,33.1,22.9,264.5,NA,2,0.6,111.2,1.5,4.7,NA,0,NA,22.48,NA,12102,FleaFlicker,12611,8,PITSun 4:25 PM,QB11,22/33,96%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Burrow,QB,CIN,NA,36.4,25.1,249.6,NA,2,0.7,107.3,2.2,9.3,NA,0.1,NA,22.31,NA,15532,FleaFlicker,14777,0,@MIASun 1:00 PM,QB7,25/36,94%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Herbert,QB,LAC,NA,32.3,21.6,252,NA,2,0.7,110.4,4.5,24.2,NA,0.1,NA,22.14,NA,15516,FleaFlicker,14779,2,@DALSun 1:00 PM,QB16,21/32,94%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Purdy,QB,SF,NA,33.9,23.2,266.7,NA,2,0.9,114,3.6,14.2,NA,0.2,NA,21.83,NA,17045,FleaFlicker,15698,4,@INDMon 8:15 PM,QB9,23/33,89%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamar Jackson,QB,BAL,NA,27.9,18.4,215.8,NA,2,0.6,115.5,6.2,34.3,NA,0.2,NA,21.62,NA,13775,FleaFlicker,13593,7,NESun 8:20 PM,QB4,18/27,98%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J.J. McCarthy,QB,MIN,NA,30.6,18.4,211.8,NA,2,1.2,89.7,3.9,20.7,NA,0.2,NA,21.16,NA,18387,FleaFlicker,16584,6,@NYGSun 1:00 PM,QB21,18/30,66%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Rodgers,QB,PIT,NA,32.3,20.9,233.4,NA,2,0.6,105.3,1.3,5.1,NA,0.1,NA,21.12,NA,3452,FleaFlicker,7836,5,@DETSun 4:25 PM,QB25,20/32,62%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake Maye,QB,NE,NA,31,21.4,247.4,NA,1,0.7,105.8,6.2,29.1,NA,0.3,NA,21.04,NA,18357,FleaFlicker,16580,4,@BALSun 8:20 PM,QB2,21/30,96%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacoby Brissett,QB,ARI,NA,34.9,23.1,242.2,NA,2,0.6,107.7,3.9,16.8,NA,0.2,NA,20.97,NA,12079,FleaFlicker,12616,8,ATLSun 4:05 PM,QB10,23/34,61%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryce Young,QB,CAR,NA,29.4,19,203.9,NA,2,0.7,108.8,3,15.7,NA,0.2,NA,20.86,NA,17602,FleaFlicker,16148,4,TBSun 1:00 PM,QB23,19/29,62%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Stafford,QB,LAR,NA,34,22.6,234.9,NA,2,0.6,104.3,1.6,3.5,NA,0,NA,20.66,NA,6038,FleaFlicker,9431,8,@SEAThu 8:15 PM,QB6,22/34,95%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker Mayfield,QB,TB,NA,32.9,20.8,237.6,NA,2,0.7,105.9,3.2,19.1,NA,0.1,NA,20.57,NA,13758,FleaFlicker,13590,9,@CARSun 1:00 PM,QB18,20/32,95%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Stroud,QB,HOU,NA,31.2,21,228.7,NA,2,0.5,110.7,3.7,17,NA,0.1,NA,20.56,NA,17589,FleaFlicker,16150,6,LVSun 4:25 PM,QB17,21/31,78%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Love,QB,GB,NA,31.7,21,246.5,NA,2,0.7,113.1,2.8,14,NA,0.1,NA,20.43,NA,15522,FleaFlicker,14782,5,@CHISat 8:20 PM,QB13,21/31,93%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bo Nix,QB,DEN,NA,35.4,22.5,214.4,NA,2,0.8,99,4.2,19.3,NA,0.2,NA,20.17,NA,18362,FleaFlicker,16582,2,JACSun 4:05 PM,QB12,22/35,94%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirk Cousins,QB,ATL,NA,32.2,20.9,240.2,NA,2,0.7,106.3,1.4,6.3,NA,0.1,NA,19.12,NA,8625,FleaFlicker,10700,5,@ARISun 4:05 PM,QB27,20/32,33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tua Tagovailoa,QB,MIA,NA,30.4,20.7,227.2,NA,2,0.9,111.4,1.5,5.8,NA,0,NA,17.94,NA,15533,FleaFlicker,14778,2,CINSun 1:00 PM,QB24,20/30,64%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaxson Dart,QB,NYG,NA,30.2,18.7,202.8,NA,1,0.7,91.3,5.5,27.4,NA,0.4,NA,17.42,NA,19253,FleaFlicker,17032,4,MINSun 1:00 PM,QB8,18/30,76%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caleb Williams,QB,CHI,NA,32.3,19.6,213.5,NA,1,0.5,89.7,4.6,22.3,NA,0.2,NA,16.53,NA,18383,FleaFlicker,16579,5,GBSat 8:20 PM,QB15,19/32,90%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Shough,QB,NO,NA,30.7,19.7,210,NA,1,0.7,95,5.3,22.2,NA,0.3,NA,16.42,NA,19321,FleaFlicker,17039,1,NYJSun 1:00 PM,QB20,19/30,38%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcus Mariota,QB,WAS,NA,30.3,18.1,207,NA,1,0.9,91.9,5.6,34.2,NA,0.2,NA,16.41,NA,11184,FleaFlicker,12141,2,PHISat 5:00 PM,QB22,18/30,35%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Lawrence,QB,JAC,NA,32,19,216.2,NA,1,0.8,87.5,4.3,19.1,NA,0.3,NA,16.3,NA,16242,FleaFlicker,15237,8,@DENSun 4:05 PM,QB14,18/32,84%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gardner Minshew,QB,KC,NA,33.3,21.8,242.6,NA,1,0.8,95.8,2.5,8.7,NA,0.1,NA,15.36,NA,14860,FleaFlicker,14067,0,@TENSun 1:00 PM,QB29,21/33,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Darnold,QB,SEA,NA,31.5,21,243.6,NA,1,0.9,101.9,1.9,7.4,NA,0.1,NA,14.82,NA,13770,FleaFlicker,13592,8,LARThu 8:15 PM,QB19,21/31,76%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
