team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,curr_site_pts,idp_solo,pct_owned,return_tds,pos_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type,fumblesRecovered,opponentOffensiveRank
CLE,0.8,NA,2.7,NA,0.5,0.9,0.2,21.3,NA,NA,NA,328.4,NA,10.34,NA,FleaFlicker,0507,DST,2335,Cleveland Browns,NA,9,SFSun 1:00 PM,NA,0,72%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.7,NA,2.5,NA,0.6,1.1,0.2,19.3,NA,NA,NA,327.7,NA,10.29,NA,FleaFlicker,0503,DST,2344,Miami Dolphins,NA,12,NOSun 1:00 PM,NA,0,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,0.7,NA,2.8,NA,0.5,0.9,0.2,22.3,NA,NA,NA,324.3,NA,10.27,NA,FleaFlicker,0531,DST,2330,Baltimore Ravens,NA,7,CINL 14-32,10.27,0,74%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NE,0.7,NA,2.9,NA,0.5,0.7,0.2,19.8,NA,NA,NA,319.8,NA,10.16,NA,FleaFlicker,0504,DST,2346,New England Patriots,NA,14,NYGMon 8:15 PM,NA,0,67%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.8,NA,2.6,NA,0.5,0.9,0.2,23.9,NA,NA,NA,348.5,NA,10.14,NA,FleaFlicker,0532,DST,2340,Houston Texans,NA,6,@INDSun 1:00 PM,NA,0,89%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,0.8,NA,2.4,NA,0.6,1,0.2,16.6,NA,NA,NA,279,NA,10.02,NA,FleaFlicker,0528,DST,2356,Los Angeles Rams,NA,8,@CARSun 1:00 PM,NA,0,82%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,0.6,NA,2.9,NA,0.5,0.7,0.1,25.2,NA,NA,NA,335.5,NA,9.96,NA,FleaFlicker,0513,DST,2350,Las Vegas Raiders,NA,8,@LACSun 4:25 PM,NA,0,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,0.7,NA,2.4,NA,0.6,1,0.2,22,NA,NA,NA,315.3,NA,9.68,NA,FleaFlicker,0501,DST,2331,Buffalo Bills,NA,7,@PITSun 4:25 PM,NA,0,72%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC,0.7,NA,2.2,NA,0.6,0.9,0.2,23.9,NA,NA,NA,355.1,NA,9.64,NA,FleaFlicker,0512,DST,2343,Kansas City Chiefs,NA,10,@DALL 28-31,9.64,0,60%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB,0.6,NA,2.5,NA,0.5,0.8,0.1,24.5,NA,NA,NA,357.3,NA,9.49,NA,FleaFlicker,0523,DST,2339,Green Bay Packers,NA,5,@DETW 31-24,9.49,0,65%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.7,NA,2.7,NA,0.4,0.7,0.1,21,NA,NA,NA,327.2,NA,9.48,NA,FleaFlicker,0502,DST,2341,Indianapolis Colts,NA,11,HOUSun 1:00 PM,NA,0,47%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.8,NA,2.1,NA,0.6,1.1,0.1,25.8,NA,NA,NA,353.5,NA,9.43,NA,FleaFlicker,0524,DST,2345,Minnesota Vikings,NA,6,@SEASun 4:05 PM,NA,0,70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.8,NA,2.5,NA,0.5,0.7,0.1,24.4,NA,NA,NA,335,NA,9.21,NA,FleaFlicker,0508,DST,2358,Tennessee Titans,NA,10,JACSun 1:00 PM,NA,0,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.5,NA,2.6,NA,0.5,0.9,0.1,25.8,NA,NA,NA,348.4,NA,9.19,NA,FleaFlicker,0521,DST,2333,Chicago Bears,NA,5,@PHIW 24-15,9.19,0,42%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.7,NA,2.1,NA,0.6,0.9,0.2,19.6,NA,NA,NA,333.8,NA,9.05,NA,FleaFlicker,0518,DST,2351,Philadelphia Eagles,NA,9,CHIL 15-24,9.05,0,78%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,0.8,NA,2.1,NA,0.5,0.8,0.2,18.2,NA,NA,NA,281.5,NA,8.97,NA,FleaFlicker,0530,DST,2355,San Francisco 49ers,NA,14,@CLESun 1:00 PM,NA,0,33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,0.7,NA,2.5,NA,0.4,0.7,0.1,26.8,NA,NA,NA,376.3,NA,8.9,NA,FleaFlicker,0516,DST,2336,Dallas Cowboys,NA,10,KCW 31-28,8.9,0,26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,0.8,NA,2.1,NA,0.5,0.7,0.1,23.7,NA,NA,NA,321.4,NA,8.74,NA,FleaFlicker,0529,DST,2347,New Orleans Saints,NA,11,@MIASun 1:00 PM,NA,0,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.6,NA,2.1,NA,0.5,0.9,0.1,25.5,NA,NA,NA,341.8,NA,8.72,NA,FleaFlicker,0519,DST,2328,Arizona Cardinals,NA,8,@TBSun 1:00 PM,NA,0,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.6,NA,2.1,NA,0.5,0.8,0.2,23.1,NA,NA,NA,341.8,NA,8.66,NA,FleaFlicker,0522,DST,2338,Detroit Lions,NA,8,GBL 24-31,8.66,0,82%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.7,NA,2,NA,0.5,0.7,0.2,21.2,NA,NA,NA,322.6,NA,8.38,NA,FleaFlicker,0505,DST,2349,New York Jets,NA,9,ATLSun 1:00 PM,NA,0,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,0.6,NA,2.5,NA,0.4,0.6,0.1,27.9,NA,NA,NA,386,NA,8.31,NA,FleaFlicker,0506,DST,2334,Cincinnati Bengals,NA,10,@BALW 32-14,8.31,0,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.6,NA,1.7,NA,0.4,0.7,0.1,24.5,NA,NA,NA,359.2,NA,7.18,NA,FleaFlicker,0520,DST,2359,Washington Commanders,NA,12,DENSun 8:20 PM,NA,0,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.5,NA,1.7,NA,0.4,0.6,0.1,27,NA,NA,NA,363.4,NA,6.64,NA,FleaFlicker,0527,DST,2332,Carolina Panthers,NA,14,LARSun 1:00 PM,NA,0,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Seahawks,0.9,NA,2.9,NA,0.62,NA,0.14,18,NA,NA,NA,NA,NA,6.78,NA,NFL,0515,DST,100030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Rams,0.8,NA,2.98,NA,0.6,NA,0.13,18,NA,NA,NA,NA,NA,6.56,NA,NFL,0528,DST,100017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacksonville Jaguars,0.87,NA,3.02,NA,0.64,NA,0.08,22.75,NA,NA,NA,NA,NA,6.52,NA,NFL,0509,DST,100015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New England Patriots,0.83,NA,2.78,NA,0.56,NA,0.14,19.5,NA,NA,NA,NA,NA,6.4,NA,NFL,0504,DST,100021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Chargers,0.78,NA,2.55,NA,0.52,NA,0.13,17,NA,NA,NA,NA,NA,6.35,NA,NFL,0514,DST,100028,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Broncos,0.75,0.05,2.48,NA,0.54,NA,0.16,18.5,NA,NA,NA,NA,NA,6.12,NA,NFL,0511,DST,100009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco 49ers,0.81,NA,2.62,NA,0.56,NA,0.12,22.75,NA,NA,NA,NA,NA,6.08,NA,NFL,0530,DST,100029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami Dolphins,0.76,NA,2.64,NA,0.57,NA,0.13,22.75,NA,NA,NA,NA,NA,6.08,NA,NFL,0503,DST,100019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tampa Bay Buccaneers,0.75,NA,2.64,NA,0.57,NA,0.13,21.25,NA,NA,NA,NA,NA,6.06,NA,NFL,0525,DST,100031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baltimore Ravens,0.78,0.05,2.35,NA,0.52,NA,0.16,22.5,NA,NA,NA,NA,NA,6.01,NA,NFL,0531,DST,100002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buffalo Bills,0.7,0.05,2.44,NA,0.54,NA,0.16,22.75,NA,NA,NA,NA,NA,5.98,NA,NFL,0501,DST,100003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis Colts,0.78,NA,2.59,NA,0.52,NA,0.13,22.75,NA,NA,NA,NA,NA,5.97,NA,NFL,0502,DST,100014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia Eagles,0.82,0.05,2.31,NA,0.51,NA,0.15,18.75,NA,NA,NA,NA,NA,5.97,NA,NFL,0518,DST,100025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Texans,0.72,0.05,2.38,NA,0.52,NA,0.16,24.25,NA,NA,NA,NA,NA,5.92,NA,NFL,0532,DST,100013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas City Chiefs,0.7,0.05,2.3,NA,0.54,NA,0.16,22.75,NA,NA,NA,NA,NA,5.84,NA,NFL,0512,DST,100016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Lions,0.69,0.05,2.33,NA,0.53,NA,0.16,22.75,NA,NA,NA,NA,NA,5.83,NA,NFL,0522,DST,100010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Jets,0.72,NA,2.33,NA,0.48,NA,0.12,21,NA,NA,NA,NA,NA,5.81,NA,NFL,0505,DST,100024,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Falcons,0.79,NA,2.66,NA,0.57,NA,0.07,22.75,NA,NA,NA,NA,NA,5.8,NA,NFL,0526,DST,100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburgh Steelers,0.67,0.05,2.14,NA,0.48,NA,0.14,25.5,NA,NA,NA,NA,NA,5.38,NA,NFL,0510,DST,100027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Bay Packers,0.6,NA,2.16,NA,0.46,NA,0.14,22.75,NA,NA,NA,NA,NA,5.12,NA,NFL,0523,DST,100011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Commanders,0.67,NA,2.15,NA,0.46,NA,0.1,25,NA,NA,NA,NA,NA,5.01,NA,NFL,0520,DST,100032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Orleans Saints,0.61,NA,2.14,NA,0.43,NA,0.06,23.75,NA,NA,NA,NA,NA,4.94,NA,NFL,0529,DST,100022,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Browns,0.59,NA,2.13,NA,0.43,NA,0.11,24.5,NA,NA,NA,NA,NA,4.83,NA,NFL,0507,DST,100007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Cowboys,0.6,NA,1.85,NA,0.4,NA,0.1,22.75,NA,NA,NA,NA,NA,4.75,NA,NFL,0516,DST,100008,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona Cardinals,0.6,NA,2,NA,0.4,NA,0.1,28,NA,NA,NA,NA,NA,4.6,NA,NFL,0519,DST,100026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Vikings,0.57,0.04,1.83,NA,0.41,NA,0.12,25.5,NA,NA,NA,NA,NA,4.59,NA,NFL,0524,DST,100020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bears,0.59,NA,1.98,NA,0.4,NA,0.1,26,NA,NA,NA,NA,NA,4.56,NA,NFL,0521,DST,100005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee Titans,0.6,NA,2.02,NA,0.48,NA,0.06,24.75,NA,NA,NA,NA,NA,4.54,NA,NFL,0508,DST,100012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Giants,0.56,NA,1.92,NA,0.42,NA,0.09,26.75,NA,NA,NA,NA,NA,4.42,NA,NFL,0517,DST,100023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati Bengals,0.52,NA,1.78,NA,0.35,NA,0.09,22.75,NA,NA,NA,NA,NA,4.06,NA,NFL,0506,DST,100006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Las Vegas Raiders,0.55,NA,1.86,NA,0.4,NA,0.05,25.5,NA,NA,NA,NA,NA,4.06,NA,NFL,0513,DST,100018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carolina Panthers,0.51,NA,1.79,NA,0.41,NA,0.05,27.5,NA,NA,NA,NA,NA,3.93,NA,NFL,0527,DST,100004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,0.76,NA,3.65,NA,NA,NA,0.23,15.5,NA,NA,NA,298.11,NA,9.84,NA,FanDuel,0514,DST,53451,Los Angeles Chargers D/ST,NA,NA,NA,NA,NA,NA,NA,1,34,Los Angeles Chargers,34,Los Angeles Chargers,LAC,35,Las Vegas Raiders,LV,WEEKLY,0.39,30
SEA,0.79,NA,2.74,NA,NA,NA,0.23,15,NA,NA,NA,266.19,NA,9.48,NA,FanDuel,0515,DST,2919,Seattle D/ST,NA,NA,NA,NA,NA,NA,NA,2,28,Seattle Seahawks,28,Seattle Seahawks,SEA,18,Minnesota Vikings,MIN,WEEKLY,0.53,29
JAC,0.63,NA,3.41,NA,NA,NA,0.2,18.5,NA,NA,NA,274.92,NA,8.64,NA,FanDuel,0509,DST,2906,Jacksonville D/ST,NA,NA,NA,NA,NA,NA,NA,3,15,Jacksonville Jaguars,31,Tennessee Titans,TEN,15,Jacksonville Jaguars,JAC,WEEKLY,0.53,31
NE,0.78,NA,3.14,NA,NA,NA,0.19,19.5,NA,NA,NA,327.66,NA,8.29,NA,FanDuel,0504,DST,2910,New England D/ST,NA,NA,NA,NA,NA,NA,NA,4,19,New England Patriots,19,New England Patriots,NE,21,New York Giants,NYG,WEEKLY,0.49,12
MIA,0.64,NA,2.92,NA,NA,NA,0.2,18,NA,NA,NA,318.15,NA,8.13,NA,FanDuel,0503,DST,2908,Miami D/ST,NA,NA,NA,NA,NA,NA,NA,5,17,Miami Dolphins,17,Miami Dolphins,MIA,20,New Orleans Saints,NO,WEEKLY,0.44,28
DEN,0.76,NA,2.82,NA,NA,NA,0.2,18.5,NA,NA,NA,329.68,NA,8.11,NA,FanDuel,0511,DST,2901,Denver D/ST,NA,NA,NA,NA,NA,NA,NA,6,10,Denver Broncos,32,Washington Commanders,WSH,10,Denver Broncos,DEN,WEEKLY,0.42,13
TB,0.52,NA,3.58,NA,NA,NA,0.18,20.5,NA,NA,NA,348.6,NA,7.98,NA,FanDuel,0525,DST,2921,Tampa Bay D/ST,NA,NA,NA,NA,NA,NA,NA,7,30,Tampa Bay Buccaneers,30,Tampa Bay Buccaneers,TB,1,Arizona Cardinals,ARI,WEEKLY,0.54,22
ATL,0.51,NA,2.77,NA,NA,NA,0.2,17.75,NA,NA,NA,297.87,NA,7.95,NA,FanDuel,0526,DST,2893,Atlanta D/ST,NA,NA,NA,NA,NA,NA,NA,8,2,Atlanta Falcons,22,New York Jets,NYJ,2,Atlanta Falcons,ATL,WEEKLY,0.54,27
SF,0.64,NA,1.87,NA,NA,NA,0.22,15,NA,NA,NA,282.4,NA,7.67,NA,FanDuel,0530,DST,2918,San Francisco D/ST,NA,NA,NA,NA,NA,NA,NA,9,27,San Francisco 49ers,8,Cleveland Browns,CLE,27,San Francisco 49ers,SF,WEEKLY,0.25,32
LA,0.65,NA,2.2,NA,NA,NA,0.21,17,NA,NA,NA,298.17,NA,7.64,NA,FanDuel,0528,DST,53450,Los Angeles Rams D/ST,NA,NA,NA,NA,NA,NA,NA,10,33,Los Angeles Rams,5,Carolina Panthers,CAR,33,Los Angeles Rams,LA,WEEKLY,0.37,26
BAL,0.64,NA,3.15,NA,NA,NA,0.17,22.5,NA,NA,NA,340.28,NA,7.06,NA,FanDuel,0531,DST,2894,Baltimore D/ST,NA,NA,NA,NA,NA,NA,NA,11,3,Baltimore Ravens,3,Baltimore Ravens,BAL,7,Cincinnati Bengals,CIN,WEEKLY,0.43,25
PHI,0.56,NA,2.08,NA,NA,NA,0.2,18.25,NA,NA,NA,335.66,NA,6.98,NA,FanDuel,0518,DST,2915,Philadelphia D/ST,NA,NA,NA,NA,NA,NA,NA,12,24,Philadelphia Eagles,24,Philadelphia Eagles,PHI,6,Chicago Bears,CHI,WEEKLY,0.39,11
CLE,0.74,NA,2.29,NA,NA,NA,0.17,20.5,NA,NA,NA,319.07,NA,6.63,NA,FanDuel,0507,DST,2899,Cleveland D/ST,NA,NA,NA,NA,NA,NA,NA,13,8,Cleveland Browns,8,Cleveland Browns,CLE,27,San Francisco 49ers,SF,WEEKLY,0.33,10
IND,0.64,NA,2.48,NA,NA,NA,0.18,20.75,NA,NA,NA,335.11,NA,6.59,NA,FanDuel,0502,DST,2905,Indianapolis D/ST,NA,NA,NA,NA,NA,NA,NA,14,14,Indianapolis Colts,14,Indianapolis Colts,IND,13,Houston Texans,HOU,WEEKLY,0.3,23
PIT,0.76,NA,3.01,NA,NA,NA,0.15,24.25,NA,NA,NA,378.86,NA,6.56,NA,FanDuel,0510,DST,2916,Pittsburgh D/ST,NA,NA,NA,NA,NA,NA,NA,15,25,Pittsburgh Steelers,25,Pittsburgh Steelers,PIT,4,Buffalo Bills,BUF,WEEKLY,0.44,4
NYJ,0.65,NA,2.12,NA,NA,NA,0.17,20.75,NA,NA,NA,310.16,NA,6.41,NA,FanDuel,0505,DST,2912,New York Jets D/ST,NA,NA,NA,NA,NA,NA,NA,16,22,New York Jets,22,New York Jets,NYJ,2,Atlanta Falcons,ATL,WEEKLY,0.42,24
NYG,0.68,NA,3.25,NA,NA,NA,0.13,27,NA,NA,NA,374.98,NA,6.31,NA,FanDuel,0517,DST,2913,New York Giants D/ST,NA,NA,NA,NA,NA,NA,NA,17,21,New York Giants,19,New England Patriots,NE,21,New York Giants,NYG,WEEKLY,0.63,7
BUF,0.52,NA,2.35,NA,NA,NA,0.17,21.25,NA,NA,NA,325.77,NA,6.3,NA,FanDuel,0501,DST,2895,Buffalo D/ST,NA,NA,NA,NA,NA,NA,NA,18,4,Buffalo Bills,25,Pittsburgh Steelers,PIT,4,Buffalo Bills,BUF,WEEKLY,0.4,17
KC,0.77,NA,2.44,NA,NA,NA,0.15,25,NA,NA,NA,359.15,NA,6.26,NA,FanDuel,0512,DST,2907,Kansas City D/ST,NA,NA,NA,NA,NA,NA,NA,19,16,Kansas City Chiefs,9,Dallas Cowboys,DAL,16,Kansas City Chiefs,KC,WEEKLY,0.62,5
DET,0.65,NA,2.31,NA,NA,NA,0.17,22.75,NA,NA,NA,340.43,NA,6.2,NA,FanDuel,0522,DST,2902,Detroit D/ST,NA,NA,NA,NA,NA,NA,NA,20,11,Detroit Lions,11,Detroit Lions,DET,12,Green Bay Packers,GB,WEEKLY,0.48,6
TEN,0.78,NA,2.43,NA,NA,NA,0.15,24,NA,NA,NA,321.51,NA,6.14,NA,FanDuel,0508,DST,2922,Tennessee D/ST,NA,NA,NA,NA,NA,NA,NA,21,31,Tennessee Titans,31,Tennessee Titans,TEN,15,Jacksonville Jaguars,JAC,WEEKLY,0.45,20
NO,0.74,NA,2.2,NA,NA,NA,0.15,23.5,NA,NA,NA,322.02,NA,6.01,NA,FanDuel,0529,DST,2911,New Orleans D/ST,NA,NA,NA,NA,NA,NA,NA,22,20,New Orleans Saints,17,Miami Dolphins,MIA,20,New Orleans Saints,NO,WEEKLY,0.48,21
HOU,0.68,NA,2.62,NA,NA,NA,0.15,23.75,NA,NA,NA,367.94,NA,6.01,NA,FanDuel,0532,DST,2904,Houston D/ST,NA,NA,NA,NA,NA,NA,NA,22,13,Houston Texans,14,Indianapolis Colts,IND,13,Houston Texans,HOU,WEEKLY,0.35,1
LV,0.54,NA,3.09,NA,NA,NA,0.14,25,NA,NA,NA,343.8,NA,6.01,NA,FanDuel,0513,DST,54498,Las Vegas D/ST,NA,NA,NA,NA,NA,NA,NA,22,35,Las Vegas Raiders,34,Los Angeles Chargers,LAC,35,Las Vegas Raiders,LV,WEEKLY,0.45,16
ARI,0.67,NA,2.2,NA,NA,NA,0.15,24,NA,NA,NA,335.64,NA,5.81,NA,FanDuel,0519,DST,2892,Arizona D/ST,NA,NA,NA,NA,NA,NA,NA,25,1,Arizona Cardinals,30,Tampa Bay Buccaneers,TB,1,Arizona Cardinals,ARI,WEEKLY,0.5,19
GB,0.58,NA,2.73,NA,NA,NA,0.14,25.75,NA,NA,NA,375.71,NA,5.26,NA,FanDuel,0523,DST,2903,Green Bay D/ST,NA,NA,NA,NA,NA,NA,NA,26,12,Green Bay Packers,11,Detroit Lions,DET,12,Green Bay Packers,GB,WEEKLY,0.28,8
WSH,0.72,NA,1.96,NA,NA,NA,0.14,25,NA,NA,NA,336.07,NA,5.18,NA,FanDuel,0520,DST,2923,Washington D/ST,NA,NA,NA,NA,NA,NA,NA,27,32,Washington Commanders,32,Washington Commanders,WSH,10,Denver Broncos,DEN,WEEKLY,0.41,15
MIN,0.85,NA,2.21,NA,NA,NA,0.13,26.5,NA,NA,NA,368.89,NA,5.17,NA,FanDuel,0524,DST,2909,Minnesota D/ST,NA,NA,NA,NA,NA,NA,NA,28,18,Minnesota Vikings,28,Seattle Seahawks,SEA,18,Minnesota Vikings,MIN,WEEKLY,0.36,9
CHI,0.56,NA,2.42,NA,NA,NA,0.14,25.25,NA,NA,NA,346.1,NA,5.14,NA,FanDuel,0521,DST,2897,Chicago D/ST,NA,NA,NA,NA,NA,NA,NA,29,6,Chicago Bears,24,Philadelphia Eagles,PHI,6,Chicago Bears,CHI,WEEKLY,0.35,14
CIN,0.6,NA,3.17,NA,NA,NA,0.11,30,NA,NA,NA,378.56,NA,5.14,NA,FanDuel,0506,DST,2898,Cincinnati D/ST,NA,NA,NA,NA,NA,NA,NA,29,7,Cincinnati Bengals,3,Baltimore Ravens,BAL,7,Cincinnati Bengals,CIN,WEEKLY,0.55,18
DAL,0.68,NA,2.72,NA,NA,NA,0.13,28.5,NA,NA,NA,363.16,NA,4.93,NA,FanDuel,0516,DST,2900,Dallas D/ST,NA,NA,NA,NA,NA,NA,NA,31,9,Dallas Cowboys,9,Dallas Cowboys,DAL,16,Kansas City Chiefs,KC,WEEKLY,0.35,3
CAR,0.69,NA,2.38,NA,NA,NA,0.13,27.5,NA,NA,NA,361.47,NA,4.67,NA,FanDuel,0527,DST,2896,Carolina D/ST,NA,NA,NA,NA,NA,NA,NA,32,5,Carolina Panthers,5,Carolina Panthers,CAR,33,Los Angeles Rams,LA,WEEKLY,0.32,2
