player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,dst_int,dst_fum_rec,dst_sacks,dst_fumbles,dst_tackles,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Stefon Diggs,WR,NE,NA,7.38,4.89,44.45,NA,NA,0.32,0,0,NA,0,NA,8.77,NA,52804,FanDuel,12186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,43,112,31,19,New England Patriots,17,Miami Dolphins,MIA,19,New England Patriots,NE,WEEKLY
Wan'Dale Robinson,WR,NYG,NA,7.5,4.88,47.58,NA,NA,0.24,0,0,NA,0,NA,8.66,NA,55262,FanDuel,15757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,44,113,27,21,New York Giants,9,Dallas Cowboys,DAL,21,New York Giants,NYG,WEEKLY
Matthew Golden,WR,GB,NA,6.35,3.7,45.99,NA,NA,0.32,0,0,NA,0,NA,8.35,NA,56262,FanDuel,17075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,45,116,4,12,Green Bay Packers,12,Green Bay Packers,GB,32,Washington Commanders,WSH,WEEKLY
Jauan Jennings,WR,SF,NA,6.7,4.05,46.21,NA,NA,0.29,0,0,NA,0,NA,8.33,NA,54987,FanDuel,14860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,46,118,16,27,San Francisco 49ers,20,New Orleans Saints,NO,27,San Francisco 49ers,SF,WEEKLY
Cooper Kupp,WR,SEA,NA,5.94,3.83,49.8,NA,NA,0.24,0,0,NA,0,NA,8.3,NA,53448,FanDuel,13164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,47,119,26,28,Seattle Seahawks,25,Pittsburgh Steelers,PIT,28,Seattle Seahawks,SEA,WEEKLY
JuJu Smith-Schuster,WR,KC,NA,6.07,4.12,45.33,NA,NA,0.27,0,0,NA,0,NA,8.11,NA,53422,FanDuel,13156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,48,121,19,16,Kansas City Chiefs,16,Kansas City Chiefs,KC,24,Philadelphia Eagles,PHI,WEEKLY
Cedric Tillman,WR,CLE,NA,5.82,3.49,47.05,NA,NA,0.21,0,0,NA,0,NA,7.69,NA,55651,FanDuel,16191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,49,124,32,8,Cleveland Browns,3,Baltimore Ravens,BAL,8,Cleveland Browns,CLE,WEEKLY
Marvin Mims,WR,DEN,NA,5.09,3.25,42.22,NA,NA,0.22,0.74,3.84,NA,0.03,NA,7.65,NA,55594,FanDuel,16189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,50,125,6,10,Denver Broncos,14,Indianapolis Colts,IND,10,Denver Broncos,DEN,WEEKLY
Josh Palmer,WR,BUF,NA,5.36,3.22,45.74,NA,NA,0.23,0,0,NA,0,NA,7.54,NA,54899,FanDuel,15319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,51,127,24,4,Buffalo Bills,22,New York Jets,NYJ,4,Buffalo Bills,BUF,WEEKLY
Michael Pittman Jr.,WR,IND,NA,6.46,4.14,42.19,NA,NA,0.21,0,0,NA,0,NA,7.51,NA,54524,FanDuel,14842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,52,129,1,14,Indianapolis Colts,14,Indianapolis Colts,IND,10,Denver Broncos,DEN,WEEKLY
