player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Isaiah Davis,RB,NYJ,1,5.8,29.7,5.1,0.1,1.3,0.9,7.9,7.9,8.8,0,0,2.6,2.6,26718641,CBS,16752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean Tucker,RB,TB,1,7.1,29.7,4.2,0.1,0.5,0.5,1.7,1.7,3.4,0,0,2.6,2.6,3168416,CBS,16166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Rodriguez Jr.,RB,WAS,1,5.1,26.2,5.1,0.1,0,0,0.3,0.3,0,0,0,2.6,2.6,2964667,CBS,16174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zonovan Knight,RB,ARI,1,4.1,21.3,5.2,0.1,1,0.8,7.2,7.2,9,0,0.1,2.4,2.4,3121860,CBS,15727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameer Abdullah,RB,IND,1,2,12.1,6.1,0.2,0.6,0.5,3.9,3.9,7.8,0,0,2.2,2.2,1824308,CBS,12155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyjae Spears,RB,TEN,1,4.1,15.4,3.8,0.1,1.7,1.3,9.3,9.3,7.2,0.1,0,2.2,2.2,3122588,CBS,16165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaleb Johnson,RB,PIT,1,3.1,10.4,3.4,0.1,0.5,0.3,3.3,3.3,11,0,0,1.6,1.6,28875572,CBS,17048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emanuel Wilson,RB,GB,1,3.7,19,5.1,0.1,0.7,0.6,6.1,6.1,10.2,0,0,1.6,1.6,29104952,CBS,16432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ray Davis,RB,BUF,1,3,10.6,3.5,0.1,0.2,0.2,1.4,1.4,7,0,0,1.6,1.6,3123108,CBS,16603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Juszczyk,FB,SF,1,0.3,0.6,2,0,2.1,1.7,16.5,16.5,9.7,0.1,0,1.6,1.6,1683145,CBS,11367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
