player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Adonai Mitchell,WR,NYJ,NA,3.44,1.73,23.57,NA,NA,0.09,0,0,NA,0,NA,3.72,NA,55915,FanDuel,16626,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,87,216,11,22,New York Jets,22,New York Jets,NYJ,19,New England Patriots,NE,WEEKLY
Xavier Weaver,WR,ARI,NA,2.92,1.67,21.16,NA,NA,0.13,0,0,NA,0,NA,3.71,NA,56143,FanDuel,16634,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,217,30,1,Arizona Cardinals,7,Cincinnati Bengals,CIN,1,Arizona Cardinals,ARI,WEEKLY
Dontayvion Wicks,WR,GB,NA,3.06,1.81,20.32,NA,NA,0.13,0,0,NA,0,NA,3.68,NA,55705,FanDuel,16195,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,89,218,14,12,Green Bay Packers,12,Green Bay Packers,GB,3,Baltimore Ravens,BAL,WEEKLY
Theo Wease Jr.,WR,MIA,NA,3.16,1.77,20.33,NA,NA,0.13,0,0,NA,0,NA,3.64,NA,56586,FanDuel,17088,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,90,219,17,17,Miami Dolphins,17,Miami Dolphins,MIA,30,Tampa Bay Buccaneers,TB,WEEKLY
Marquez Valdes-Scantling,WR,PIT,NA,2.79,1.31,22.77,NA,NA,0.11,0,0,NA,0,NA,3.57,NA,53904,FanDuel,13793,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,91,222,3,25,Pittsburgh Steelers,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Isaiah Williams,WR,NYJ,NA,3.16,1.82,19.47,NA,NA,0.1,0.29,1.2,NA,0.01,NA,3.56,NA,56165,FanDuel,16630,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,92,224,11,22,New York Jets,22,New York Jets,NYJ,19,New England Patriots,NE,WEEKLY
Calvin Austin III,WR,PIT,NA,2.79,1.63,21.7,NA,NA,0.1,0,0,NA,0,NA,3.54,NA,55637,FanDuel,15777,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,93,225,3,25,Pittsburgh Steelers,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Tutu Atwell,WR,LA,NA,2.51,1.42,20.43,NA,NA,0.13,0,0,NA,0,NA,3.51,NA,54990,FanDuel,15301,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,94,227,18,33,Los Angeles Rams,2,Atlanta Falcons,ATL,33,Los Angeles Rams,LA,WEEKLY
Kalif Raymond,WR,DET,NA,2.29,1.56,20.25,NA,NA,0.1,0,0,NA,0,NA,3.37,NA,53362,FanDuel,13066,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,95,230,7,11,Detroit Lions,18,Minnesota Vikings,MIN,11,Detroit Lions,DET,WEEKLY
Tyler Johnson,WR,NYJ,NA,2.87,1.68,19.94,NA,NA,0.07,0,0,NA,0,NA,3.23,NA,54550,FanDuel,14864,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,96,232,11,22,New York Jets,22,New York Jets,NYJ,19,New England Patriots,NE,WEEKLY
Cedric Tillman,WR,CLE,NA,2.94,1.53,18.14,NA,NA,0.1,0,0,NA,0,NA,3.16,NA,55651,FanDuel,16191,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,97,234,19,8,Cleveland Browns,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
David Sills V,WR,ATL,NA,2.67,1.51,16.54,NA,NA,0.13,0,0,NA,0,NA,3.15,NA,55104,FanDuel,14110,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,98,235,4,2,Atlanta Falcons,2,Atlanta Falcons,ATL,33,Los Angeles Rams,LA,WEEKLY
Brandin Cooks,WR,BUF,NA,2.65,1.55,15.78,NA,NA,0.11,0,0,NA,0,NA,3.01,NA,52427,FanDuel,11674,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,99,237,5,4,Buffalo Bills,4,Buffalo Bills,BUF,24,Philadelphia Eagles,PHI,WEEKLY
Xavier Hutchinson,WR,HOU,NA,2.65,1.53,16.47,NA,NA,0.1,0,0,NA,0,NA,2.97,NA,55693,FanDuel,16201,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,100,238,9,13,Houston Texans,34,Los Angeles Chargers,LAC,13,Houston Texans,HOU,WEEKLY
Mason Tipton,WR,NO,NA,2.48,1.44,15.78,NA,NA,0.11,0,0,NA,0,NA,2.92,NA,56021,FanDuel,16858,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,101,239,27,20,New Orleans Saints,31,Tennessee Titans,TEN,20,New Orleans Saints,NO,WEEKLY
Josh Palmer,WR,BUF,NA,2.06,1.25,17.59,NA,NA,0.07,0,0,NA,0,NA,2.78,NA,54899,FanDuel,15319,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,102,245,5,4,Buffalo Bills,4,Buffalo Bills,BUF,24,Philadelphia Eagles,PHI,WEEKLY
Jalin Hyatt,WR,NYG,NA,2.36,1.26,15.69,NA,NA,0.09,0,0,NA,0,NA,2.72,NA,55604,FanDuel,16183,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,103,248,24,21,New York Giants,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
Isaac TeSlaa,WR,DET,NA,1.97,1.13,14.63,NA,NA,0.1,0,0,NA,0,NA,2.61,NA,56307,FanDuel,17157,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,104,250,7,11,Detroit Lions,18,Minnesota Vikings,MIN,11,Detroit Lions,DET,WEEKLY
