player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Austin Seibert,K,WAS,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,9.38,NA,14847,FleaFlicker,14258,NA,NA,NA,NA,NA,DALSun 1:00 PM,NA,4,NA,K15,2/1,2/2,47%,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,9.27,NA,9754,FleaFlicker,11947,NA,NA,NA,NA,NA,SFSun 4:25 PM,NA,0,NA,K22,2/1,2/2,12%,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.2,9.16,NA,18337,FleaFlicker,16846,NA,NA,NA,NA,NA,@INDSun 1:00 PM,NA,5,NA,K13,2/2,3/3,61%,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,9.16,NA,18562,FleaFlicker,16775,NA,NA,NA,NA,NA,PHISun 8:20 PM,NA,6,NA,K25,2/2,2/2,11%,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,8.7,NA,6304,FleaFlicker,9694,NA,NA,NA,NA,NA,TBSun 1:00 PM,NA,1,NA,K30,2/1,1/1,4%,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,8.68,NA,12347,FleaFlicker,12860,NA,NA,NA,NA,NA,TENSun 1:00 PM,NA,4,NA,K1,2/2,2/2,93%,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,8.61,NA,13947,FleaFlicker,13718,NA,NA,NA,NA,NA,DENSun 4:05 PM,NA,0,NA,K19,2/2,1/1,18%,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,8.53,NA,17315,FleaFlicker,15979,NA,NA,NA,NA,NA,BALMon 8:15 PM,NA,5,NA,K11,2/2,2/2,68%,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,7.92,NA,18330,FleaFlicker,16414,NA,NA,NA,NA,NA,@WASSun 1:00 PM,NA,7,NA,K2,2/1,1/1,91%,NA,NA,NA,NA,NA,NA,NA
Zane Gonzalez,K,WAS,NA,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5.97,NA,13085,FleaFlicker,13347,NA,NA,NA,NA,NA,DALSun 1:00 PM,NA,4,NA,NA,0/0,1/1,4%,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,CLE,NA,1,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,5.74,NA,9416,FleaFlicker,11387,NA,NA,NA,NA,NA,PITW 24-19,NA,0,5.74,K24,1/1,1/1,21%,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,NA,1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,5.74,NA,13986,FleaFlicker,13719,NA,NA,NA,NA,NA,KCSun 1:00 PM,NA,1,NA,NA,1/2,1/1,4%,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,TEN,NA,1,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,5.73,NA,4780,FleaFlicker,8851,NA,NA,NA,NA,NA,@HOUSun 1:00 PM,NA,5,NA,NA,1/1,1/1,39%,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,NA,1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,5.68,NA,17665,FleaFlicker,16286,NA,NA,NA,NA,NA,@GBSun 4:25 PM,NA,9,NA,K10,1/1,2/2,66%,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,5.67,NA,17688,FleaFlicker,16292,NA,NA,NA,NA,NA,@SEASun 4:25 PM,NA,1,NA,K28,1/1,2/2,5%,NA,NA,NA,NA,NA,NA,NA
John Parker,K,K,NA,1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,5.32,NA,17237,FleaFlicker,NA,NA,NA,NA,NA,NA,@CHISun 1:00 PM,NA,6,NA,NA,1/1,2/2,6%,NA,NA,NA,NA,NA,NA,NA
IRMatt Prater,K,ARI,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,4221,FleaFlicker,8930,NA,NA,NA,NA,NA,@SEASun 4:25 PM,NA,1,NA,K20,0/0,0/0,7%,NA,NA,NA,NA,NA,NA,NA
Jude McAtamney,K,NYG,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,19165,FleaFlicker,16848,NA,NA,NA,NA,NA,TBSun 1:00 PM,NA,1,NA,NA,0/0,0/0,1%,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,1.88,2.13,0,NA,0.5,NA,0.67,NA,0.57,NA,0.15,NA,3.8,NA,10.35,NA,jake-bates,NumberFire,16846,NA,NA,NA,NA,NA,IND,NA,NA,NA,NA,NA,NA,NA,5.5,15.2,#15,1,10.34,10.34,10.34
Wil Lutz,K,DEN,NA,1.89,2.16,0.02,NA,0.73,NA,0.63,NA,0.38,NA,0.15,NA,3.01,NA,9.43,NA,wil-lutz,NumberFire,12956,NA,NA,NA,NA,NA,LV,NA,NA,NA,NA,NA,NA,NA,4.58,14.28,#24,2,9.42,9.42,9.42
Chase McLaughlin,K,TB,NA,1.81,2.02,0.02,NA,0.71,NA,0.57,NA,0.47,NA,0.09,NA,2.84,NA,9.06,NA,chase-mclaughlin,NumberFire,14717,NA,NA,NA,NA,NA,NYG,NA,NA,NA,NA,NA,NA,NA,4.79,13.33,#16,3,9.07,9.07,9.07
