id,src_id,pos,player,team,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,data_src,fumbles_lost,site_pts,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,draft_rank,pass_comp_pct,pass_rate,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value
16150,2569819,QB,C.J. Stroud,HOU,NA,NA,266.24,2.01,0.73,NA,11.85,0.12,NFL,0.18,18.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16152,2569864,QB,Anthony Richardson,IND,NA,NA,191.5,1.1,0.75,NA,46.65,0.54,NFL,0.18,18.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12620,2555260,QB,Dak Prescott,DAL,NA,NA,249.42,1.86,0.68,NA,13.82,0.12,NFL,0.19,17.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14056,2562382,QB,Kyler Murray,ARI,NA,NA,228.74,1.37,0.72,NA,32.24,0.28,NFL,0.18,17.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12611,2555334,QB,Jared Goff,DET,NA,NA,271.02,1.87,0.71,NA,3.61,0.06,NFL,0.19,17.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15698,2568216,QB,Brock Purdy,SF,NA,NA,242.99,1.82,0.67,NA,10.12,0.12,NFL,0.18,17.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14782,2564007,QB,Jordan Love,GB,NA,NA,217.52,1.55,0.66,NA,11.77,0.16,NFL,0.17,15.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16581,2572564,QB,Jayden Daniels,WAS,NA,NA,187.65,1.08,0.76,NA,31.57,0.27,NFL,0.16,14.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13590,2560800,QB,Baker Mayfield,TB,NA,NA,221.97,1.41,0.71,NA,11.18,0.12,NFL,0.18,14.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14779,2565045,QB,Justin Herbert,LAC,NA,NA,209.34,1.39,0.59,NA,11.23,0.17,NFL,0.21,14.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
