player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,xp_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned
Spencer Shrader,K,IND,NA,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,7.1,NA,26763,FantasyPros,16896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,NA,1.7,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,7,NA,11345,FantasyPros,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brayden Narveson,K,GB,NA,1.4,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,7,NA,26581,FantasyPros,16873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,TEN,NA,1.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,6.9,NA,9491,FantasyPros,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,NA,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,6.9,NA,26478,FantasyPros,16775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,NA,1.5,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,6.7,NA,26341,FantasyPros,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,NA,1.4,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,6.6,NA,26475,FantasyPros,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,1.6,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6.5,NA,9232,FantasyPros,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,WAS,NA,1.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6.5,NA,24549,FantasyPros,15882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,NE,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6.4,NA,19028,FantasyPros,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,1.4,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6.2,NA,16026,FantasyPros,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,NA,1.3,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,6,NA,9443,FantasyPros,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,IND,NA,1.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,6,NA,18545,FantasyPros,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santos, Cairo",K,CHI,NA,2.2,2.4,0,NA,0.5,NA,0.7,NA,0.5,NA,0.4,NA,2,2.2,9.2,NA,NA,FantasySharks,11945,NA,NA,NA,NA,NA,TEN,0.2,NA,NA,NA,NA,NA,NA,NA
