id,src_id,pos,player,team,rush_att,rush_yds,rush_tds,rec_yds,rec_tds,rec,rec_tgt,pass_att,pass_comp,pass_yds,pass_tds,pass_int,data_src,fumbles_lost,site_pts,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
16196,24353,WR,A.T. Perry,NO,0,0,0,1,0,0.1,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16623,26213,WR,Brenden Rice,LAC,0,0,0,1,0,0.1,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13963,18166,WR,KhaDarel Hodge,ATL,0,0,0,0.7,0,0.1,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16758,26377,WR,Jha'Quan Jackson,TEN,0,0,0,0.9,0,0.1,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13176,16431,WR,Zay Jones,ARI,0,0,0,0.6,0,0.1,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15901,23896,WR,Kyle Philips,PHI,0,0,0,0.6,0,0,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16423,25754,WR,Jason Brownlee,NYJ,0,0,0,0.6,0,0,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15289,20119,WR,Kadarius Toney,CLE,0,0,0,0.4,0,0.1,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16193,22989,WR,Kayshon Boutte,NE,0,0,0,0.6,0,0,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14832,NA,WR,"Lamb, CeeDee",DAL,NA,6,0.1,92,0.7,6.9,10.3,NA,NA,NA,NA,NA,FantasySharks,0.1,14,BAL,1.5,0.2,0.2,0.1,0.1,0,0.1,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12801,NA,WR,"Hill, Tyreek",MIA,NA,2,0,92,0.6,6.2,9.7,NA,NA,NA,NA,NA,FantasySharks,0,12.9,@SEA,1.2,0.2,0,0.1,0,0.1,0.2,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14836,NA,WR,"Jefferson, Justin",MIN,NA,0,0,91,0.5,5.7,9,NA,NA,NA,NA,NA,FantasySharks,0,12.3,HOU,1.2,0.2,0.1,0.1,0.1,0,0.1,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16614,NA,WR,"Harrison Jr., Marvin",ARI,NA,1,0,74,0.7,4.9,8.1,NA,NA,NA,NA,NA,FantasySharks,0,11.7,DET,0.9,0.1,0,0.3,0.1,0,0.2,5,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15281,NA,WR,"Chase, Ja'Marr",CIN,NA,0,0,85,0.4,7,10.5,NA,NA,NA,NA,NA,FantasySharks,0,10.8,WAS,1.4,0.1,0.1,0.1,0,0,0.1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
