player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,rush_att,rush_yds,rush_tds,pass_att,pass_comp,pass_yds,pass_tds,pass_int,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,Rushing Yard,Receiving Yard,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Mo Alie-Cox,TE,IND,1,1.6,0.9,12.6,12.6,14,0.3,0,2.8,2.8,2815925,CBS,13246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tommy Tremble,TE,CAR,1,2.1,1.4,13,13,9.3,0.3,0,2.8,2.8,2969027,CBS,15332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chigoziem Okonkwo,TE,TEN,1,3.7,2.6,25.1,25.1,9.7,0.1,0,2.6,2.6,2965208,CBS,15889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Durham Smythe,TE,MIA,1,2.9,2.3,24.2,24.2,10.5,0.1,0,2.6,2.6,2082845,CBS,13676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kylen Granson,TE,IND,1,2.6,1.6,22.1,22.1,13.8,0.1,0,2.6,2.6,2247146,CBS,15419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Tavion Sanders,TE,CAR,1,3.2,2.1,20.4,20.4,9.7,0.1,0.1,2.4,2.4,26731381,CBS,16643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theo Johnson,TE,NYG,1,3.7,2.5,22,22,8.8,0.1,0.1,2.4,2.4,3162129,CBS,16649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Trautman,TE,DEN,1,2.2,1.4,14.1,14.1,10.1,0.2,0,2.2,2.2,2182228,CBS,14870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Wright,TE,DET,1,1.8,1.5,15.5,15.5,10.3,0.2,0,2.2,2.2,2807423,CBS,15626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connor Heyward,TE,PIT,1,2,1.4,11.7,11.7,8.4,0.1,0,1.6,1.6,2867599,CBS,15800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
