id,src_id,pos,player,team,rush_att,rush_yds,rush_tds,rec_yds,rec_tds,rec,rec_tgt,data_src,fumbles_lost,site_pts,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
15261,19792,RB,Chuba Hubbard,CAR,13.9,53.5,0.3,14.6,0,2.1,NA,FantasyPros,0.1,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16169,23152,RB,Zach Charbonnet,SEA,11.4,44.3,0.3,16.9,0.1,2.5,NA,FantasyPros,0,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16612,26372,RB,Carson Steele,KC,11.8,48.1,0.3,8,0,1.1,NA,FantasyPros,0,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12625,15498,RB,Ezekiel Elliott,DAL,10.7,39.2,0.3,13.4,0.1,2.1,NA,FantasyPros,0.1,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13134,16407,RB,D'Onta Foreman,CLE,11.7,46,0.3,7.3,0,1,NA,FantasyPros,0,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13404,16483,RB,Austin Ekeler,WAS,6.7,27,0.2,22.1,0.1,2.9,NA,FantasyPros,0.1,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14823,19647,RB,Rico Dowdle,DAL,8.9,35.7,0.2,13.5,0.1,1.8,NA,FantasyPros,0,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15742,24209,RB,Jaylen Warren,PIT,7.4,33,0.2,17.5,0.1,2.6,NA,FantasyPros,0.1,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16165,25323,RB,Tyjae Spears,TEN,7.7,30.8,0.2,18.4,0.1,2.5,NA,FantasyPros,0,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13850,17687,RB,Gus Edwards,LAC,10.7,43,0.3,4.2,0,0.5,NA,FantasyPros,0.1,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15723,19471,RB,Ty Chandler,MIN,9.1,35,0.2,10,0.1,1.5,NA,FantasyPros,0,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13133,16423,RB,Samaje Perine,KC,5.3,24.2,0.2,20.5,0.1,2.8,NA,FantasyPros,0,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
