player,team,fg,fg_att,xp,site_pts,src_id,data_src,pos,id,opp,xp_att,fg_0019,fg_2029,fg_3039,fg_4049,fg_50,fg_miss,xp_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Jason Myers,SEA,2,2,2.5,10.53,11124,FleaFlicker,K,12437,ARISun 4:05 PM,2.5,NA,NA,NA,NA,NA,NA,NA,5,NA,K12,2/2,2/2,70%,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,TB,2,2.1,2.3,10.31,15412,FleaFlicker,K,14717,ATLSun 1:00 PM,2.3,NA,NA,NA,NA,NA,NA,NA,5,NA,K29,2/2,2/2,16%,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,BAL,2,2,2.3,10.26,8663,FleaFlicker,K,10976,DETSun 1:00 PM,2.3,NA,NA,NA,NA,NA,NA,NA,3,NA,K2,2/1,2/2,95%,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,PIT,2,2.1,2.1,10.08,10779,FleaFlicker,K,11936,@LARSun 4:05 PM,2.1,NA,NA,NA,NA,NA,NA,NA,6,NA,K27,2/2,2/2,24%,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,KC,2,2,3.1,10.06,13124,FleaFlicker,K,13354,LACSun 4:25 PM,3.1,NA,NA,NA,NA,NA,NA,NA,0,NA,K3,2/2,3/3,96%,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,MIN,2,1.9,2,10.02,14337,FleaFlicker,K,13898,SFMon 8:15 PM,2,NA,NA,NA,NA,NA,NA,NA,3,NA,K23,2/1,2/2,33%,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,CHI,2,1.9,1.9,9.85,10888,FleaFlicker,K,11945,LVSun 1:00 PM,1.9,NA,NA,NA,NA,NA,NA,NA,3,NA,K33,2/1,1/1,12%,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,CLE,2,2.2,1.8,9.84,9416,FleaFlicker,K,11387,@INDSun 1:00 PM,1.8,NA,NA,NA,NA,NA,NA,NA,5,NA,K13,2/2,1/1,36%,NA,NA,NA,NA,NA,NA,NA
Jake Moody,SF,2,1.9,2.8,9.83,17665,FleaFlicker,K,16286,@MINMon 8:15 PM,2.8,NA,NA,NA,NA,NA,NA,NA,9,NA,K6,2/1,2/2,62%,NA,NA,NA,NA,NA,NA,NA
Joey Slye,WAS,2,2,1.7,9.66,15366,FleaFlicker,K,14600,@NYGSun 1:00 PM,1.7,NA,NA,NA,NA,NA,NA,NA,4,NA,K34,2/1,1/1,7%,NA,NA,NA,NA,NA,NA,NA
Brett Maher,LAR,2,2,2.5,9.47,10038,FleaFlicker,K,13909,PITSun 4:05 PM,2.5,NA,NA,NA,NA,NA,NA,NA,0,NA,K25,2/2,2/2,71%,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,PHI,2,2.1,2.5,9.46,13035,FleaFlicker,K,13303,MIASun 8:20 PM,2.5,NA,NA,NA,NA,NA,NA,NA,0,NA,K8,2/2,2/2,91%,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,BUF,2,2.1,2.2,9.24,15626,FleaFlicker,K,14983,@NESun 1:00 PM,2.2,NA,NA,NA,NA,NA,NA,NA,3,NA,K1,2/2,2/2,94%,NA,NA,NA,NA,NA,NA,NA
