id,src_id,pos,player,team,rush_att,rush_yds,rush_tds,rec_yds,rec_tds,rec,rec_tgt,data_src,fumbles_lost,site_pts,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
16416,xavier-gipson,WR,Xavier Gipson,NYJ,1,5.23,0.03,3.94,0.02,0.34,NA,NumberFire,NA,1.14,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.37,4.65,#13,288,131,1.33,4400,0.3,1.53,3000,0.51,1.33,10,0.13,NA
14551,trenton-irwin,WR,Trenton Irwin,CIN,0,0,0,8.47,0.04,0.81,NA,NumberFire,NA,1.09,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.4,4.58,#9,292,132,1.47,4800,0.31,1.89,3000,0.63,1.47,10,0.15,NA
14280,scotty-miller,WR,Scotty Miller,ATL,0,0,0,6.37,0.03,0.51,NA,NumberFire,NA,0.83,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.57,4.23,#27,307,133,1.07,4500,0.24,1.33,3000,0.44,1.07,NA,NA,NA
14108,greg-dortch,WR,Greg Dortch,ARI,0,0,0,6.86,0.03,0.72,NA,NumberFire,NA,0.83,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.57,4.23,#2,307,133,1.21,4100,0.3,1.58,3000,0.53,1.21,10,0.12,NA
15901,kyle-philips,WR,Kyle Philips,TEN,0,0,0,6.81,0.03,0.6,NA,NumberFire,NA,0.82,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.58,4.22,#15,311,135,1.14,4300,0.27,1.45,3000,0.48,1.14,10,0.11,NA
16198,rakim-jarrett,WR,Rakim Jarrett,TB,0,0,0,5.91,0.03,0.51,NA,NumberFire,NA,0.75,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.62,4.12,#17,315,136,1.01,4100,0.25,1.27,3000,0.42,1.01,10,0.1,NA
15987,brandon-johnson-1,WR,Brandon Johnson,DEN,0,0,0,4.29,0.03,0.37,NA,NumberFire,NA,0.59,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.73,3.91,#5,325,137,0.77,4500,0.17,0.97,3000,0.32,0.77,10,0.08,NA
13289,mack-hollins,WR,Mack Hollins,ATL,0,0,0,4.4,0.02,0.34,NA,NumberFire,NA,0.56,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.75,3.87,#27,326,138,0.73,5000,0.15,0.9,3300,0.27,0.73,11,0.07,NA
13963,khadarel-hodge,WR,Khadarel Hodge,ATL,0,0,0,4.49,0.02,0.36,NA,NumberFire,NA,0.56,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.75,3.87,#27,326,138,0.75,4700,0.16,0.93,3000,0.31,0.75,10,0.08,NA
14839,jalen-reagor,WR,Jalen Reagor,NE,0,0,0,4.16,0.02,0.4,NA,NumberFire,NA,0.53,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.77,3.83,#25,330,140,0.72,NA,NA,0.93,NA,NA,0.72,NA,NA,NA
