team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,pos,player,dst_fum_recvr,dst_fumbles,dst_yds_against,dst_pts_against,opp,bye,curr_site_pts,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,return_tds
NE,0.7,NA,2.1,NA,0.6,0.7,0.1,22.6,NA,NA,NA,342.2,NA,8.44,NA,FleaFlicker,0504,2346,DST,New England Patriots,NA,NA,NA,NA,LACSun 1:00 PM,11,NA,D/ST14,0,50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.6,NA,2.3,NA,0.5,0.6,0.1,24.2,NA,NA,NA,319.5,NA,8.28,NA,FleaFlicker,0519,2328,DST,Arizona Cardinals,NA,NA,NA,NA,@PITSun 1:00 PM,14,NA,D/ST31,0,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB,0.68,NA,4.02,NA,0.55,NA,0.2,16.5,NA,NA,NA,294.3,NA,10.02,NA,NumberFire,0525,tampa-bay-dst,D,Tampa Bay D/ST,NA,NA,NA,NA,CAR,NA,NA,NA,NA,NA,3.43,16.61,#29,1,9.94,4800,2.07,9.94,9.94,NA
JAC,0.96,NA,2.85,NA,0.36,NA,0.24,14.75,NA,NA,NA,300.73,NA,9.66,NA,NumberFire,0509,jacksonville-dst,D,Jacksonville D/ST,NA,NA,NA,NA,CIN,NA,NA,NA,NA,NA,3.14,16.18,#20,2,9.64,4400,2.19,9.64,9.64,NA
PIT,0.6,NA,3.37,NA,0.68,NA,0.21,17.25,NA,NA,NA,331.93,NA,9.24,NA,NumberFire,0510,pittsburgh-dst,D,Pittsburgh D/ST,NA,NA,NA,NA,ARI,NA,NA,NA,NA,NA,2.8,15.68,#27,3,9.24,4900,1.89,9.24,9.24,NA
MIA,0.84,NA,3.86,NA,0.52,NA,0.18,20,NA,NA,NA,317.91,NA,9.07,NA,NumberFire,0503,miami-dst,D,Miami D/ST,NA,NA,NA,NA,WSH,NA,NA,NA,NA,NA,2.67,15.47,#22,4,9.06,5000,1.81,9.06,9.06,NA
ATL,1.07,NA,1.87,NA,0.55,NA,0.21,16,NA,NA,NA,290.89,NA,8.81,NA,NumberFire,0526,atlanta-dst,D,Atlanta D/ST,NA,NA,NA,NA,NYJ,NA,NA,NA,NA,NA,2.46,15.16,#32,5,8.78,4700,1.87,8.78,8.78,NA
DAL,0.94,NA,2.86,NA,0.42,NA,0.19,19,NA,NA,NA,320.38,NA,8.36,NA,NumberFire,0516,dallas-dst,D,Dallas D/ST,NA,NA,NA,NA,SEA,NA,NA,NA,NA,NA,2.1,14.62,#21,6,8.32,5000,1.66,8.32,8.32,NA
KC,0.75,NA,2.7,NA,0.43,NA,0.2,18.25,NA,NA,NA,315.63,NA,8.04,NA,NumberFire,0512,kansas-city-dst,D,Kansas City D/ST,NA,NA,NA,NA,GB,NA,NA,NA,NA,NA,1.84,14.24,#12,7,8.04,5000,1.61,8.04,8.04,NA
LAC,0.66,NA,2.07,NA,0.52,NA,0.21,17,NA,NA,NA,333.58,NA,7.81,NA,NumberFire,0514,los-angeles-chargers-d-st,D,Los Angeles Chargers D/ST,NA,NA,NA,NA,NE,NA,NA,NA,NA,NA,1.66,13.96,#30,8,7.81,4600,1.7,7.81,7.81,NA
