player,pos,team,games,fg,fg_att,fg_long,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_0019,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Chase McLaughlin,K,TB,NA,NA,NA,NA,0.48,NA,0.55,NA,0.44,NA,NA,NA,3.58,NA,7.99,NA,2563203,NFL,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,NA,NA,NA,0.48,NA,0.48,NA,0.44,NA,NA,NA,3.77,NA,7.97,NA,2571750,NFL,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,NA,NA,NA,0.48,NA,0.57,NA,0.5,NA,NA,NA,3.11,NA,7.76,NA,2556521,NFL,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucas Havrisik,K,LA,NA,NA,NA,NA,0.48,NA,0.6,NA,0.51,NA,NA,NA,2.7,NA,7.59,NA,2569534,NFL,16043,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,NA,NA,NA,0.48,NA,0.52,NA,0.43,NA,NA,NA,3.18,NA,7.53,NA,2558245,NFL,13354,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,NA,NA,NA,0.48,NA,0.5,NA,0.41,NA,NA,NA,3.12,NA,7.5,NA,2550545,NFL,11936,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,NA,NA,NA,NA,0.48,NA,0.52,NA,0.47,NA,NA,NA,3.07,NA,7.48,NA,2570308,NFL,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,NA,NA,NA,0.48,NA,0.5,NA,0.48,NA,NA,NA,3.09,NA,7.47,NA,2558172,NFL,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,NA,NA,NA,0.48,NA,0.53,NA,0.47,NA,NA,NA,2.79,NA,7.44,NA,2561153,NFL,13832,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,NA,NA,NA,0.48,NA,0.5,NA,0.44,NA,NA,NA,2.93,NA,7.43,NA,2563596,NFL,14983,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,NA,NA,NA,0.48,NA,0.52,NA,0.41,NA,NA,NA,3.13,NA,7.42,NA,2560993,NFL,13718,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,NA,NA,NA,0.48,NA,0.52,NA,0.45,NA,NA,NA,2.68,NA,7.3,NA,2550636,NFL,11945,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,NA,NA,NA,0.48,NA,0.55,NA,0.48,NA,NA,NA,2.61,NA,7.29,NA,2568435,NFL,15979,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,CLE,NA,NA,NA,NA,0.48,NA,0.52,NA,0.38,NA,NA,NA,3.03,NA,7.17,NA,2539227,NFL,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,IND,NA,NA,NA,NA,0.48,NA,0.52,NA,0.4,NA,NA,NA,2.83,NA,7.03,NA,2562271,NFL,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,NA,NA,NA,NA,0.48,NA,0.52,NA,0.44,NA,NA,NA,2.33,NA,6.68,NA,2536340,NFL,10976,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,JAX,NA,NA,NA,NA,0.48,NA,0.54,NA,0.43,NA,NA,NA,1.99,NA,6.55,NA,2541556,NFL,11947,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,TEN,NA,NA,NA,NA,0.48,NA,0.5,NA,0.41,NA,NA,NA,2.32,NA,6.49,NA,2507225,NFL,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,NYG,NA,NA,NA,NA,0.48,NA,0.51,NA,0.45,NA,NA,NA,2.12,NA,6.44,NA,2507232,NFL,8742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,NA,NA,NA,0.48,NA,0.47,NA,0.41,NA,NA,NA,2.16,NA,6.39,NA,2565953,NFL,15368,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,NA,NA,NA,NA,0.48,NA,0.49,NA,0.4,NA,NA,NA,2,NA,6.26,NA,2506677,NFL,8930,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,NA,NA,NA,0.48,NA,0.5,NA,0.39,NA,NA,NA,1.86,NA,6.18,NA,2556601,NFL,12956,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,NA,NA,NA,NA,0.48,NA,0.5,NA,0.43,NA,NA,NA,1.88,NA,6.17,NA,2561534,NFL,13898,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,NA,NA,NA,0.48,NA,0.51,NA,0.42,NA,NA,NA,1.52,NA,6.08,NA,2559205,NFL,13403,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,NA,NA,NA,NA,0.48,NA,0.47,NA,0.39,NA,NA,NA,2.05,NA,6.07,NA,2534797,NFL,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,NA,NA,NA,0.48,NA,0.52,NA,0.36,NA,NA,NA,1.84,NA,6.04,NA,2553112,NFL,12437,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,NA,NA,NA,NA,0.48,NA,0.48,NA,0.41,NA,NA,NA,1.93,NA,6.04,NA,2560842,NFL,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,NA,NA,NA,NA,0.48,NA,0.54,NA,0.38,NA,NA,NA,1.81,NA,6.01,NA,2571234,NFL,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,NYG,NA,NA,NA,NA,0.48,NA,0.51,NA,0.4,NA,NA,NA,1.71,NA,5.91,NA,2567487,NFL,15882,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anders Carlson,K,GB,NA,NA,NA,NA,0.48,NA,0.52,NA,0.37,NA,NA,NA,1.69,NA,5.89,NA,2569750,NFL,16339,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,NA,NA,NA,NA,0.48,NA,0.48,NA,0.41,NA,NA,NA,1.51,NA,5.74,NA,2563132,NFL,14600,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,NE,NA,NA,NA,NA,0.48,NA,0.43,NA,0.42,NA,NA,NA,1.09,NA,5.38,NA,2570125,NFL,16292,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
