team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,pos,player,dst_fum_recvr,dst_fumbles,dst_yds_against,dst_pts_against,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
NOS,1.1,0,1.9,NA,0.5,NA,0.2,19.3,NA,NA,NA,332.4,NA,11.1,NA,FantasySharks,0529,NA,D,"Saints, New Orleans",NA,NA,NA,NA,@MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.6,0,2.4,NA,0.3,NA,0.2,21.3,NA,NA,NA,266.4,NA,11.1,NA,FantasySharks,0527,NA,D,"Panthers, Carolina",NA,NA,NA,NA,@CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.7,0,3,NA,0.4,NA,0.1,21.5,NA,NA,NA,280,NA,11.1,NA,FantasySharks,0519,NA,D,"Cardinals, Arizona",NA,NA,NA,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,1.1,0,2.7,NA,0.6,NA,0.4,26.7,NA,NA,NA,352.8,NA,11.1,NA,FantasySharks,0502,NA,D,"Colts, Indianapolis",NA,NA,NA,NA,@NEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SFO,1.2,0,2,NA,0.4,NA,0,20,NA,NA,NA,333,NA,10.3,NA,FantasySharks,0530,NA,D,"49ers, San Francisco",NA,NA,NA,NA,@JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBP,0.8,0,2.2,NA,0.4,NA,0.1,20.1,NA,NA,NA,336.5,NA,10.1,NA,FantasySharks,0523,NA,D,"Packers, Green Bay",NA,NA,NA,NA,@PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.8,0,1.2,NA,0.5,NA,0.1,22.1,NA,NA,NA,276.7,NA,10,NA,FantasySharks,0521,NA,D,"Bears, Chicago",NA,NA,NA,NA,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.8,0,2.3,NA,0.5,NA,0.2,24.5,NA,NA,NA,375.8,NA,8.9,NA,FantasySharks,0524,NA,D,"Vikings, Minnesota",NA,NA,NA,NA,NOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.4,0,2.2,NA,0.4,NA,0,20.1,NA,NA,NA,320.9,NA,8.7,NA,FantasySharks,0508,NA,D,"Titans, Tennessee",NA,NA,NA,NA,@TBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,1.1,0,1.7,NA,0.6,NA,0.2,22.4,NA,NA,NA,401.1,NA,8.6,NA,FantasySharks,0509,NA,D,"Jaguars, Jacksonville",NA,NA,NA,NA,SFO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.8,0,2.2,NA,0.4,NA,0.1,23.1,NA,NA,NA,354.8,NA,8.2,NA,FantasySharks,0522,NA,D,"Lions, Detroit",NA,NA,NA,NA,@LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.7,0,2.5,NA,0.6,NA,0,25.7,NA,NA,NA,363.5,NA,8.2,NA,FantasySharks,0520,NA,D,"Commanders, Washington",NA,NA,NA,NA,@SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.6,0,2,NA,0.6,NA,0.1,24.9,NA,NA,NA,383,NA,8,NA,FantasySharks,0532,NA,D,"Texans, Houston",NA,NA,NA,NA,@CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,0.5,0,2.9,NA,0.7,NA,0.1,24.4,NA,NA,NA,434.3,NA,8,NA,FantasySharks,0514,NA,D,"Chargers, Los Angeles",NA,NA,NA,NA,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,1,0,2,NA,0.5,NA,0.1,23.4,NA,NA,NA,415,NA,7.7,NA,FantasySharks,0506,NA,D,"Bengals, Cincinnati",NA,NA,NA,NA,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEP,0.7,0.1,1.8,NA,0.5,NA,0.1,27.4,NA,NA,NA,375.1,NA,7.7,NA,FantasySharks,0504,NA,D,"Patriots, New England",NA,NA,NA,NA,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.4,0,1.9,NA,0.5,NA,0.1,25.4,NA,NA,NA,359.9,NA,7.4,NA,FantasySharks,0517,NA,D,"Giants, New York",NA,NA,NA,NA,@DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.8,0,1.5,NA,0.3,NA,0.1,33.8,NA,NA,NA,478,NA,5.6,NA,FantasySharks,0511,NA,D,"Broncos, Denver",NA,NA,NA,NA,@BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.9,NA,4.3,NA,0.6,0.7,0.2,19.4,NA,NA,NA,321.6,NA,13.45,NA,FleaFlicker,0515,2354,DST,Seattle Seahawks,NA,NA,NA,NA,WASSun 4:25 PM,5,D/ST22,0,68%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,0.8,NA,3.6,NA,0.6,0.8,0.2,17.2,NA,NA,NA,313.8,NA,11.99,NA,FleaFlicker,0531,2330,DST,Baltimore Ravens,NA,NA,NA,NA,CLESun 1:00 PM,13,D/ST2,0,94%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,1.1,NA,3.1,NA,0.6,0.9,0.2,13.3,NA,NA,NA,296.2,NA,11.88,NA,FleaFlicker,0516,2336,DST,Dallas Cowboys,NA,NA,NA,NA,NYGSun 4:25 PM,7,D/ST1,0,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,0.7,NA,3.3,NA,0.5,0.7,0.2,18.5,NA,NA,NA,311,NA,11.01,NA,FleaFlicker,0501,2331,DST,Buffalo Bills,NA,NA,NA,NA,DENMon 8:15 PM,13,D/ST10,0,95%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.8,NA,3,NA,0.6,0.8,0.2,17.8,NA,NA,NA,314.2,NA,10.83,NA,FleaFlicker,0521,2333,DST,Chicago Bears,NA,NA,NA,NA,CARThu 8:15 PM,13,NA,0,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB,0.8,NA,2.8,NA,0.6,0.8,0.2,19.8,NA,NA,NA,317.1,NA,10.53,NA,FleaFlicker,0525,2357,DST,Tampa Bay Buccaneers,NA,NA,NA,NA,TENSun 1:00 PM,5,D/ST21,0,38%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,0.9,NA,2.6,NA,0.6,0.9,0.2,18.1,NA,NA,NA,330.7,NA,10.48,NA,FleaFlicker,0510,2352,DST,Pittsburgh Steelers,NA,NA,NA,NA,GBSun 1:00 PM,6,D/ST8,0,90%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,0.7,NA,2.8,NA,0.6,0.9,0.1,22.8,NA,NA,NA,339.6,NA,10.28,NA,FleaFlicker,0507,2335,DST,Cleveland Browns,NA,NA,NA,NA,@BALSun 1:00 PM,5,D/ST9,0,67%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,0.8,NA,2.8,NA,0.6,0.8,0.2,21.3,NA,NA,NA,342.6,NA,10.26,NA,FleaFlicker,0530,2355,DST,San Francisco 49ers,NA,NA,NA,NA,@JACSun 1:00 PM,9,D/ST5,0,86%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,0.8,NA,3,NA,0.5,0.6,0.1,17.9,NA,NA,NA,303,NA,10.13,NA,FleaFlicker,0513,2350,DST,Las Vegas Raiders,NA,NA,NA,NA,NYJSun 8:20 PM,13,D/ST28,0,36%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,0.8,NA,2.4,NA,0.6,0.9,0.1,23.9,NA,NA,NA,370.2,NA,9.87,NA,FleaFlicker,0514,2353,DST,Los Angeles Chargers,NA,NA,NA,NA,DETSun 4:05 PM,5,D/ST20,0,35%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.8,NA,2.5,NA,0.5,0.8,0.2,18.6,NA,NA,NA,289.8,NA,9.86,NA,FleaFlicker,0505,2349,DST,New York Jets,NA,NA,NA,NA,@LVSun 8:20 PM,7,D/ST3,0,84%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.8,NA,2.4,NA,0.5,1,0.1,20.5,NA,NA,NA,343.6,NA,9.85,NA,FleaFlicker,0524,2345,DST,Minnesota Vikings,NA,NA,NA,NA,NOSun 1:00 PM,13,D/ST24,0,45%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.7,NA,2.6,NA,0.6,0.9,0.1,26.8,NA,NA,NA,361.2,NA,9.8,NA,FleaFlicker,0517,2348,DST,New York Giants,NA,NA,NA,NA,@DALSun 4:25 PM,13,D/ST29,0,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,0.8,NA,2.5,NA,0.6,0.7,0.2,20.5,NA,NA,NA,295.4,NA,9.53,NA,FleaFlicker,0529,2347,DST,New Orleans Saints,NA,NA,NA,NA,@MINSun 1:00 PM,11,D/ST6,0,78%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,0.6,NA,2.4,NA,0.5,0.8,0.2,21,NA,NA,NA,373.8,NA,9.28,NA,FleaFlicker,0506,2334,DST,Cincinnati Bengals,NA,NA,NA,NA,HOUSun 1:00 PM,7,D/ST11,0,40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB,0.8,NA,2.4,NA,0.5,0.7,0.1,21.1,NA,NA,NA,306.2,NA,9.27,NA,FleaFlicker,0523,2339,DST,Green Bay Packers,NA,NA,NA,NA,@PITSun 1:00 PM,6,D/ST16,0,25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.9,NA,2.1,NA,0.6,0.9,0.1,20.1,NA,NA,NA,314.9,NA,9.27,NA,FleaFlicker,0502,2341,DST,Indianapolis Colts,NA,NA,NA,NA,@NESun 9:30 AM,11,D/ST27,0,49%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.9,NA,2.4,NA,0.5,0.7,0.1,24.1,NA,NA,NA,335.7,NA,9.25,NA,FleaFlicker,0520,2359,DST,Washington Commanders,NA,NA,NA,NA,@SEASun 4:25 PM,14,D/ST17,0,30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.7,NA,2.2,NA,0.6,0.8,0.2,20.7,NA,NA,NA,327.8,NA,9.13,NA,FleaFlicker,0526,2329,DST,Atlanta Falcons,NA,NA,NA,NA,@ARISun 4:05 PM,11,D/ST18,0,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.7,NA,2.5,NA,0.5,0.7,0.1,25.7,NA,NA,NA,335.7,NA,9.13,NA,FleaFlicker,0532,2340,DST,Houston Texans,NA,NA,NA,NA,@CINSun 1:00 PM,7,D/ST26,0,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.7,NA,2.1,NA,0.6,0.9,0.1,23.2,NA,NA,NA,361.8,NA,9.12,NA,FleaFlicker,0509,2342,DST,Jacksonville Jaguars,NA,NA,NA,NA,SFSun 1:00 PM,9,D/ST14,0,39%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.7,NA,2.5,NA,0.5,0.7,0.2,23.7,NA,NA,NA,358.1,NA,9.08,NA,FleaFlicker,0522,2338,DST,Detroit Lions,NA,NA,NA,NA,@LACSun 4:05 PM,9,D/ST19,0,28%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.8,NA,2.1,NA,0.5,0.6,0.1,22.1,NA,NA,NA,351.6,NA,8.67,NA,FleaFlicker,0519,2328,DST,Arizona Cardinals,NA,NA,NA,NA,ATLSun 4:05 PM,14,D/ST30,0,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NE,0.7,NA,2.1,NA,0.6,0.8,0.1,20.9,NA,NA,NA,343.2,NA,8.57,NA,FleaFlicker,0504,2346,DST,New England Patriots,NA,NA,NA,NA,INDSun 9:30 AM,11,D/ST12,0,60%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.9,NA,1.9,NA,0.5,0.7,0.2,20.6,NA,NA,NA,326.9,NA,8.48,NA,FleaFlicker,0527,2332,DST,Carolina Panthers,NA,NA,NA,NA,@CHIThu 8:15 PM,7,D/ST31,0,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.7,NA,2.1,NA,0.5,0.7,0.2,21.4,NA,NA,NA,328,NA,8.48,NA,FleaFlicker,0508,2358,DST,Tennessee Titans,NA,NA,NA,NA,@TBSun 1:00 PM,7,D/ST25,0,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.8,NA,1.8,NA,0.5,0.8,0.1,27.5,NA,NA,NA,400.2,NA,8.23,NA,FleaFlicker,0511,2337,DST,Denver Broncos,NA,NA,NA,NA,@BUFMon 8:15 PM,9,D/ST15,0,40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,0.97,NA,3.13,NA,0.49,NA,0.27,11,NA,NA,NA,290.56,NA,11.66,NA,NumberFire,0516,dallas-dst,D,Dallas D/ST,NA,NA,NA,NA,NYG,NA,NA,NA,NA,4.74,18.58,#32,1,11.62,5200,2.23,11.62,4400,2.64,11.62,23,0.51,NA
SEA,0.76,NA,4.77,NA,0.61,NA,0.19,19,NA,NA,NA,306.73,NA,10.27,NA,NumberFire,0515,seattle-dst,D,Seattle D/ST,NA,NA,NA,NA,WSH,NA,NA,NA,NA,3.63,16.91,#21,2,10.25,4500,2.28,10.25,4100,2.5,10.25,16,0.64,NA
BAL,0.66,NA,3.98,NA,0.49,NA,0.22,16,NA,NA,NA,303.29,NA,10,NA,NumberFire,0531,baltimore-dst,D,Baltimore D/ST,NA,NA,NA,NA,CLE,NA,NA,NA,NA,3.41,16.59,#28,3,10.03,4600,2.18,10.03,4000,2.51,10.03,20,0.5,NA
CHI,0.74,NA,3.42,NA,0.55,NA,0.19,17.75,NA,NA,NA,316.37,NA,9.13,NA,NumberFire,0521,chicago-dst,D,Chicago D/ST,NA,NA,NA,NA,CAR,NA,NA,NA,NA,2.71,15.55,#29,4,9.08,4000,2.27,9.08,3200,2.84,9.08,12,0.76,NA
TB,0.96,NA,3.13,NA,0.47,NA,0.19,18.5,NA,NA,NA,311.95,NA,8.87,NA,NumberFire,0525,tampa-bay-dst,D,Tampa Bay D/ST,NA,NA,NA,NA,TEN,NA,NA,NA,NA,2.51,15.23,#13,5,8.84,4000,2.21,8.84,3500,2.53,8.84,15,0.59,NA
NYJ,0.97,NA,2.79,NA,0.46,NA,0.2,17.75,NA,NA,NA,287.68,NA,8.77,NA,NumberFire,0505,new-york-jets-dst,D,New York Jets D/ST,NA,NA,NA,NA,LV,NA,NA,NA,NA,2.43,15.11,#23,6,8.71,3900,2.23,8.71,3000,2.9,8.71,19,0.46,NA
PIT,0.73,NA,2.92,NA,0.61,NA,0.19,17.75,NA,NA,NA,324.53,NA,8.72,NA,NumberFire,0510,pittsburgh-dst,D,Pittsburgh D/ST,NA,NA,NA,NA,GB,NA,NA,NA,NA,2.39,15.05,#18,7,8.68,4300,2.02,8.68,3800,2.28,8.68,20,0.43,NA
LV,0.71,NA,2.76,NA,0.56,NA,0.18,18.75,NA,NA,NA,302.05,NA,8.09,NA,NumberFire,0513,las-vegas-d-st,D,Las Vegas D/ST,NA,NA,NA,NA,NYJ,NA,NA,NA,NA,1.88,14.3,#30,8,8.09,4200,1.93,8.09,3500,2.31,8.09,12,0.67,NA
NO,0.75,NA,2.5,NA,0.63,NA,0.2,18.75,NA,NA,NA,291.53,NA,8.08,NA,NumberFire,0529,new-orleans-dst,D,New Orleans D/ST,NA,NA,NA,NA,MIN,NA,NA,NA,NA,1.87,14.29,#11,9,8.13,4200,1.94,8.13,3900,2.08,8.13,16,0.51,NA
BUF,0.52,NA,3.24,NA,0.44,NA,0.19,19.5,NA,NA,NA,310.82,NA,7.77,NA,NumberFire,0501,buffalo-dst,D,Buffalo D/ST,NA,NA,NA,NA,DEN,NA,NA,NA,NA,1.63,13.91,#16,10,7.77,4700,1.65,7.77,3800,2.04,7.77,19,0.41,NA
SF,0.73,NA,3.02,NA,0.58,NA,0.18,21.25,NA,NA,NA,342.26,NA,7.7,NA,NumberFire,0530,san-francisco-dst,D,San Francisco D/ST,NA,NA,NA,NA,JAC,NA,NA,NA,NA,1.57,13.83,#22,11,7.73,4100,1.89,7.73,3600,2.15,7.73,14,0.55,NA
ATL,0.66,NA,2.56,NA,0.7,NA,0.18,21,NA,NA,NA,323.7,NA,7.42,NA,NumberFire,0526,atlanta-dst,D,Atlanta D/ST,NA,NA,NA,NA,ARI,NA,NA,NA,NA,1.35,13.49,#27,12,7.45,4800,1.55,7.45,3700,2.01,7.45,15,0.5,NA
TEN,0.87,NA,2.05,NA,0.5,NA,0.18,20,NA,NA,NA,322.45,NA,7.21,NA,NumberFire,0508,tennessee-dst,D,Tennessee D/ST,NA,NA,NA,NA,TB,NA,NA,NA,NA,1.18,13.24,#12,13,7.19,3800,1.89,7.19,3300,2.18,7.19,13,0.55,NA
CLE,0.67,NA,2.93,NA,0.58,NA,0.15,22.5,NA,NA,NA,336.03,NA,7.09,NA,NumberFire,0507,cleveland-dst,D,Cleveland D/ST,NA,NA,NA,NA,BAL,NA,NA,NA,NA,1.08,13.1,#6,14,7.1,4100,1.73,7.1,3000,2.37,7.1,16,0.44,NA
CAR,0.97,NA,1.87,NA,0.5,NA,0.17,20.75,NA,NA,NA,313.22,NA,7,NA,NumberFire,0527,carolina-dst,D,Carolina D/ST,NA,NA,NA,NA,CHI,NA,NA,NA,NA,1.01,12.99,#24,15,6.96,3300,2.11,6.96,3100,2.25,6.96,12,0.58,NA
CIN,0.58,NA,2.42,NA,0.48,NA,0.18,20.25,NA,NA,NA,364.43,NA,6.95,NA,NumberFire,0506,cincinnati-dst,D,Cincinnati D/ST,NA,NA,NA,NA,HOU,NA,NA,NA,NA,0.97,12.93,#10,16,6.9,4400,1.57,6.9,2800,2.46,6.9,15,0.46,NA
IND,0.8,NA,2.08,NA,0.56,NA,0.17,21,NA,NA,NA,317.26,NA,6.94,NA,NumberFire,0502,indianapolis-dst,D,Indianapolis D/ST,NA,NA,NA,NA,NE,NA,NA,NA,NA,0.96,12.92,#31,17,6.97,4400,1.58,6.97,3400,2.05,6.97,14,0.5,NA
GB,0.66,NA,2.53,NA,0.41,NA,0.17,20.75,NA,NA,NA,303.44,NA,6.85,NA,NumberFire,0523,green-bay-dst,D,Green Bay D/ST,NA,NA,NA,NA,PIT,NA,NA,NA,NA,0.89,12.81,#25,18,6.82,4000,1.71,6.82,3400,2.01,6.82,13,0.52,NA
ARI,0.97,NA,2.2,NA,0.45,NA,0.16,22.5,NA,NA,NA,342.97,NA,6.75,NA,NumberFire,0519,arizona-dst,D,Arizona D/ST,NA,NA,NA,NA,ATL,NA,NA,NA,NA,0.81,12.69,#26,19,6.73,3700,1.82,6.73,2500,2.69,6.73,13,0.52,NA
MIN,0.68,NA,2.4,NA,0.4,NA,0.16,21.75,NA,NA,NA,337.21,NA,6.46,NA,NumberFire,0524,minnesota-dst,D,Minnesota D/ST,NA,NA,NA,NA,NO,NA,NA,NA,NA,0.58,12.34,#15,20,6.41,3800,1.69,6.41,3200,2,6.41,15,0.43,NA
DET,0.65,NA,2.3,NA,0.46,NA,0.17,22.75,NA,NA,NA,362.3,NA,6.19,NA,NumberFire,0522,detroit-dst,D,Detroit D/ST,NA,NA,NA,NA,LAC,NA,NA,NA,NA,0.36,12.02,#9,21,6.15,3900,1.58,6.15,3100,1.98,6.15,12,0.51,NA
NE,0.64,NA,1.92,NA,0.57,NA,0.16,22.5,NA,NA,NA,354.16,NA,6.04,NA,NumberFire,0504,new-england-dst,D,New England D/ST,NA,NA,NA,NA,IND,NA,NA,NA,NA,0.24,11.84,#17,22,6.03,4000,1.51,6.03,2700,2.23,6.03,10,0.6,NA
JAC,0.71,NA,2.08,NA,0.63,NA,0.14,24.25,NA,NA,NA,353.63,NA,5.97,NA,NumberFire,0509,jacksonville-dst,D,Jacksonville D/ST,NA,NA,NA,NA,SF,NA,NA,NA,NA,0.19,11.75,#3,23,5.91,3900,1.52,5.91,2400,2.46,5.91,14,0.42,NA
WSH,0.88,NA,2.34,NA,0.37,NA,0.14,25.5,NA,NA,NA,323.76,NA,5.73,NA,NumberFire,0520,washington-dst,D,Washington D/ST,NA,NA,NA,NA,SEA,NA,NA,NA,NA,0,11.46,#20,24,5.69,3600,1.58,5.69,2900,1.96,5.69,NA,NA,NA
LAC,0.68,NA,2.47,NA,0.53,NA,0.14,25.75,NA,NA,NA,374.53,NA,5.71,NA,NumberFire,0514,los-angeles-chargers-d-st,D,Los Angeles Chargers D/ST,NA,NA,NA,NA,DET,NA,NA,NA,NA,-0.02,11.44,#8,25,5.7,3500,1.63,5.7,2600,2.19,5.7,14,0.41,NA
NYG,0.75,NA,2.61,NA,0.62,NA,0.12,28.5,NA,NA,NA,352.44,NA,5.38,NA,NumberFire,0517,new-york-giants-dst,D,New York Giants D/ST,NA,NA,NA,NA,DAL,NA,NA,NA,NA,-0.28,11.04,#7,26,5.38,3000,1.79,5.38,2100,2.56,5.38,10,0.54,NA
HOU,0.71,NA,2.53,NA,0.33,NA,0.13,26.75,NA,NA,NA,349.15,NA,5.15,NA,NumberFire,0532,houston-dst,D,Houston D/ST,NA,NA,NA,NA,CIN,NA,NA,NA,NA,-0.47,10.77,#19,27,5.11,3200,1.6,5.11,2700,1.89,5.11,13,0.39,NA
DEN,0.79,NA,1.87,NA,0.56,NA,0.13,27,NA,NA,NA,380.59,NA,5.04,NA,NumberFire,0511,denver-dst,D,Denver D/ST,NA,NA,NA,NA,BUF,NA,NA,NA,NA,-0.56,10.64,#2,28,5.01,3200,1.57,5.01,2300,2.18,5.01,11,0.46,NA
Dallas Cowboys DEF  View News,1.16,0.1,3.1,NA,0.62,NA,0.16,16.47,NA,NA,NA,NA,NA,8.06,NA,NFL,0516,100008,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Baltimore Ravens,1.13,0.06,2.84,NA,0.65,NA,0.15,19.78,NA,NA,NA,NA,NA,7.66,NA,NFL,0531,100002,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Seattle Seahawks DEF  View News,0.98,0.06,3.25,NA,0.58,NA,0.15,19.6,NA,NA,NA,NA,NA,7.57,NA,NFL,0515,100030,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Buffalo Bills,0.86,0.06,2.86,NA,0.62,NA,0.15,16.33,NA,NA,NA,NA,NA,7.32,NA,NFL,0501,100003,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08
Las Vegas Raiders DEF  View News,0.97,0.05,2.94,NA,0.66,NA,0.14,21.47,NA,NA,NA,NA,NA,7.26,NA,NFL,0513,100018,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
Green Bay Packers DEF  View News,1.27,0.02,2.36,NA,0.58,NA,0.14,22.99,NA,NA,NA,NA,NA,7.12,NA,NFL,0523,100011,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
New Orleans Saints DEF  View News,0.99,0.04,2.66,NA,0.6,NA,0.16,24.18,NA,NA,NA,NA,NA,7.06,NA,NFL,0529,100022,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Chicago Bears DEF  View News,0.84,0.06,2.63,NA,0.64,NA,0.15,21.11,NA,NA,NA,NA,NA,6.97,NA,NFL,0521,100005,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
Pittsburgh Steelers DEF  View News,0.96,0.04,2.59,NA,0.59,NA,0.15,19.71,NA,NA,NA,NA,NA,6.85,NA,NFL,0510,100027,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Tampa Bay Buccaneers DEF  View News,0.78,0.06,2.69,NA,0.66,NA,0.15,19.28,NA,NA,NA,NA,NA,6.83,NA,NFL,0525,100031,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Cleveland Browns,0.84,0.03,2.76,NA,0.65,NA,0.13,22.59,NA,NA,NA,NA,NA,6.7,NA,NFL,0507,100007,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
Los Angeles Chargers DEF  View News,0.84,0.03,2.24,NA,0.69,NA,0.17,23.04,NA,NA,NA,NA,NA,6.62,NA,NFL,0514,100028,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
