player,team,fg,fg_att,xp,site_pts,src_id,data_src,pos,id,opp,xp_att,fg_0019,fg_2029,fg_3039,fg_4049,fg_50,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,fg_att_50,fg_att_4049
Jake Elliott,PHI,2,2,2,9,13035,FleaFlicker,K,13303,@NESun 4:25 PM,2,NA,NA,NA,NA,NA,NA,0,K8,2/1,2/2,65%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,CAR,2,2,2,8.97,13986,FleaFlicker,K,13719,@ATLSun 1:00 PM,2,NA,NA,NA,NA,NA,NA,7,K26,2/1,1/1,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,SF,2,1.9,1.9,8.93,17665,FleaFlicker,K,16286,@PITSun 1:00 PM,1.9,NA,NA,NA,NA,NA,NA,9,K18,2/1,1/1,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,NO,2,1.9,1.9,8.87,17834,FleaFlicker,K,16444,TENSun 1:00 PM,1.9,NA,NA,NA,NA,NA,NA,1,NA,2/1,1/1,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,NE,2,1.9,1.6,8.63,17688,FleaFlicker,K,16292,PHISun 4:25 PM,1.6,NA,NA,NA,NA,NA,NA,1,NA,2/1,1/1,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,ARI,2,1.8,1.5,8.51,4221,FleaFlicker,K,8930,@WASSun 1:00 PM,1.5,NA,NA,NA,NA,NA,NA,4,K21,2/1,1/1,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,CIN,2,1.9,2.3,8.32,16457,FleaFlicker,K,15368,@CLESun 1:00 PM,2.3,NA,NA,NA,NA,NA,NA,7,K4,2/1,2/2,90%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,DAL,2,1.9,2.2,8.25,18330,FleaFlicker,K,16414,@NYGSun 8:20 PM,2.2,NA,NA,NA,NA,NA,NA,7,K31,2/1,2/2,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,LAC,2,2.3,2.1,8.15,17315,FleaFlicker,K,15979,MIASun 4:25 PM,2.1,NA,NA,NA,NA,NA,NA,5,K23,2/2,2/2,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anders Carlson,GB,2,1.9,1.9,7.87,17790,FleaFlicker,K,16339,@CHISun 4:25 PM,1.9,NA,NA,NA,NA,NA,NA,6,NA,2/1,1/1,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA
