player,team,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,fumbles_lost,site_pts,src_id,data_src,pos,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_tgt,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts
D'Andre Swift,PHI,13.3,61.9,0.5,3.7,25.9,0.1,0.1,12.24,15601,FleaFlicker,RB,14797,MIASun 8:20 PM,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,0,NA,RB12,0.6,87.8,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvin Kamara,NO,14.2,55.3,0.4,4.3,34.3,0.1,0.1,11.9,12965,FleaFlicker,RB,13132,JACL 24-31,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,1,11.9,RB15,0.5,89.6,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,ATL,13.8,62.6,0.3,4.3,31.7,0.1,0.1,11.79,17603,FleaFlicker,RB,16161,@TBSun 1:00 PM,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,1,NA,RB2,0.4,94.3,94%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,DET,14.5,61.3,0.4,3.3,23.3,0.1,0.1,11.64,17612,FleaFlicker,RB,16162,@BALSun 1:00 PM,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,9,NA,RB24,0.6,84.6,91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jones,GB,13.7,59.9,0.3,2.9,26.2,0.2,0.1,11.51,13111,FleaFlicker,RB,13319,@DENSun 4:25 PM,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,6,NA,RB19,0.5,86.1,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Robinson,WAS,14.6,64.4,0.4,1.6,13.3,0.1,0,10.65,16875,FleaFlicker,RB,15716,@NYGSun 1:00 PM,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,4,NA,RB17,0.5,77.7,95%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Onta Foreman,CHI,15.2,67.2,0.4,1.3,9.4,0,0.1,10.14,12987,FleaFlicker,RB,13134,LVSun 1:00 PM,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,3,NA,RB52,0.4,76.6,72%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerome Ford,CLE,13.8,58.3,0.3,2.5,17.5,0.1,0.1,9.84,16974,FleaFlicker,RB,15713,@INDSun 1:00 PM,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,5,NA,RB25,0.4,75.8,84%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander Mattison,MIN,13.3,53.3,0.2,3.1,24.7,0.1,0.1,9.84,14700,FleaFlicker,RB,14223,SFMon 8:15 PM,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,3,NA,RB26,0.4,78,94%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhamondre Stevenson,NE,13.3,56,0.3,2.8,19.3,0.1,0.1,9.77,16339,FleaFlicker,RB,15259,BUFSun 1:00 PM,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,1,NA,RB23,0.4,75.3,96%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,IND,12.4,55.5,0.3,2.5,19.4,0.1,0.1,9.75,15604,FleaFlicker,RB,14802,CLESun 1:00 PM,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,1,NA,RB9,0.4,75,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,BUF,12.7,56.7,0.3,2.4,18.4,0.1,0.1,9.73,16839,FleaFlicker,RB,15715,@NESun 1:00 PM,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,3,NA,RB20,0.4,75.1,94%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rachaad White,TB,14.4,56,0.3,2.8,18.9,0.1,0.1,9.67,16882,FleaFlicker,RB,15721,ATLSun 1:00 PM,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,5,NA,RB28,0.4,74.9,92%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Javonte Williams,DEN,11,48.7,0.3,1.8,14,0.1,0.1,8.29,16282,FleaFlicker,RB,15256,GBSun 4:25 PM,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,9,NA,RB27,0.4,62.7,90%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Najee Harris,PIT,13.2,53.1,0.2,1.4,9.9,0.1,0,8.02,16246,FleaFlicker,RB,15254,@LARSun 4:05 PM,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,6,NA,RB29,0.3,63,94%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gus Edwards,BAL,11.8,50.3,0.3,0.5,3.8,0,0.1,7.45,14191,FleaFlicker,RB,13850,DETSun 1:00 PM,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,3,NA,RB33,0.4,54.1,75%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zack Moss,IND,12.2,44.4,0.2,1.5,11.4,0.1,0,7.26,15548,FleaFlicker,RB,14798,CLESun 1:00 PM,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,1,NA,RB35,0.3,55.8,84%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Warren,PIT,8.2,33.2,0.1,3.3,25.1,0.1,0,7.21,17137,FleaFlicker,RB,15742,@LARSun 4:05 PM,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,6,NA,RB39,0.2,58.3,78%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Allgeier,ATL,11.7,47,0.2,1,6.6,0,0,6.96,16993,FleaFlicker,RB,15712,@TBSun 1:00 PM,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,RB32,0.3,53.6,82%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AJ Dillon,GB,9.1,41,0.3,0.9,7,0,0,6.75,15568,FleaFlicker,RB,14805,@DENSun 4:25 PM,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,6,NA,RB43,0.3,48.1,84%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keaontay Ingram,ARI,10,40.6,0.2,1.4,10.7,0,0,6.63,17007,FleaFlicker,RB,15734,@SEASun 4:05 PM,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,4,NA,RB62,0.3,51.3,40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royce Freeman,LAR,8.4,38.3,0.2,1.1,8,0,0.1,6.19,13796,FleaFlicker,RB,13617,PITSun 4:05 PM,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,0,NA,NA,0.3,46.3,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaleel McLaughlin,DEN,8,32.7,0.2,1.8,13.1,0.1,0,6.18,18238,FleaFlicker,RB,16390,GBSun 4:25 PM,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,9,NA,RB38,0.3,45.8,62%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ezekiel Elliott,NE,8.7,36.8,0.2,1.3,8.9,0,0,5.89,12025,FleaFlicker,RB,12625,BUFSun 1:00 PM,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,1,NA,RB53,0.2,45.7,69%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
