player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
Deonte Harty,WR,BUF,NA,NA,1.25,13.81,NA,NA,0.08,0.27,1.33,NA,0.01,NA,1.97,NA,deonte-harris,NumberFire,14558,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.83,5.77,#32,218,98,2.58,4400,0.59,3.25,3000,1.08,2.58,10,0.26,NA
Tim Jones,WR,JAC,NA,NA,1.2,14.34,NA,NA,0.08,0,0,NA,0,NA,1.91,NA,tim-jones,NumberFire,16005,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.87,5.69,#9,222,99,2.47,4300,0.57,3.09,3000,1.03,2.47,10,0.25,NA
Nelson Agholor,WR,BAL,NA,NA,1.11,13.88,NA,NA,0.09,0,0,NA,0,NA,1.9,NA,nelson-agholor,NumberFire,12181,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.88,5.68,#1,223,100,2.46,5000,0.49,3.03,3000,1.01,2.46,10,0.25,NA
Jalen Guyton,WR,LAC,NA,NA,0.91,14.59,NA,NA,0.08,0,0,NA,0,NA,1.9,NA,jalen-guyton,NumberFire,14337,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.88,5.68,#10,223,100,2.37,NA,NA,2.84,NA,NA,2.37,NA,NA,NA
Greg Dortch,WR,ARI,NA,NA,1.25,13.37,NA,NA,0.09,0,0,NA,0,NA,1.82,NA,greg-dortch,NumberFire,14108,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.93,5.57,#13,228,102,2.46,4300,0.57,3.11,3000,1.04,2.46,10,0.25,NA
Dyami Brown,WR,WSH,NA,NA,1.04,12.5,NA,NA,0.06,0.25,1.39,NA,0.01,NA,1.74,NA,dyami-brown,NumberFire,15292,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.98,5.46,#12,230,103,2.29,4700,0.49,2.83,3000,0.94,2.29,10,0.23,NA
KaVontae Turpin,WR,DAL,NA,NA,0.69,8.36,NA,NA,0.08,0.59,3.02,NA,0.03,NA,1.73,NA,kavontae-turpin,NumberFire,15981,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.99,5.45,#19,231,104,2.08,4600,0.45,2.46,3000,0.82,2.08,10,0.21,NA
Xavier Gipson,WR,NYJ,NA,NA,0.71,7.92,NA,NA,0.03,1.14,5.95,NA,0.04,NA,1.73,NA,xavier-gipson,NumberFire,16416,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.99,5.45,#27,231,104,2.08,4600,0.45,2.48,3000,0.83,2.08,10,0.21,NA
Tre Tucker,WR,LV,NA,NA,0.87,9.93,NA,NA,0.04,0.69,3.56,NA,0.02,NA,1.69,NA,tre-tucker,NumberFire,16287,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.01,5.39,#7,233,106,2.1,5000,0.42,2.56,3000,0.85,2.1,10,0.21,NA
Jauan Jennings,WR,SF,NA,NA,0.96,11.48,NA,NA,0.07,0,0,NA,0,NA,1.56,NA,jauan-jennings,NumberFire,14860,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1,5.22,#5,237,107,2.03,5400,0.38,2.52,3900,0.65,2.03,12,0.17,NA
