player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,return_tds,two_pts
Josh Jacobs,RB,LV,NA,NA,77.54,NA,0.6,NA,2.67,21.21,NA,NA,0.1,0.07,16.61,NA,2562377,NFL,14073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Conner,RB,ARI,NA,NA,71.92,NA,0.52,NA,3.03,25.99,NA,NA,0.09,0.04,16.4,NA,2557978,NFL,13146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tony Pollard,RB,DAL,NA,NA,68.19,NA,0.48,NA,2.9,25.97,NA,NA,0.11,NA,15.88,NA,2562699,NFL,14085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
Rhamondre Stevenson,RB,NE,NA,NA,52.81,NA,0.38,NA,3.94,34.87,NA,NA,0.11,0.04,15.59,NA,2566343,NFL,15259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
Saquon Barkley,RB,NYG,NA,NA,62.25,NA,0.38,NA,3.36,25.57,NA,NA,0.09,0.03,14.9,NA,2560968,NFL,13604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breece Hall,RB,NYJ,NA,NA,61.98,NA,0.43,NA,2.44,23.41,NA,NA,0.11,0.03,14.18,NA,2568030,NFL,15708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
Kenneth Walker III,RB,SEA,NA,NA,69.28,NA,0.51,NA,1.87,13.25,NA,NA,0.06,NA,13.56,NA,2568282,NFL,15711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
Aaron Jones,RB,GB,NA,NA,46.32,NA,0.31,NA,3.18,29.21,NA,NA,0.15,0.03,13.43,NA,2558116,NFL,13319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne,RB,JAX,NA,NA,64.28,NA,0.51,NA,2.01,14.47,NA,NA,0.07,0.16,13.13,NA,2566157,NFL,15253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
David Montgomery,RB,DET,NA,NA,54.16,NA,0.41,NA,2.56,21.44,NA,NA,0.11,0.06,13.12,NA,2562502,NFL,14071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
