player,dst_sacks,dst_int,dst_fum_rec,dst_fum_force,dst_td,dst_safety,dst_pts_allowed,dst_yds_allowed,site_pts,src_id,data_src,pos,id,team,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
Kansas City D/ST,2.47,0.65,0.52,NA,0.17,NA,21.5,338.26,6.84,kansas-city-dst,NumberFire,D,0512,KC,LAC,NA,NA,NA,NA,0.88,12.8,#8,17,6.8,4400,1.55,6.8,2400,2.83,6.8,13,0.52,NA
Pittsburgh D/ST,2.96,0.75,0.39,NA,0.15,NA,23.25,327.46,6.72,pittsburgh-dst,NumberFire,D,0510,PIT,LA,NA,NA,NA,NA,0.79,12.65,#5,18,6.67,4200,1.59,6.67,3100,2.15,6.67,19,0.35,NA
Detroit D/ST,2.52,0.67,0.55,NA,0.15,NA,22.75,344.72,6.58,detroit-dst,NumberFire,D,0522,DET,BAL,NA,NA,NA,NA,0.68,12.48,#15,19,6.51,4000,1.63,6.51,2700,2.41,6.51,16,0.41,NA
Denver D/ST,2.01,0.8,0.57,NA,0.16,NA,23.25,351.09,6.25,denver-dst,NumberFire,D,0511,DEN,GB,NA,NA,NA,NA,0.41,12.09,#18,20,6.26,3500,1.79,6.26,2600,2.41,6.26,12,0.52,NA
Philadelphia D/ST,2.22,0.82,0.55,NA,0.15,NA,24.75,399.65,6.08,philadelphia-dst,NumberFire,D,0518,PHI,MIA,NA,NA,NA,NA,0.28,11.88,#1,21,6.08,4200,1.45,6.08,2700,2.25,6.08,16,0.38,NA
Arizona D/ST,2.5,0.95,0.35,NA,0.14,NA,26,347.31,5.83,arizona-dst,NumberFire,D,0519,ARI,SEA,NA,NA,NA,NA,0.08,11.58,#16,22,5.77,3100,1.86,5.77,2300,2.51,5.77,10,0.58,NA
Miami D/ST,2.69,0.76,0.5,NA,0.14,NA,26.75,361.54,5.78,miami-dst,NumberFire,D,0503,MIA,PHI,NA,NA,NA,NA,0.04,11.52,#9,23,5.79,4000,1.45,5.79,2700,2.14,5.79,12,0.48,NA
Minnesota D/ST,2.49,0.68,0.49,NA,0.13,NA,25.5,353.4,5.69,minnesota-dst,NumberFire,D,0524,MIN,SF,NA,NA,NA,NA,-0.04,11.42,#2,24,5.68,3500,1.62,5.68,2800,2.03,5.68,11,0.52,NA
New England D/ST,1.74,0.77,0.52,NA,0.14,NA,25,355.1,5.3,new-england-dst,NumberFire,D,0504,NE,BUF,NA,NA,NA,NA,-0.35,10.95,#4,25,5.28,3000,1.76,5.28,2100,2.51,5.28,11,0.48,NA
Los Angeles Chargers D/ST,2.04,0.6,0.49,NA,0.13,NA,27,390.43,4.71,los-angeles-chargers-d-st,NumberFire,D,0514,LAC,KC,NA,NA,NA,NA,-0.82,10.24,#7,26,4.68,3200,1.46,4.68,2200,2.13,4.68,13,0.36,NA
NA,2.42,1.27,0.63,NA,0.16,0.03,19.52,NA,7.54,100003,NFL,DST,0501,Buffalo Bills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
NA,2.8,1.25,0.58,NA,0.14,0.03,20.85,NA,7.48,100011,NFL,DST,0523,Green Bay Packers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
NA,3.3,0.83,0.61,NA,0.16,0.07,23.83,NA,7.46,100023,NFL,DST,0517,New York Giants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
NA,3.13,0.89,0.64,NA,0.16,0.04,21.6,NA,7.41,100032,NFL,DST,0520,Washington Commanders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
NA,3.32,0.85,0.6,NA,0.14,0.04,19.77,NA,7.26,100018,NFL,DST,0513,Las Vegas Raiders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
NA,2.2,1.26,0.58,NA,0.16,0.03,19.65,NA,7.2,100029,NFL,DST,0530,San Francisco 49ers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
NA,2.73,0.9,0.72,NA,0.15,0.06,22.25,NA,7.05,100010,NFL,DST,0522,Detroit Lions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
