player,pos,team,games,fg,fg_att,fg_long,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_0019,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Robbie Gould,K,SF,NA,2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,10.47,NA,2882,FleaFlicker,8153,@LVSun 4:05 PM,NA,NA,9,K22,2/1,2/2,51%,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,10.24,NA,8663,FleaFlicker,10976,PITSun 8:20 PM,NA,NA,0,K1,2/2,2/2,97%,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,10.1,NA,11124,FleaFlicker,12437,NYJSun 4:05 PM,NA,NA,1,K17,2/1,2/2,63%,NA,NA,NA,NA,NA,NA,NA
Ryan Succop,K,TB,NA,2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,10,NA,6293,FleaFlicker,9686,CARSun 1:00 PM,NA,NA,1,K6,2/2,2/2,69%,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,9.94,NA,8608,FleaFlicker,10868,@SEASun 4:05 PM,NA,NA,0,K15,2/1,1/1,44%,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,LAR,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,9.78,NA,14848,FleaFlicker,14244,@LACSun 4:25 PM,NA,NA,7,K13,2/1,1/1,49%,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,9.73,NA,13977,FleaFlicker,13832,@NESun 1:00 PM,NA,NA,1,K8,2/1,1/1,58%,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,NA,2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,9.64,NA,14337,FleaFlicker,13898,@GBSun 4:25 PM,NA,NA,7,K16,2/1,1/1,46%,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,9.6,NA,13124,FleaFlicker,13354,DENSun 1:00 PM,NA,NA,8,K4,2/2,2/2,79%,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,IND,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,9.6,NA,15412,FleaFlicker,14717,@NYGSun 1:00 PM,NA,NA,4,NA,2/2,1/1,22%,NA,NA,NA,NA,NA,NA,NA
