player,pos,team,games,fg,fg_att,fg_long,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_0019,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Eddy Pineiro,K,CAR,NA,1.87,2.07,NA,0.49,NA,0.61,NA,0.53,NA,0.18,NA,1.76,NA,8.25,NA,eddy-pineiro,NumberFire,13719,TB,0.07,NA,NA,NA,NA,NA,NA,3.97,12.53,#5,16,8.29,8.29,8.29
Robbie Gould,K,SF,NA,1.55,2.12,NA,0.66,NA,0.43,NA,0.34,NA,0.13,NA,3,NA,8.25,NA,robbie-gould,NumberFire,8153,LV,0,NA,NA,NA,NA,NA,NA,4.28,12.22,#31,16,8.28,8.28,8.28
Jake Elliott,K,PHI,NA,1.5,1.88,NA,0.59,NA,0.46,NA,0.28,NA,0.12,NA,3.22,NA,8.24,NA,jake-elliott,NumberFire,13303,NO,0.04,NA,NA,NA,NA,NA,NA,4.42,12.06,#15,18,8.21,8.21,8.21
Matt Prater,K,ARI,NA,1.65,1.79,NA,0.49,NA,0.54,NA,0.49,NA,0.14,NA,2.47,NA,8.22,NA,matt-prater,NumberFire,8930,ATL,0,NA,NA,NA,NA,NA,NA,4.56,11.88,#30,19,8.22,8.22,8.22
Ka'imi Fairbairn,K,HOU,NA,1.82,2.06,NA,0.52,NA,0.54,NA,0.52,NA,0.19,NA,1.86,NA,8.17,NA,ka-imi-fairbairn,NumberFire,12860,JAC,0.02,NA,NA,NA,NA,NA,NA,3.17,13.17,#25,20,8.13,8.13,8.13
Greg Joseph,K,MIN,NA,1.7,2.13,NA,0.38,NA,0.63,NA,0.51,NA,0.17,NA,2.25,NA,8.16,NA,greg-joseph,NumberFire,13898,GB,0,NA,NA,NA,NA,NA,NA,4.15,12.17,#19,21,8.17,8.17,8.17
Daniel Carlson,K,LV,NA,1.78,2.15,NA,0.59,NA,0.57,NA,0.44,NA,0.17,NA,1.99,NA,8.13,NA,daniel-carlson,NumberFire,13718,SF,0.02,NA,NA,NA,NA,NA,NA,4.29,11.97,#2,22,8.14,8.14,8.14
Matt Gay,K,LA,NA,1.9,2.15,NA,0.61,NA,0.59,NA,0.53,NA,0.17,NA,1.5,NA,8.05,NA,matt-gay,NumberFire,14244,LAC,0,NA,NA,NA,NA,NA,NA,3.81,12.29,#17,23,8.07,8.07,8.07
Nick Folk,K,NE,NA,1.77,2.31,NA,0.61,NA,0.45,NA,0.61,NA,0.09,NA,1.98,NA,8.05,NA,nick-folk,NumberFire,8851,MIA,0,NA,NA,NA,NA,NA,NA,3.45,12.65,#21,23,8.05,8.05,8.05
Evan McPherson,K,CIN,NA,1.67,1.96,NA,0.53,NA,0.59,NA,0.41,NA,0.14,NA,2.21,NA,7.92,NA,evan-mcpherson,NumberFire,15368,BUF,0,NA,NA,NA,NA,NA,NA,3.99,11.85,#6,25,7.91,7.91,7.91
Chase McLaughlin,K,IND,NA,1.67,1.9,NA,0.39,NA,0.45,NA,0.55,NA,0.28,NA,1.76,NA,7.87,NA,chase-mclaughlin,NumberFire,14717,NYG,0,NA,NA,NA,NA,NA,NA,3.28,12.46,#27,26,7.88,7.88,7.88
Jason Sanders,K,MIA,NA,1.72,2.09,NA,0.57,NA,0.57,NA,0.39,NA,0.16,NA,1.78,NA,7.61,NA,jason-sanders,NumberFire,13832,NE,0.02,NA,NA,NA,NA,NA,NA,3.49,11.73,#1,27,7.62,7.62,7.62
Brandon McManus,K,DEN,NA,1.62,1.88,NA,0.44,NA,0.54,NA,0.4,NA,0.23,NA,1.48,NA,7.22,NA,brandon-mcmanus,NumberFire,11947,KC,0,NA,NA,NA,NA,NA,NA,3.48,10.96,#24,28,7.17,7.17,7.17
Cade York,K,CLE,NA,1.36,1.98,NA,0.47,NA,0.32,NA,0.43,NA,0.15,NA,2.15,NA,6.98,NA,cade-york,NumberFire,15882,WSH,0,NA,NA,NA,NA,NA,NA,3.33,10.63,#7,29,6.99,6.99,6.99
Wil Lutz,K,NO,NA,1.54,2.07,NA,0.46,NA,0.58,NA,0.37,NA,0.13,NA,1.7,NA,6.96,NA,wil-lutz,NumberFire,12956,PHI,0,NA,NA,NA,NA,NA,NA,2.95,10.97,#9,30,6.95,6.95,6.95
Randy Bullock,K,TEN,NA,1.45,1.8,NA,0.63,NA,0.41,NA,0.37,NA,0.04,NA,2.07,NA,6.87,NA,randy-bullock,NumberFire,10862,DAL,0,NA,NA,NA,NA,NA,NA,3.01,10.73,#4,31,6.87,6.87,6.87
Chris Boswell,K,PIT,NA,1.26,1.82,NA,0.48,NA,0.33,NA,0.35,NA,0.09,NA,2.12,NA,6.46,NA,chris-boswell,NumberFire,11936,BAL,0.02,NA,NA,NA,NA,NA,NA,2.58,10.34,#11,32,6.46,6.46,6.46
Younghoe Koo,K,ATL,NA,NA,NA,NA,0.48,NA,0.52,NA,0.43,NA,NA,NA,3.3,NA,7.59,NA,2559205,NFL,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Badgley,K,DET,NA,NA,NA,NA,0.48,NA,0.51,NA,0.37,NA,NA,NA,3.4,NA,7.51,NA,2560965,NFL,13980,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,GB,NA,NA,NA,NA,0.48,NA,0.49,NA,0.48,NA,NA,NA,3.13,NA,7.48,NA,2507232,NFL,8742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,NA,NA,NA,NA,0.48,NA,0.54,NA,0.51,NA,NA,NA,2.52,NA,7.2,NA,2536340,NFL,10976,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,NA,NA,NA,0.5,NA,0.55,NA,0.47,NA,NA,NA,2.55,NA,7.14,NA,2558245,NFL,13354,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Gould,K,SF,NA,NA,NA,NA,0.48,NA,0.49,NA,0.54,NA,NA,NA,2.43,NA,7.02,NA,2506264,NFL,8153,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,NA,NA,NA,0.47,NA,0.53,NA,0.51,NA,NA,NA,2.25,NA,7.02,NA,2553112,NFL,12437,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,NA,NA,NA,0.48,NA,0.52,NA,0.44,NA,NA,NA,2.52,NA,6.93,NA,2565953,NFL,15368,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Succop,K,TB,NA,NA,NA,NA,0.48,NA,0.52,NA,0.46,NA,NA,NA,2.32,NA,6.7,NA,89802,NFL,9686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,NA,NA,NA,0.48,NA,0.51,NA,0.43,NA,NA,NA,2.34,NA,6.69,NA,71309,NFL,9694,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,JAX,NA,NA,NA,NA,0.48,NA,0.46,NA,0.44,NA,NA,NA,2.43,NA,6.69,NA,2567013,NFL,15369,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,K,DAL,NA,NA,NA,NA,0.47,NA,0.65,NA,0.46,NA,NA,NA,1.88,NA,6.62,NA,2540243,NFL,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,NA,NA,NA,0.48,NA,0.52,NA,0.45,NA,NA,NA,2.19,NA,6.54,NA,2560993,NFL,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,NA,NA,NA,0.48,NA,0.5,NA,0.43,NA,NA,NA,2.21,NA,6.5,NA,2556521,NFL,12860,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randy Bullock,K,TEN,NA,NA,NA,NA,0.48,NA,0.56,NA,0.49,NA,NA,NA,1.82,NA,6.47,NA,2533444,NFL,10862,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NO,NA,NA,NA,NA,0.48,NA,0.63,NA,0.42,NA,NA,NA,1.88,NA,6.47,NA,2556601,NFL,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,NA,NA,NA,0.47,NA,0.63,NA,0.54,NA,NA,NA,1.22,NA,6.41,NA,2558172,NFL,13303,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,NA,NA,NA,NA,0.48,NA,0.6,NA,0.41,NA,NA,NA,1.94,NA,6.41,NA,2560842,NFL,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,CLE,NA,NA,NA,NA,0.48,NA,0.45,NA,0.44,NA,NA,NA,2.15,NA,6.38,NA,2567487,NFL,15882,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,NA,NA,NA,NA,0.48,NA,0.49,NA,0.39,NA,NA,NA,2.08,NA,6.37,NA,2507225,NFL,8851,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,IND,NA,NA,NA,NA,0.48,NA,0.52,NA,0.5,NA,NA,NA,1.85,NA,6.35,NA,2563203,NFL,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,NA,NA,NA,0.48,NA,0.5,NA,0.39,NA,NA,NA,2.22,NA,6.33,NA,2550636,NFL,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,NA,NA,NA,NA,0.48,NA,0.52,NA,0.41,NA,NA,NA,1.99,NA,6.28,NA,2563132,NFL,14600,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,NA,NA,NA,0.48,NA,0.54,NA,0.43,NA,NA,NA,1.86,NA,6.27,NA,2550545,NFL,11936,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,NA,NA,NA,0.48,NA,0.53,NA,0.45,NA,NA,NA,1.59,NA,6.12,NA,2561153,NFL,13832,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,NA,NA,NA,NA,0.48,NA,0.47,NA,0.39,NA,NA,NA,1.93,NA,6.1,NA,2534797,NFL,10868,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,LA,NA,NA,NA,NA,0.48,NA,0.52,NA,0.37,NA,NA,NA,1.63,NA,5.83,NA,2562271,NFL,14244,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,NA,NA,NA,NA,0.48,NA,0.68,NA,0.45,NA,NA,NA,0.93,NA,5.82,NA,2561534,NFL,13898,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,NA,NA,NA,NA,0.48,NA,0.54,NA,0.44,NA,NA,NA,1.33,NA,5.8,NA,2506677,NFL,8930,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,NA,NA,NA,0.48,NA,0.48,NA,0.39,NA,NA,NA,1.66,NA,5.74,NA,2563596,NFL,14983,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,DEN,NA,NA,NA,NA,0.48,NA,0.48,NA,0.41,NA,NA,NA,1.49,NA,5.6,NA,2541556,NFL,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,NA,NA,1.079166447,1.090067118,NA,NA,NA,NA,NA,0.533401986,0.659501108,0.235284297,0.350753774,2.428638314,2.481250263,NA,NA,15683,ESPN,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,NA,NA,1.023422235,1.048996937,NA,NA,NA,NA,NA,0.501134807,0.634653253,0.219946796,0.337538513,2.527636485,2.633997707,NA,NA,4360234,ESPN,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,NA,NA,1.055415461,1.074306384,NA,NA,NA,NA,NA,0.517642899,0.649965712,0.227602721,0.345682401,2.85839631,2.95772958,NA,NA,4249087,ESPN,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,NA,NA,0.99882733,1.009087758,NA,NA,NA,NA,NA,0.490745704,0.610507815,0.216193533,0.324696831,2.731139979,2.804528957,NA,NA,3051909,ESPN,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,NA,NA,0.953772752,0.979783269,NA,NA,NA,NA,NA,0.466784937,0.592778317,0.204751323,0.315267449,2.829088412,2.954807228,NA,NA,16339,ESPN,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NA,NA,1.001562385,1.011679177,NA,NA,NA,NA,NA,0.492233178,0.612075648,0.216869571,0.325530679,2.151467346,2.20843804,NA,NA,10621,ESPN,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,NA,NA,0.912203191,0.957081765,NA,NA,NA,NA,NA,0.444189593,0.579043688,0.193742106,0.307962726,2.969106051,3.16836806,NA,NA,3917232,ESPN,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,NA,NA,0.916511632,0.957455544,NA,NA,NA,NA,NA,0.446754179,0.579269828,0.195089476,0.308082998,2.499787114,2.655853712,NA,NA,11122,ESPN,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NA,NA,1.025862028,1.037236512,NA,NA,NA,NA,NA,0.503934327,0.627538082,0.22195793,0.33375433,2.032662187,2.088994307,NA,NA,12460,ESPN,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,NA,NA,0.978975403,1.007132693,NA,NA,NA,NA,NA,0.478955104,0.609324982,0.21000955,0.324067745,2.301594234,2.407419269,NA,NA,3975763,ESPN,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,NA,NA,0.994940476,1.032761713,NA,NA,NA,NA,NA,0.485730047,0.624830786,0.212474737,0.332314463,2.493027033,2.631500414,NA,NA,3050478,ESPN,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Succop,K,NA,NA,0.921062123,0.975697136,NA,NA,NA,NA,NA,0.447454511,0.590306167,0.194651934,0.313952643,2.45560011,2.646109041,NA,NA,12731,ESPN,9686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,NA,NA,0.859874775,0.900186375,NA,NA,NA,NA,NA,0.418932937,0.544621429,0.182835844,0.289655346,2.758008552,2.936492666,NA,NA,15965,ESPN,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,NA,NA,0.871153139,0.937158128,NA,NA,NA,NA,NA,0.421595958,0.566989696,0.182610447,0.301551845,2.702310115,2.957970475,NA,NA,10636,ESPN,8742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,NA,NA,1.015795223,1.031327627,NA,NA,NA,NA,NA,0.49850875,0.62396315,0.219334734,0.331853013,1.900738905,1.961669522,NA,NA,17372,ESPN,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,NA,NA,0.930906198,0.940309291,NA,NA,NA,NA,NA,0.460072685,0.56889618,0.202934258,0.302565803,1.486495886,1.518830028,NA,NA,3049899,ESPN,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,K,NA,NA,0.983734956,1.021144664,NA,NA,NA,NA,NA,0.480257887,0.617802359,0.210080235,0.328576414,1.749564328,1.846769154,NA,NA,16486,ESPN,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,NA,NA,0.878745573,0.90841103,NA,NA,NA,NA,NA,0.429424416,0.549597424,0.188050494,0.292301815,2.73848655,2.878546324,NA,NA,3124084,ESPN,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NA,NA,0.970131062,1.019023982,NA,NA,NA,NA,NA,0.472266044,0.616519326,0.205923965,0.327894036,2.100466564,2.24404061,NA,NA,2985659,ESPN,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randy Bullock,K,NA,NA,0.923658956,0.97805678,NA,NA,NA,NA,NA,0.448760085,0.591733774,0.195241521,0.314711912,1.853525887,1.996512666,NA,NA,15091,ESPN,10862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NA,NA,0.947192221,0.993492265,NA,NA,NA,NA,NA,0.461260954,0.601072392,0.201204666,0.319678629,1.66490563,1.77609509,NA,NA,14993,ESPN,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,NA,NA,0.959191983,0.995707816,NA,NA,NA,NA,NA,0.468271606,0.602412821,0.20483488,0.320391532,1.607780777,1.697176569,NA,NA,2473037,ESPN,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,NA,NA,0.966129054,0.995280635,NA,NA,NA,NA,NA,0.472516672,0.602154373,0.207111575,0.320254077,2.096310824,2.195756205,NA,NA,4034949,ESPN,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,NA,NA,0.945615303,0.975597246,NA,NA,NA,NA,NA,0.462320662,0.590245733,0.20256289,0.313920501,1.556838079,1.633158663,NA,NA,17427,ESPN,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,NA,NA,0.945470151,0.982995374,NA,NA,NA,NA,NA,0.461400319,0.594721671,0.201744897,0.316301016,1.657246752,1.752169415,NA,NA,2971573,ESPN,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,NA,NA,0.789758223,0.823436187,NA,NA,NA,NA,NA,0.385148584,0.498186826,0.168275796,0.264959235,2.144864875,2.274269201,NA,NA,3124679,ESPN,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,NA,NA,0.895239638,0.948062451,NA,NA,NA,NA,NA,0.434941439,0.573586917,0.189224001,0.305060558,2.465995917,2.65651191,NA,NA,3150744,ESPN,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
