player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts
"Burkhead, Rex",RB,HOU,NA,5.3,16,NA,0,3.8,2.9,17,NA,NA,0.1,0,3.8,NA,NA,FantasySharks,11182,@MIA,0,0,0,0,0,0,0.4,0.1,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis-Price, Tyrion",RB,SFO,NA,4.9,23,NA,0.1,1.3,0.9,10,NA,NA,0,0.1,3.7,NA,NA,FantasySharks,15746,NOS,0.1,0,0,0,0,0,0.1,0,0,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ingram, Keaontay",RB,ARI,NA,5.2,19,NA,0.1,1.4,1,9,NA,NA,0,0,3.7,NA,NA,FantasySharks,15734,LAC,0.1,0,0,0,0,0,0.3,0,0,8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scott, Boston",RB,PHI,NA,4.3,18,NA,0.3,0.8,0.7,3,NA,NA,0,0,3.6,NA,NA,FantasySharks,13814,GBP,0.2,0,0,0,0,0,0.1,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vaughn, Ke'Shawn",RB,TBB,NA,5,22,NA,0.1,1.1,0.6,5,NA,NA,0,0,3.5,NA,NA,FantasySharks,14810,@CLE,0.1,0,0,0,0,0.1,0.1,0,0,2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson, Justin",RB,DET,NA,4.4,22,NA,0,1.2,0.8,6,NA,NA,0.1,0,3.1,NA,NA,FantasySharks,13620,BUF,0,0,0,0,0,0,0.3,0,0,19,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huntley, Caleb",RB,ATL,NA,6.1,29,NA,0,0.3,0.2,1,NA,NA,0,0,3.1,NA,NA,FantasySharks,15505,@WAS,0,0,0,0,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benjamin, Eno",RB,HOU,NA,4,15,NA,0.1,2.3,1.7,13,NA,NA,0,0,3,NA,NA,FantasySharks,14801,@MIA,0,0.1,0,0,0,0,0.4,0.1,0,5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson, Deon",RB,IND,NA,4.2,16,NA,0,2.7,2.2,12,NA,NA,0,0,3,NA,NA,FantasySharks,15277,PIT,0,0,0,0,0,0,0.2,0.1,0,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ebner, Trestan",RB,CHI,NA,6,24,NA,0.1,1,0.7,4,NA,NA,0,0.2,2.9,NA,NA,FantasySharks,15748,@NYJ,0.1,0,0,0,0,0,0.1,0,0,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hasty, JaMycal",RB,JAC,NA,3.5,17,NA,0.1,1.7,1.3,6,NA,NA,0,0.1,2.9,NA,NA,FantasySharks,14821,BAL,0,0,0,0,0,0.1,0.2,0,0,12,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolden, Brandon",RB,LVR,NA,1.7,8,NA,0,2.1,1.8,15,NA,NA,0.1,0,2.8,NA,NA,FantasySharks,10932,@SEA,0,0,0,0,0,0,0.3,0.1,0,12,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ingram, Mark",RB,NOS,NA,5.4,19,NA,0.1,1.5,1.3,7,NA,NA,0,0.1,2.8,NA,NA,FantasySharks,10276,@SFO,0.1,0,0,0,0,0,0.2,0,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Breida, Matt",RB,NYG,NA,3.6,13,NA,0.1,1.2,0.9,8,NA,NA,0,0,2.8,NA,NA,FantasySharks,13378,@DAL,0.1,0,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Homer, Travis",RB,SEA,NA,3.3,16,NA,0,1.6,1.4,12,NA,NA,0,0,2.7,NA,NA,FantasySharks,14083,LVR,0,0,0,0,0,0,0.1,0.1,0,7,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren, Jaylen",RB,PIT,NA,3,15,NA,0,1.5,1.3,11,NA,NA,0,0,2.6,NA,NA,FantasySharks,15742,@IND,0,0,0,0,0,0,0.2,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, Ty",RB,NYJ,NA,2.6,10,NA,0.1,2.1,1.1,11,NA,NA,0,0,2.6,NA,NA,FantasySharks,14095,CHI,0.1,0,0,0,0,0,0.1,0,0,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michel, Sony",RB,LAC,NA,4.5,17,NA,0,1.4,1,6,NA,NA,0,0,2.6,NA,NA,FantasySharks,13607,@ARI,0,0,0,0,0,0,0,0,0,2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Joshua",RB,LAC,NA,3.2,13,NA,0.1,1.2,0.9,6,NA,NA,0,0,2.4,NA,NA,FantasySharks,14807,@ARI,0.1,0,0,0,0,0,0.1,0,0,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
