player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Ka'imi Fairbairn,K,HOU,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6.6,NA,15756,FantasyPros,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,GB,NA,1.4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,6.5,NA,9433,FantasyPros,8742,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,LAR,NA,1.4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,6.4,NA,18545,FantasyPros,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,1.4,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,6.3,NA,17533,FantasyPros,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Wright,K,PIT,NA,1.6,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,6.3,NA,18779,FantasyPros,14426,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,JAC,NA,1.4,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6.2,NA,23370,FantasyPros,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randy Bullock,K,TEN,NA,1.4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6.2,NA,11339,FantasyPros,10862,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,1.4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6.2,NA,16540,FantasyPros,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,IND,NA,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,6.1,NA,19058,FantasyPros,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,NA,1.4,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,6,NA,19028,FantasyPros,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NO,NA,1.4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,6,NA,16026,FantasyPros,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,DEN,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,5.9,NA,13274,FantasyPros,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koo, Younghoe",K,ATL,NA,2.4,2.7,0,NA,0.6,NA,0.7,NA,0.8,NA,0.4,NA,3.2,3.4,11.2,NA,NA,FantasySharks,13403,PIT,0.3,NA,NA,NA,NA,NA,NA,NA
"Carlson, Daniel",K,LVR,NA,2.6,2.8,0,NA,0.8,NA,0.8,NA,0.4,NA,0.6,NA,2.2,2.4,10.8,NA,NA,FantasySharks,13718,LAC,0.2,NA,NA,NA,NA,NA,NA,NA
"Tucker, Justin",K,BAL,NA,2.4,2.6,0,NA,0.6,NA,0.8,NA,0.5,NA,0.5,NA,2.4,2.5,10.2,NA,NA,FantasySharks,10976,DEN,0.3,NA,NA,NA,NA,NA,NA,NA
"Bass, Tyler",K,BUF,NA,2,2.2,0,NA,0.6,NA,0.7,NA,0.5,NA,0.2,NA,3,3.2,9.2,NA,NA,FantasySharks,14983,@NEP,0.2,NA,NA,NA,NA,NA,NA,NA
"Maher, Brett",K,DAL,NA,1.8,2.1,0,NA,0.5,NA,0.5,NA,0.4,NA,0.4,NA,2.9,3,8.9,NA,NA,FantasySharks,13909,IND,0.3,NA,NA,NA,NA,NA,NA,NA
"Butker, Harrison",K,KCC,NA,1.8,2.1,0,NA,0.5,NA,0.6,NA,0.3,NA,0.4,NA,3.2,3.4,8.7,NA,NA,FantasySharks,13354,@CIN,0.3,NA,NA,NA,NA,NA,NA,NA
"Myers, Jason",K,SEA,NA,1.7,1.9,0,NA,0.3,NA,0.7,NA,0.3,NA,0.4,NA,2.8,3,8.6,NA,NA,FantasySharks,12437,@LAR,0.2,NA,NA,NA,NA,NA,NA,NA
"Folk, Nick",K,NEP,NA,2,2.3,0.1,NA,0.5,NA,0.6,NA,0.7,NA,0.2,NA,2.1,2.2,8.4,NA,NA,FantasySharks,8851,BUF,0.3,NA,NA,NA,NA,NA,NA,NA
"McPherson, Evan",K,CIN,NA,1.7,1.9,0,NA,0.2,NA,0.4,NA,0.5,NA,0.4,NA,2.7,2.8,8.2,NA,NA,FantasySharks,15368,KCC,0.3,NA,NA,NA,NA,NA,NA,NA
