player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,two_pts
Patrick Mahomes,QB,KC,NA,37.92,24.2,290.4,NA,2.25,0.59,NA,4.77,23.04,NA,0.18,NA,22.43,NA,patrick-mahomes,NumberFire,13116,CIN,NA,NA,NA,NA,NA,NA,NA,NA,14.54,30.32,#10,3,3,23.03,9000,2.56,23.28,8300,2.8,23.03,38,0.61,NA
Justin Herbert,QB,LAC,NA,37.71,25.9,284,NA,1.99,0.72,NA,3.81,17.66,NA,0.17,NA,20.57,NA,justin-herbert,NumberFire,14779,LV,NA,NA,NA,NA,NA,NA,NA,NA,12.77,28.37,#32,4,4,21.27,8100,2.63,21.39,7200,2.97,21.27,33,0.64,NA
Lamar Jackson,QB,BAL,NA,30.75,19.11,196.6,NA,1.56,0.68,NA,9.66,55.15,NA,0.28,NA,19.72,NA,lamar-jackson,NumberFire,13593,DEN,NA,NA,NA,NA,NA,NA,NA,NA,11.96,27.48,#5,5,5,20.4,8200,2.49,20.57,7800,2.64,20.4,30,0.68,NA
Joe Burrow,QB,CIN,NA,35.94,24.33,268.36,NA,1.98,0.73,NA,3.75,16.91,NA,0.17,NA,19.6,NA,joe-burrow,NumberFire,14777,KC,NA,NA,NA,NA,NA,NA,NA,NA,11.85,27.35,#18,7,6,20.32,8300,2.45,20.54,6900,2.98,20.32,38,0.53,NA
Deshaun Watson,QB,CLE,NA,31.13,19.37,209.44,NA,1.73,0.64,NA,8.52,37.89,NA,0.29,NA,19.06,NA,deshaun-watson,NumberFire,13113,HOU,NA,NA,NA,NA,NA,NA,NA,NA,11.33,26.79,#28,8,7,19.67,8000,2.46,19.98,6500,3.07,19.67,30,0.66,NA
Trevor Lawrence,QB,JAC,NA,35.69,23.53,258.72,NA,1.62,0.77,NA,3.91,18.62,NA,0.21,NA,18.03,NA,trevor-lawrence,NumberFire,15237,DET,NA,NA,NA,NA,NA,NA,NA,NA,10.36,25.7,#30,9,8,18.8,7500,2.51,19.04,5900,3.23,18.8,31,0.61,NA
Geno Smith,QB,SEA,NA,32.63,23.05,247.65,NA,1.44,0.85,NA,5.61,25.98,NA,0.27,NA,17.69,NA,geno-smith-1,NumberFire,11150,LA,NA,NA,NA,NA,NA,NA,NA,NA,10.04,25.34,#15,10,9,18.51,7600,2.44,18.82,6100,3.09,18.51,31,0.6,NA
Dak Prescott,QB,DAL,NA,31.81,21.79,227.17,NA,1.76,0.64,NA,3.76,17.74,NA,0.22,NA,17.5,NA,dak-prescott,NumberFire,12620,IND,NA,NA,NA,NA,NA,NA,NA,NA,9.86,25.14,#12,12,10,18.14,8000,2.27,18.41,6200,2.97,18.14,31,0.59,NA
Tua Tagovailoa,QB,MIA,NA,35.62,24.24,268.1,NA,1.5,0.71,NA,3.45,15.43,NA,0.14,NA,17.42,NA,tua-tagovailoa,NumberFire,14778,SF,NA,NA,NA,NA,NA,NA,NA,NA,9.78,25.06,#6,13,11,18.12,7800,2.32,18.31,6700,2.73,18.12,32,0.57,NA
Jared Goff,QB,DET,NA,34.48,21.93,255.2,NA,1.79,0.75,NA,1.81,7.58,NA,0.1,NA,16.94,NA,jared-goff,NumberFire,12611,JAC,NA,NA,NA,NA,NA,NA,NA,NA,9.33,24.55,#25,15,12,17.68,6800,2.6,17.88,5300,3.37,17.68,24,0.74,NA
Kirk Cousins,QB,MIN,NA,35.96,23.15,236.74,NA,1.75,0.65,NA,1.8,7.4,NA,0.09,NA,16.04,NA,kirk-cousins,NumberFire,10700,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,8.48,23.6,#3,17,13,16.66,7400,2.25,16.93,5700,2.97,16.66,27,0.62,NA
Jimmy Garoppolo,QB,SF,NA,32.08,21.64,250.34,NA,1.51,0.74,NA,2.62,10.91,NA,0.11,NA,15.91,NA,jimmy-garoppolo,NumberFire,11760,MIA,NA,NA,NA,NA,NA,NA,NA,NA,8.36,23.46,#19,18,14,16.68,7000,2.38,16.92,5700,2.97,16.68,29,0.58,NA
Bryce Perkins,QB,LA,NA,32.4,21.01,229.51,NA,1.05,0.68,NA,6.7,31.34,NA,0.2,NA,15.91,NA,bryce-perkins,NumberFire,14792,SEA,NA,NA,NA,NA,NA,NA,NA,NA,8.36,23.46,#26,18,14,16.55,6400,2.59,16.83,4900,3.43,16.55,20,0.83,NA
Derek Carr,QB,LV,NA,34.53,22.02,243.82,NA,1.6,0.62,NA,1.61,6.77,NA,0.06,NA,15.62,NA,derek-carr,NumberFire,11644,LAC,NA,NA,NA,NA,NA,NA,NA,NA,8.09,23.15,#20,20,16,16.23,7300,2.22,16.45,5600,2.94,16.23,24,0.68,NA
Marcus Mariota,QB,ATL,NA,24.93,15.45,184.57,NA,1.13,0.62,NA,6.84,34.8,NA,0.31,NA,15.54,NA,marcus-mariota,NumberFire,12141,PIT,NA,NA,NA,NA,NA,NA,NA,NA,8.01,23.07,#17,21,17,16.12,6800,2.37,16.41,5400,3.04,16.12,29,0.56,NA
