data_src,id,src_id,player,team,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,site_pts,rec_tgt,games,two_pts,fumbles_lost,pos,bye,na,week_4_opp,week_4_fpts,na1,rank_draft,rank_ppr,na2,na3,na4,misc_td,misc_yd,na5,na6,availability_percent_own,rush_avg,rec_yds_g,rec_avg,site_fppg,tm,...37,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rec_50_yds,rec_100_yds,kick_ret_yds,...48,site_ci_low,site_ci_high,opp_team,opp_team_rank,ranks_ovr,ranks_pos,...55,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
NumberFire,14420,alec-ingold,Alec Ingold,LV,0.41,1.77,0.01,0.65,4.85,0.04,0.95,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.69,4.59,LAC,#17,320,93,1.29,4600,0.28,1.61,1.29,10,0.13,NA
NumberFire,13143,jeremy-mcnichols,Jeremy McNichols,TEN,0.79,3.32,0.02,0.48,3.31,0.03,0.94,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.7,4.58,NYJ,#9,323,95,1.2,4900,0.24,1.44,1.2,12,0.1,NA
NumberFire,12806,andy-janovich,Andy Janovich,CLE,0.6,2.6,0.02,0.46,3.74,0.03,0.91,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.72,4.54,MIN,#21,324,96,1.14,4500,0.25,1.38,1.14,10,0.11,NA
NumberFire,NA,mekhi-sargent,Mekhi Sargent,TEN,0.81,3.4,0.02,0.43,3.02,0.03,0.9,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.73,4.53,NYJ,#9,326,97,1.14,4500,0.25,1.36,1.14,10,0.11,NA
NumberFire,12325,michael-burton,Michael Burton,KC,0.46,1.92,0.01,0.55,3.87,0.03,0.86,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.75,4.47,PHI,#10,332,98,1.09,4500,0.24,1.37,1.09,10,0.11,NA
NumberFire,11192,le-veon-bell-1,Le'Veon Bell,BAL,1.12,4.49,0.02,0.27,1.95,0.01,0.85,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.76,4.46,DEN,#3,334,99,0.96,4500,0.21,1.09,0.96,NA,NA,NA
NumberFire,13455,patrick-ricard,Patrick Ricard,BAL,0.68,2.9,0.01,0.46,3.11,0.02,0.82,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.78,4.42,DEN,#3,336,100,0.99,4500,0.22,1.23,0.99,10,0.1,NA
NumberFire,15259,rhamondre-stevenson,Rhamondre Stevenson,NE,0.88,3.55,0.02,0.35,2.33,0.01,0.81,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.79,4.41,TB,#19,338,101,0.92,4900,0.19,1.11,0.92,10,0.09,NA
NumberFire,13239,elijhaa-penny,Elijhaa Penny,NYG,0.57,2.32,0.01,0.49,3.19,0.02,0.72,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.85,4.29,NO,#5,353,102,0.98,4500,0.22,1.22,0.98,NA,NA,NA
NumberFire,NA,gary-brightwell,Gary Brightwell,NYG,0.5,2.1,0.01,0.49,3.2,0.02,0.69,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.87,4.25,NO,#5,354,103,0.94,4600,0.2,1.19,0.94,10,0.09,NA
NumberFire,14287,cullen-gillaspia,Cullen Gillaspia,NYG,0.34,1.43,0.01,0.52,3.41,0.02,0.63,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.91,4.17,NO,#5,357,104,0.92,4500,0.2,1.18,0.92,10,0.09,NA
NumberFire,13916,buddy-howell,Buddy Howell,LA,0.05,0.23,0,0.05,0.39,0,0.1,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.26,3.46,ARI,#7,360,105,0.09,4500,0.02,0.11,0.09,NA,NA,NA
NumberFire,13612,kerryon-johnson,Kerryon Johnson,SF,0.05,0.23,0,0.05,0.41,0,0.1,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.26,3.46,SEA,#28,360,105,0.09,5400,0.02,0.11,0.09,NA,NA,NA
NumberFire,13378,matt-breida,Matt Breida,BUF,0.06,0.28,0,0.05,0.44,0,0.1,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.26,3.46,HOU,#24,360,105,0.1,4600,0.02,0.12,0.1,10,0.01,NA
NumberFire,10368,taiwan-jones,Taiwan Jones,BUF,0.06,0.26,0,0.05,0.44,0,0.1,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.26,3.46,HOU,#24,360,105,0.1,4500,0.02,0.12,0.1,10,0.01,NA
NumberFire,14807,joshua-kelley,Joshua Kelley,LAC,0.05,0.23,0,0.05,0.35,0,0.09,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.27,3.45,LV,#14,365,109,0.08,4500,0.02,0.11,0.08,10,0.01,NA
NumberFire,14810,ke-shawn-vaughn,Ke'Shawn Vaughn,TB,0.05,0.22,0,0.05,0.37,0,0.09,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.27,3.45,NE,#6,365,109,0.08,4500,0.02,0.11,0.08,10,0.01,NA
NumberFire,14552,khari-blasingame,Khari Blasingame,TEN,0.07,0.3,0,0.04,0.31,0,0.09,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.27,3.45,NYJ,#9,365,109,0.08,4500,0.02,0.1,0.08,10,0.01,NA
NumberFire,NA,andrew-beck,Andrew Beck,DEN,0.06,0.24,0,0.05,0.37,0,0.09,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.27,3.45,BAL,#22,365,109,0.09,4000,0.02,0.11,0.09,10,0.01,NA
NumberFire,13814,boston-scott,Boston Scott,PHI,0.05,0.22,0,0.05,0.43,0,0.09,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.27,3.45,KC,#32,365,109,0.09,4500,0.02,0.12,0.09,10,0.01,NA
NumberFire,13136,corey-clement,Corey Clement,DAL,0.05,0.22,0,0.06,0.44,0,0.09,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.27,3.45,CAR,#1,365,109,0.1,4500,0.02,0.13,0.1,10,0.01,NA
NumberFire,13144,elijah-mcguire,Elijah McGuire,KC,0.05,0.21,0,0.05,0.43,0,0.09,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.27,3.45,PHI,#10,365,109,0.09,4500,0.02,0.11,0.09,NA,NA,NA
NumberFire,12845,dwayne-washington,Dwayne Washington,NO,0.06,0.25,0,0.05,0.37,0,0.09,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.27,3.45,NYG,#27,365,109,0.09,4500,0.02,0.11,0.09,10,0.01,NA
NumberFire,12261,ty-montgomery,Ty Montgomery,NO,0.06,0.26,0,0.04,0.4,0,0.09,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.27,3.45,NYG,#27,365,109,0.09,4600,0.02,0.11,0.09,10,0.01,NA
